panel zone shear distortion* (rad),panel zone shear force (kN)
9.48282E-06,6.151609999
0.001716391,1113.44141
-0.001674663,-1156.50268
0.001716391,1113.44141
-0.001420515,-1131.89624
0.001312407,1131.89624
0.00191553,1242.62522
0.002344166,1310.29293
0.002871426,1371.80903
0.003205233,1377.96064
0.003537152,1242.62522
-0.000142203,-793.5576898
-0.000749104,-1187.26073
-0.001667068,-1291.8381
-0.002471239,-1322.59615
-0.002662804,-1236.47361
-0.003252667,-1058.07692
-0.001469896,98.42575998
0.000506347,959.6511598
0.001270679,1174.95751
0.002372614,1328.74776
0.003017466,1396.41547
0.001052633,-18.45483
-0.000322377,-910.4382798
-0.001346541,-1224.17039
-0.002420028,-1359.50581
-0.003844399,-1371.80903
-0.003819748,-1285.68649
-0.001659553,-24.60643999
0.000223751,916.5898898
0.0023252,1297.98971
0.003554209,1464.08318
0.00545463,1574.81216
0.008563205,1697.84436
0.010467423,1740.90563
0.011929725,1777.81529
0.012140255,1703.99597
0.009784718,246.0643999
0.007097243,-725.8899798
0.004643022,-1125.74463
0.002215341,-1297.98971
-0.000809778,-1507.14445
-0.003114183,-1599.4186
-0.008164907,-1790.11851
-0.011413836,-1863.93783
-0.010385894,-1267.23166
-0.008312953,147.63864
-0.006901881,572.0997299
-0.005784777,805.8609098
-0.004756816,1051.92531
-0.002949335,1242.62522
-0.001335307,1377.96064
0.000405794,1525.59928
0.003081937,1648.63148
0.005367376,1728.60241
0.007869031,1808.57334
0.008800276,1851.63461
0.009928771,1882.39266
0.010571734,1808.57334
0.008400167,399.8546499
0.006571852,-295.2772799
0.005236643,-670.5254899
0.003728834,-947.3479398
0.002442928,-1150.35107
-0.000244586,-1421.02191
-0.003095217,-1587.11538
-0.005879468,-1710.14758
-0.008851487,-1814.72495
-0.011098994,-1870.08944
-0.010704532,-1193.41234
-0.00868658,-24.60643999
-0.006888601,510.5836299
-0.006086339,750.4964198
-0.005519258,978.1059898
-0.003250896,1187.26073
-0.000417342,1482.53801
0.002550879,1654.78309
0.005974296,1771.66368
0.008749064,1888.54427
0.01040482,1980.81842
0.014283432,2042.33452
0.017141657,2073.09257
0.015241296,910.4382798
0.01357041,36.90965999
0.012734014,-295.2772799
0.011078277,-738.1931998
0.009627366,-978.1059898
0.007264176,-1248.77683
0.005414967,-1396.41547
0.001642574,-1599.4186
-0.002152581,-1747.05724
-0.005566515,-1857.78622
-0.009699275,-1943.90876
-0.012840096,-2017.72808
-0.015021223,-2030.0313
-0.01777134,-2060.78935
-0.017528584,-1833.17978
-0.014624951,190.69991
-0.012115742,836.6189598
-0.009540132,1174.95751
-0.007144697,1396.41547
-0.003461446,1611.72182
0.001099949,1765.51207
0.005524787,1900.84749
0.009667029,1993.12164
0.012986135,2042.33452
0.015666075,2097.69901
0.017875651,2128.45706
0.019102772,2153.0635
0.021913583,2153.0635
0.023446062,2165.36672
0.023491587,2054.63774
0.020669503,153.79025
0.019002395,-436.7643099
0.017098197,-830.4673498
0.014843115,-1101.13819
0.012527339,-1341.05098
0.009578083,-1500.99284
0.004940826,-1703.99597
0.000643061,-1827.02817
-0.006630519,-1986.97003
-0.012403866,-2085.39579
-0.015685041,-2110.00223
-0.01577798,-2030.0313
-0.014812601,-1894.69588
-0.014160195,-1261.08005
-0.013354175,-387.5514299
-0.012880033,-79.97092998
-0.01231675,215.30635
-0.011721221,461.3707499
-0.010970169,738.1931998
-0.010046519,916.5898898
-0.009179765,1058.07692
-0.008430603,1193.41234
-0.007023309,1334.89937
-0.004967366,1476.3864
-0.002272257,1611.72182
0.000639068,1747.05724
0.007174857,1919.30232
0.011190026,1999.27325
0.014372575,2030.0313
0.016680776,2054.63774
0.018086182,2054.63774
0.019364513,2042.33452
0.016403964,332.1869399
0.014757731,-455.2191399
0.013333379,-818.1641298
0.01170798,-1101.13819
0.009284096,-1341.05098
0.005737402,-1537.9025
0.002600379,-1679.38953
-0.000559408,-1765.51207
-0.00278795,-1808.57334
-0.002854349,-1500.99284
-0.002547102,-1371.80903
-0.001331392,-793.5576898
