panel zone shear distortion (rad),panel zone shear force (kN)
-1.27E-04,9.673769925
-0.001458774,-241.8442481
-1.90E-04,11.60852391
0.001205074,296.0173597
-0.001458774,-241.8442481
0.001331924,286.3435898
-0.001585624,-270.8655579
-0.001585624,-303.7563756
-0.002410148,-398.5593209
-0.003107822,-446.9281705
-0.003551797,-452.7324325
-0.002156448,-108.3462232
-0.001205074,63.8468815
-4.44E-04,208.9534304
6.34E-04,357.9294872
0.001458774,448.8629245
0.002093023,475.9494803
0.002727273,503.0360361
0.003044397,506.905544
0.001712474,199.2796604
5.07E-04,-13.54327789
1.27E-04,-79.32491338
0,-158.6498268
-8.88E-04,-251.518018
-0.001712474,-325.0386695
-0.002156448,-396.6245669
-0.002663848,-429.5153847
-0.003107822,-456.6019404
-0.003361522,-477.8842343
-0.003678647,-485.6232502
-0.002790698,-236.0399862
-0.001205074,87.06392932
-6.34E-05,265.0612959
0.001522199,429.5153847
0.002156448,475.9494803
0.002790698,506.905544
0.003107822,499.1665281
0.002093023,245.7137561
7.61E-04,17.41278586
-4.44E-04,-193.4753985
-0.001458774,-332.7776854
-0.002219873,-408.2330908
-0.002790698,-454.6671865
-0.003995772,-506.905544
-0.004630021,-522.3835759
-0.005391121,-541.7311158
-0.00653277,-557.2091477
-0.007230444,-566.8829176
-0.007928118,-576.5566875
-0.008435518,-576.5566875
-0.007928118,-412.1025988
-0.006976744,-237.9747401
-0.00602537,-61.91212752
-0.005010571,77.3901594
-0.004122622,183.8016286
-0.003234672,265.0612959
-0.002473573,325.0386695
-0.001331924,388.885551
-5.71E-04,429.5153847
6.34E-04,477.8842343
0.001649049,516.579314
0.003107822,557.2091477
0.004503171,580.4261955
0.005581395,599.7737353
0.006596195,611.3822592
0.007357294,622.9907831
0.007484144,570.7524256
0.00615222,326.9734235
0.005454545,135.4327789
0.004503171,-5.804261955
0.003551797,-137.3675329
0.002346723,-236.0399862
0.001395349,-292.1478517
0,-373.4075191
-0.001712474,-444.9934165
-0.002536998,-477.8842343
-0.003932347,-522.3835759
-0.005327696,-553.3396397
-0.006786469,-576.5566875
-0.008054968,-599.7737353
-0.010655391,-642.338323
-0.01192389,-653.9468469
-0.012938689,-663.6206168
-0.012684989,-551.4048857
-0.01167019,-365.6685031
-0.010718816,-174.1278586
-0.009577167,-34.82557173
-0.008625793,73.52065143
-0.007357294,193.4753985
-0.005835095,284.4088358
-0.004693446,344.3862093
-0.003424947,402.4288289
-0.001712474,460.4714484
2.54E-04,512.709806
0.002410148,563.0134096
0.005010571,615.2517672
0.007610994,667.4901248
0.009386892,688.7724186
0.010465116,702.3156965
0.011606765,702.3156965
0.011479915,667.4901248
0.010782241,441.1239086
0.009196617,168.3235967
0.008435518,15.47803188
0.007420719,-83.19442135
0.006342495,-183.8016286
0.005137421,-270.8655579
0.003551797,-334.7124394
0.002093023,-396.6245669
5.07E-04,-446.9281705
-9.51E-04,-489.4927582
-0.002790698,-535.9268538
-0.004693446,-572.6871795
-0.006913319,-613.3170132
-0.009450317,-653.9468469
-0.01154334,-682.9681567
-0.013128964,-700.3809425
-0.014460888,-708.1199585
-0.015412262,-717.7937284
-0.016109937,-715.8589744
-0.015729387,-578.4914415
-0.014460888,-381.146535
-0.013572939,-181.8668746
-0.012367865,-46.43409564
-0.011353066,73.52065143
-0.010274841,185.7363826
-0.008816068,276.6698198
-0.007420719,348.2557173
-0.005454545,408.2330908
-0.003932347,450.7976785
-4.44E-04,528.1878379
0.003107822,590.0999654
0.005961945,634.5993071
0.008245243,667.4901248
0.010338266,692.6419266
0.011733615,710.0547125
0.013065539,727.4674983
0.014270613,735.2065143
0.015602537,744.8802842
0.016236786,746.8150382
0.016173362,667.4901248
0.015412262,477.8842343
0.014143763,245.7137561
0.013128964,73.52065143
0.01192389,-48.36884962
0.010655391,-166.3888427
0.009386892,-243.7790021
0.007484144,-328.9081774
