panel zone shear distortion (rad),panel zone shear force (kN)
-4.95224E-06,-1.648589214
0.001750046,268.7200418
0.000319229,1.648589214
-0.002398408,-275.3143987
-0.000329134,-4.945767641
0.001720332,258.8285065
2.47612E-05,8.242946068
-0.002388504,-272.0172203
1.48567E-05,4.945767641
0.001563194,258.8285065
0.000348943,11.5401245
-0.002388504,-272.0172203
2.47612E-05,8.242946068
0.001907184,268.7200418
0.0001819,8.242946068
-0.002398408,-275.3143987
0.000348943,11.5401245
0.001583003,265.4228634
0.000683028,18.13448135
-0.002525833,-265.4228634
-0.000112568,14.83730292
0.001690619,248.9369713
-0.000132377,8.242946068
-0.002221461,-268.7200418
-0.000132377,8.242946068
0.002350219,311.5833614
0.000368751,18.13448135
-0.002988677,-314.8805398
-0.000152186,1.648589214
0.002163367,301.6918261
2.47612E-05,8.242946068
-0.002841443,-318.1777182
0.000358847,14.83730292
0.002340315,308.286183
0.000221518,21.43165978
-0.002614973,-295.0974692
3.46657E-05,11.5401245
0.002340315,308.286183
0.000545699,24.7288382
-0.00281173,-308.286183
-0.000112568,14.83730292
0.002143558,295.0974692
0.000408369,31.32319506
-0.002664496,-311.5833614
2.47612E-05,8.242946068
0.002173272,304.9890045
-0.000122473,11.5401245
-0.002438026,-288.5031124
0.000358847,14.83730292
0.002882394,384.1212868
0.000191804,11.5401245
-0.003411903,-351.1495025
-0.000623601,1.648589214
0.002478977,354.4466809
0.001164348,21.43165978
6.17126E-05,-84.0780499
-0.001267393,-212.6680086
-0.002428122,-285.205934
-0.003225051,-341.2579672
-0.001095017,1.648589214
-0.000513319,90.67240675
0.000422274,192.884938
0.000688361,229.1539007
0.000944545,262.125685
0.002055751,318.1777182
0.002636116,354.4466809
0.000997305,18.13448135
-0.003254765,-351.1495025
-0.000741122,14.83730292
0.002498786,361.0410378
0.000653315,8.242946068
-0.003352476,-331.3664319
-0.00137958,11.5401245
0.000688361,229.1539007
0.001309677,331.3664319
0.003570375,403.9043573
0.003253432,298.3946477
0.002888299,229.1539007
0.002296697,136.8329047
0.002058989,57.70062248
0.001969849,28.02601663
0.000463796,-107.1582989
-0.00061903,-206.0736517
-0.00164243,-285.205934
-0.003058008,-337.9607888
-0.004964812,-397.3100005
-0.005296231,-298.3946477
-0.004172453,-133.5357263
-0.003078389,21.43165978
-0.001267964,153.3187969
0.000355609,275.3143987
0.001987753,347.8523241
0.003423141,407.2015358
0.004592441,430.2817848
0.005024239,417.0930711
0.00528766,347.8523241
0.004991859,301.6918261
0.004606917,225.8567223
0.00414274,123.644191
0.002932488,34.62037349
0.002724494,-34.62037349
0.001878042,-107.1582989
0.001051399,-173.1018674
2.79994E-05,-252.2341497
-0.000876546,-291.8002908
-0.002144891,-347.8523241
-0.003324096,-374.2297515
-0.005298897,-403.9043573
-0.005788788,-357.7438594
-0.005294898,-245.6397928
-0.004241785,-156.6159753
-0.003069818,-28.02601663
-0.002339553,110.4554773
-0.000608364,215.965187
0.000277706,301.6918261
0.001860328,357.7438594
0.004051695,407.2015358
0.005564985,440.17332
0.005197186,265.4228634
0.003679896,74.18651461
0.001957278,-80.78087147
0.000775407,-212.6680086
-0.000916164,-304.9890045
-0.002292125,-344.5551457
-0.004336258,-397.3100005
-0.005325944,-308.286183
-0.004408828,-159.9131537
-0.003355715,-70.88933619
-0.00180014,80.78087147
-0.001709666,163.2103322
0.000405131,291.8002908
0.002695543,374.2297515
0.0048671,417.0930711
0.005003096,357.7438594
0.004254356,265.4228634
0.004016648,186.2905811
0.003759132,100.563942
0.003217052,24.7288382
0.002881633,-34.62037349
0.002526405,-100.563942
0.001522814,-173.1018674
0.000529128,-242.3426144
-0.000601888,-304.9890045
-0.002184509,-361.0410378
-0.005426322,-394.0128221
-0.005484416,-361.0410378
-0.004901385,-219.2623654
-0.004073409,-100.563942
-0.002764112,21.43165978
-0.001504338,126.9413695
-0.001050066,225.8567223
0.000838262,331.3664319
0.002440693,394.0128221
0.004985954,456.6592122
0.006950851,483.0366396
0.009327736,489.6309965
0.009129646,423.6874279
0.008557853,337.9607888
0.00810358,239.045436
0.007247223,163.2103322
0.006822664,74.18651461
0.005867263,-34.62037349
0.004981193,-120.3470126
0.004037029,-173.1018674
0.002178415,-268.7200418
-0.000573507,-347.8523241
-0.003089055,-400.6071789
-0.005230899,-433.5789632
-0.007863968,-473.1451043
-0.008492521,-473.1451043
-0.009404305,-410.4987142
-0.008852321,-331.3664319
-0.008427761,-242.3426144
-0.00721751,-153.3187969
-0.006300393,-4.945767641
-0.005482321,110.4554773
-0.003250003,225.8567223
-0.001283773,304.9890045
0.000809882,374.2297515
0.003502377,433.5789632
0.006616765,476.4422827
0.009053077,502.8197102
0.009288118,476.4422827
0.009384496,403.9043573
0.009235929,354.4466809
0.007976155,248.9369713
0.008072533,176.3990459
0.006635812,64.29497933
0.006457532,4.945767641
0.004617393,-136.8329047
0.003830368,-189.5877596
0.002729066,-242.3426144
0.001607955,-301.6918261
0.000222089,-344.5551457
-0.002303363,-400.6071789
-0.004632059,-443.4704985
-0.008158436,-466.5507475
-0.009101266,-466.5507475
-0.009591157,-420.3902495
-0.009500683,-337.9607888
-0.008487188,-262.125685
-0.007708734,-159.9131537
-0.007216177,-100.563942
-0.006860949,-34.62037349
-0.005857358,37.91755191
-0.005531844,93.96958518
-0.004341401,176.3990459
-0.003494949,248.9369713
-0.002099179,295.0974692
-0.000663791,354.4466809
0.002352886,417.0930711
0.005644221,466.5507475
0.007020182,506.1168886
0.0102719,542.3858513
0.012030135,552.2773866
0.012589358,529.1971376
0.012705545,463.253569
0.012596596,426.9846063
0.012448029,377.5269299
0.012092801,311.5833614
0.011874902,239.045436
0.011293204,150.0216184
0.01074122,70.88933619
0.010218949,1.648589214
0.009195549,-77.48369304
0.00817215,-156.6159753
0.006874091,-222.5595438
0.004730914,-308.286183
0.002382409,-357.7438594
-0.000270468,-403.9043573
-0.002903537,-443.4704985
-0.006332201,-486.333818
-0.009583919,-522.6027807
-0.013060773,-529.1971376
-0.013127438,-446.7676769
-0.013036964,-364.3382162
-0.012276986,-215.965187
-0.010584081,-70.88933619
-0.00931307,90.67240675
-0.007158655,232.4510791
-0.005399086,295.0974692
-0.003482378,357.7438594
-0.001330629,394.0128221
0.000300182,413.7958926
0.003728847,456.6592122
0.00600802,483.0366396
0.009574015,519.3056023
0.012825732,555.574565
0.013208007,525.8999592
0.013118867,496.2253533
0.012871255,413.7958926
0.012732592,367.6353946
0.012063087,301.6918261
0.011904615,248.9369713
0.011765953,202.7764733
0.011587672,143.4272616
0.010888454,67.59215776
0.010405801,11.5401245
0.009942957,-37.91755191
0.008448142,-117.0498342
0.007847969,-159.9131537
0.005704791,-245.6397928
0.004643107,-285.205934
0.003571518,-328.0692535
0.000220756,-397.3100005
-0.001272726,-423.6874279
-0.004220071,-463.253569
-0.008915747,-509.414067
-0.011626718,-522.6027807
-0.013325527,-512.7112454
-0.013491237,-463.253569
-0.013361146,-367.6353946
-0.013192769,-311.5833614
-0.012199083,-242.3426144
-0.011647099,-163.2103322
-0.01083036,-100.563942
-0.009914577,-4.945767641
-0.009412115,57.70062248
-0.008702992,136.8329047
-0.007277509,192.884938
-0.005743076,285.205934
-0.003639516,357.7438594
-0.000191043,407.2015358
0.003738751,459.9563906
0.006636574,483.0366396
0.010536654,525.8999592
0.01298287,555.574565
0.013965319,568.7632787
0.016853237,588.5463493
0.020045528,605.0322414
0.020841124,608.3294198
0.020712366,565.4661003
0.02040666,516.0084239
0.020110859,469.8479259
0.019982101,426.9846063
0.019793916,364.3382162
0.019369357,275.3143987
0.01920098,219.2623654
0.018128059,123.644191
0.017615692,57.70062248
0.017063708,-21.43165978
0.015352328,-120.3470126
0.014929102,-156.6159753
0.013336575,-215.965187
0.010702174,-308.286183
0.008176721,-364.3382162
0.003558947,-436.8761416
0.001279774,-463.253569
-0.000498271,-479.7394612
-0.004525776,-512.7112454
-0.0082291,-542.3858513
-0.009840102,-555.574565
-0.015124715,-588.5463493
-0.019554304,-598.4378846
-0.021754241,-598.4378846
-0.022411175,-555.574565
-0.021416156,-433.5789632
-0.021060928,-367.6353946
-0.019101936,-186.2905811
-0.018726899,-113.7526557
-0.016668862,100.563942
-0.015046622,169.804689
-0.013541903,252.2341497
-0.011507675,301.6918261
-0.009266786,367.6353946
-0.004953384,443.4704985
-0.002182986,476.4422827
0.00265002,516.0084239
0.005891833,548.9802081
0.010213806,575.3576356
0.012630309,595.1407061
0.016470962,618.2209551
0.019319263,624.815312
0.021165306,611.6265983
0.021233304,581.9519924
0.021094641,535.7914944
0.02057237,466.5507475
0.020905123,420.3902495
0.019527828,328.0692535
0.019230694,229.1539007
0.019062318,173.1018674
0.018510333,93.96958518
0.017743117,47.8090872
0.01725056,-11.5401245
0.016590959,-74.18651461
0.01531271,-133.5357263
0.014555398,-176.3990459
0.01337486,-255.5313281
0.011988994,-298.3946477
0.0089327,-374.2297515
0.005307279,-430.2817848
0.003195148,-453.3620338
0.000267612,-486.333818
-0.0053808,-535.7914944
-0.007433504,-539.0886729
-0.010468656,-555.574565
-0.0142895,-572.0604571
-0.018424621,-588.5463493
-0.021714623,-585.2491708
-0.022017663,-529.1971376
-0.021387776,-476.4422827
-0.021169877,-403.9043573
-0.020647606,-334.6636104
-0.020095622,-255.5313281
-0.018521571,-150.0216184
-0.018441002,-70.88933619
-0.016827334,47.8090872
-0.016718384,84.0780499
-0.016019166,159.9131537
-0.014416735,222.5595438
-0.013836371,258.8285065
-0.012430696,308.286183
-0.009915148,361.0410378
-0.00611278,423.6874279
-0.003646754,459.9563906
0.00168738,509.414067
0.003926936,522.6027807
0.008091771,548.9802081
0.011814903,585.2491708
0.014712726,608.3294198
0.017737974,621.5181335
0.02043904,631.4096688
0.023591713,634.7068473
0.02581146,641.3012041
0.027864164,644.5983825
0.028620142,634.7068473
0.028638618,588.5463493
0.028706616,558.8717434
0.028784519,532.494316
0.028675569,496.2253533
0.028242439,456.6592122
0.027622456,407.2015358
0.027394653,331.3664319
0.026892191,268.7200418
0.026536963,202.7764733
0.02584765,130.2385479
0.025207858,74.18651461
0.024705396,11.5401245
0.023741424,-47.8090872
0.022924685,-110.4554773
0.020348377,-235.7482576
0.019453736,-272.0172203
0.018097584,-304.9890045
0.016240303,-347.8523241
0.013577521,-397.3100005
0.010787314,-436.8761416
0.00770264,-469.8479259
0.004460827,-502.8197102
0.00045313,-529.1971376
-0.002070989,-532.494316
-0.008328145,-575.3576356
-0.003849034,-548.9802081
-0.006412771,-565.4661003
-0.010341231,-565.4661003
-0.013229149,-585.2491708
-0.016274206,-605.0322414
-0.018651091,-611.6265983
-0.019201742,-638.0040257
-0.022324701,-631.4096688
-0.025320236,-634.7068473
-0.02723561,-644.5983825
-0.028178441,-644.5983825
-0.028707949,-611.6265983
-0.029462595,-548.9802081
-0.029343741,-509.414067
-0.029125842,-436.8761416
-0.02827939,-364.3382162
-0.027246086,-281.9087555
-0.027322656,-202.7764733
-0.026416776,-110.4554773
-0.02599355,-74.18651461
-0.025343854,-14.83730292
-0.024566734,34.62037349
-0.024044463,103.8611205
-0.022432127,169.804689
-0.022323178,206.0736517
-0.020937313,248.9369713
-0.018401956,308.286183
-0.017045804,341.2579672
-0.014343404,403.9043573
-0.012074135,426.9846063
-0.008508141,463.253569
-0.005924595,486.333818
-0.001572908,522.6027807
0.002444692,552.2773866
0.007267794,588.5463493
0.012218321,614.9237767
0.016500676,628.1124904
0.023267532,631.4096688
0.026597152,641.3012041
0.029356312,618.2209551
0.028814232,542.3858513
0.028015969,433.5789632
0.028290628,420.3902495
0.027551792,331.3664319
0.026764766,278.6115771
0.026518488,248.9369713
0.026409538,212.6680086
0.026300589,176.3990459
0.02584765,130.2385479
0.025492422,64.29497933
0.024695492,8.242946068
0.023200677,-70.88933619
0.022885067,-123.644191
0.021813478,-166.5075106
0.020574847,-212.6680086
0.019473545,-265.4228634
0.017055708,-337.9607888
0.015071003,-370.9325731
0.012575264,-417.0930711
0.008959747,-469.8479259
0.004922337,-506.1168886
0.000767407,-529.1971376
-0.000843595,-542.3858513
-0.006412771,-565.4661003
-0.012433553,-581.9519924
-0.019790678,-624.815312
-0.022953255,-631.4096688
-0.026105928,-634.7068473
-0.029730016,-638.0040257
-0.029837632,-621.5181335
-0.030218573,-539.0886729
-0.030030388,-476.4422827
-0.028377102,-344.5551457
-0.028071396,-295.0974692
-0.027549125,-225.8567223
-0.026593724,-117.0498342
-0.02567794,-21.43165978
-0.024909391,77.48369304
-0.023444289,146.72444
-0.020396566,272.0172203
-0.019315073,318.1777182
-0.017477601,354.4466809
-0.015473086,394.0128221
-0.012034517,440.17332
-0.009254215,476.4422827
-0.004725581,519.3056023
-0.001209109,539.0886729
0.005627079,565.4661003
0.008347954,581.9519924
0.013769896,608.3294198
0.018239103,631.4096688
0.022511553,641.3012041
0.026774099,647.895561
0.029288314,647.895561
0.030692655,644.5983825
0.033216774,647.895561
0.037165043,654.4899178
0.037753979,641.3012041
0.03764503,605.0322414
0.037643697,552.2773866
0.037534747,516.0084239
0.037081808,469.8479259
0.036795911,426.9846063
0.036529824,390.7156436
0.035890032,334.6636104
0.035761274,291.8002908
0.035475377,248.9369713
0.035169672,199.4792949
0.03441236,156.6159753
0.034323219,126.9413695
0.034027418,80.78087147
0.032679837,-1.648589214
0.032286325,-28.02601663
0.031686151,-70.88933619
0.030397997,-133.5357263
0.029660494,-169.804689
0.027743787,-232.4510791
0.025502898,-298.3946477
0.024126937,-337.9607888
0.01934212,-413.7958926
0.016571722,-446.7676769
0.012671642,-489.6309965
0.010589225,-502.8197102
0.007122275,-506.1168886
0.006179445,-506.1168886
0.003714752,-489.6309965
0.001308154,-506.1168886
-0.005135854,-558.8717434
-0.010528083,-575.3576356
-0.013396192,-588.5463493
-0.013877512,-591.8435277
-0.018905941,-591.8435277
-0.021931189,-605.0322414
-0.025260809,-614.9237767
-0.027932162,-614.9237767
-0.03190024,-628.1124904
-0.034571593,-628.1124904
-0.038185776,-628.1124904
-0.039373552,-605.0322414
-0.039342506,-542.3858513
-0.03917413,-486.333818
-0.037600079,-380.8241084
-0.036851338,-288.5031124
-0.035611373,-189.5877596
-0.035433093,-130.2385479
-0.035107578,-74.18651461
-0.034103988,-1.648589214
-0.032796025,67.59215776
-0.032048617,107.1582989
-0.030897793,176.3990459
-0.029325075,229.1539007
-0.028223773,281.9087555
-0.025226906,337.9607888
-0.021738814,400.6071789
-0.018968416,433.5789632
-0.017357414,446.7676769
-0.014125506,476.4422827
-0.011374917,502.8197102
-0.00807501,502.8197102
-0.006042115,499.5225317
-0.003744466,479.7394612
0.000695028,492.9281749
0.002984106,522.6027807
0.006707238,558.8717434
0.01070503,581.9519924
0.016156685,618.2209551
0.019181933,631.4096688
0.023454384,641.3012041
0.025841173,651.1927394
0.029298218,651.1927394
0.031478347,644.5983825
0.034306839,644.5983825
0.037292468,644.5983825
0.037448274,591.8435277
0.037388847,572.0604571
0.037250184,525.8999592
0.037091712,473.1451043
0.03695305,426.9846063
0.036764864,364.3382162
0.036498777,328.0692535
0.035888699,281.9087555
0.035288525,239.045436
0.034716732,153.3187969
0.033890089,87.37522832
0.033437149,41.21473034
0.032316038,-18.13448135
0.031892812,-54.40344405
0.030958553,-103.8611205
0.030201241,-146.72444
0.02859881,-209.3708301
0.027016188,-265.4228634
0.023438956,-357.7438594
0.020688367,-384.1212868
0.018232246,-417.0930711
0.015098049,-466.5507475
0.009558587,-479.7394612
0.008595948,-486.333818
0.005590509,-492.9281749
0.002948869,-483.0366396
0.000846643,-502.8197102
-0.002709447,-535.7914944
-0.004801769,-552.2773866
-0.010685221,-575.3576356
-0.012914872,-585.2491708
-0.017157609,-585.2491708
-0.023148678,-591.8435277
-0.026959618,-605.0322414
-0.031723293,-621.5181335
-0.033785901,-628.1124904
-0.036614392,-628.1124904
-0.039039467,-598.4378846
-0.039215081,-552.2773866
-0.03885852,-433.5789632
-0.038189015,-367.6353946
-0.036389828,-291.8002908
-0.036191738,-225.8567223
-0.03503958,-103.8611205
-0.033888756,-34.62037349
-0.03244213,80.78087147
-0.030740654,176.3990459
-0.028971181,242.3426144
-0.026789719,288.5031124
-0.025600609,318.1777182
-0.022947732,364.3382162
-0.02016743,400.6071789
-0.018045395,426.9846063
-0.014449687,473.1451043
-0.012524408,486.333818
-0.010127714,499.5225317
-0.006346487,502.8197102
-0.002861062,459.9563906
-0.000444559,479.7394612
0.003465425,525.8999592
0.00893689,568.7632787
0.012934681,591.8435277
0.017865399,611.6265983
0.022943351,628.1124904
0.02973992,641.3012041
0.032578316,644.5983825
0.037282564,641.3012041
0.040258289,638.0040257
0.043715334,638.0040257
0.0456109,641.3012041
