panel zone shear distortion (rad),panel zone shear force (kN)
0,0
0.000659722,791.3210639
-0.000833333,-671.423933
0.000729167,791.3210639
-0.000833333,-639.4513647
0.001527778,1414.786144
-0.002152778,-1071.081036
-0.002638889,-1390.806718
0.000173611,503.5679497
0.001458333,1414.786144
-0.002534722,-1302.882156
-0.000590278,7.993142059
0.001458333,1430.772429
0.001875,1542.676417
0.002847222,1694.546117
0.003958333,1782.470679
0.005208333,1830.429532
0.005972222,1854.408958
0.005763889,1646.587264
0.004305556,503.5679497
0.003680556,23.97942618
0.002638889,-415.6433871
0.001770833,-815.30049
0.001006944,-1063.087894
-0.000486111,-1438.765571
-0.001076389,-1566.655844
-0.002291667,-1686.552975
-0.005069444,-1862.4021
-0.010451389,-2014.271799
-0.011631944,-2014.271799
-0.0121875,-2038.251225
-0.012222222,-1910.360952
-0.011215278,-1262.916445
-0.010034722,-599.4856544
-0.008784722,-15.98628412
-0.007673611,383.6708188
-0.006666667,687.4102171
-0.005625,935.1976209
-0.004375,1135.026172
-0.002708333,1318.86844
-0.001284722,1478.731281
-0.000138889,1566.655844
0.001006944,1678.559832
0.004201389,1854.408958
0.006701389,1966.312947
0.006979167,1974.306089
0.006979167,1838.422674
0.005902778,871.2524845
0.005208333,511.5610918
0.004652778,151.8696991
0.004201389,-119.8971309
0.0034375,-383.6708188
0.002569444,-703.3965012
0.001770833,-903.2250527
0.000798611,-1119.039888
-0.000381944,-1278.902729
-0.002118056,-1494.717565
-0.003958333,-1654.580406
-0.007673611,-1926.347236
-0.010381944,-1982.299231
-0.0121875,-2038.251225
-0.013402778,-2054.237509
-0.014097222,-2054.237509
-0.013333333,-1550.66956
-0.012465278,-991.1496154
-0.0115625,-431.6296712
-0.010520833,47.95885236
-0.009166667,503.5679497
-0.007743056,847.2730583
-0.0059375,1166.998741
-0.004097222,1358.83415
-0.001770833,1558.662702
0.000729167,1726.518685
0.003923611,1846.415816
0.006909722,2006.278657
0.009479167,2078.216935
0.012222222,2126.175788
0.014895833,2166.141498
0.017326389,2214.10035
0.019861111,2238.079777
0.021284722,2254.066061
0.021979167,2254.066061
0.021979167,2094.20322
0.021631944,1822.43639
0.021111111,1574.648986
0.020520833,1342.847866
0.020277778,1111.046746
0.019756944,831.2867742
0.019131944,583.4993703
0.01875,335.7119665
0.0184375,95.91770471
0.018020833,-95.91770471
0.0171875,-399.657103
0.01625,-583.4993703
0.014861111,-855.2662003
0.013993056,-1031.115326
0.012569444,-1238.937019
0.010659722,-1406.793002
0.009548611,-1534.683275
0.007222222,-1686.552975
0.003541667,-1846.415816
0.000243056,-2006.278657
-0.002673611,-2086.210077
-0.005104167,-2174.13464
-0.008055556,-2222.093492
-0.010451389,-2262.059203
-0.012465278,-2310.018055
-0.013680556,-2310.018055
-0.014513889,-2310.018055
-0.014618056,-2078.216935
-0.014166667,-1838.422674
-0.012673611,-959.1770471
-0.011493056,-383.6708188
-0.008993056,567.5130862
-0.007256944,951.1839051
-0.004826389,1254.923303
-0.001840278,1558.662702
0.002256944,1798.456963
0.008055556,2006.278657
0.016319444,2278.045487
0.0165625,2262.059203
0.016458333,1726.518685
0.016284722,1606.621554
0.014375,415.6433871
0.01375,71.93827853
