panel zone shear distortion (rad),panel zone shear force (kN)
3.09E-06,36.79560321
-9.55E-07,36.72094785
4.19E-06,49.97028893
1.23E-05,70.36473313
2.08E-05,86.07381462
2.59E-05,91.25557421
2.96E-05,104.4819303
6.97E-05,117.6913557
9.58E-05,137.8231676
0.000141427,160.6141028
0.000167545,194.2302633
0.000212058,218.7749586
0.000237444,246.1885072
0.000280117,281.4262461
0.000308078,307.7755133
0.000349645,339.808856
0.000382756,368.815237
0.00041954,400.4540883
0.000457436,431.131528
0.000488334,462.852516
0.000528803,494.8290743
0.00055492,524.1167254
0.000596861,556.6302872
0.000621507,591.1068439
0.000666388,619.9877416
0.000692137,651.0127599
0.00073481,684.2677607
0.000761299,717.7185975
0.000800292,746.9824452
0.000827885,777.9687489
0.000865037,812.6019501
0.000896677,840.7769017
0.000930888,870.773178
0.000966573,903.3661962
0.000996367,935.4215227
0.001035363,961.9466987
0.0010567,994.8502264
0.001096064,1026.568772
0.001115929,1055.483216
0.001158971,1086.577623
0.00117994,1118.450535
0.001221508,1147.962236
0.001243582,1179.687973
0.00128,1211.490743
0.001305385,1239.610163
0.001337388,1267.814111
0.001369027,1303.027785
0.001381532,1315.44431
0.00138595,1314.817092
0.001381165,1313.470321
0.001388157,1312.227251
0.001378958,1311.013171
0.001388156,1310.040001
0.001377855,1309.611283
0.001388524,1309.548696
0.001378959,1309.132049
0.001387051,1308.662245
0.00137896,1307.491492
0.001384107,1306.284556
0.001382271,1305.802704
0.001378589,1291.456814
0.001360195,1259.629528
0.001328919,1227.972259
0.001304274,1189.074534
0.001265644,1154.696107
0.001243939,1120.036172
0.001201999,1081.93372
0.001182134,1051.359666
0.00114093,1014.796547
0.001120328,985.0898438
0.001080966,948.6229824
0.001058522,917.2824112
0.001018427,884.2898934
0.000989363,850.5791002
0.000956256,816.6059247
0.000924616,784.4223044
0.00089482,752.7252328
0.000858399,719.6678465
0.000832281,686.4412218
0.000794017,652.7664472
0.000769373,623.447362
0.000727802,588.9127515
0.000704259,557.3077069
0.000660849,525.6588691
0.000636569,493.0463579
0.000595368,460.0514358
0.000568144,428.1931495
0.000529152,398.3897549
0.000497143,366.4111509
