panel zone shear distortion (rad),panel zone shear force (kN)
0.000146597,5.409370043
0.000984293,291.0241083
0.002031414,430.5858554
0.002743455,579.8844686
0.003832461,745.4111919
0.004963351,891.4641831
0.006471204,1024.534686
0.009319372,1164.096433
0.013842932,1241.991362
0.020544503,1313.395046
0.01991623,1014.79782
0.018827225,712.9549717
0.017403141,437.0770995
0.016020942,131.988629
0.014848168,-7.57311806
0.013968586,-153.6261092
0.012795812,-306.1703444
0.011748691,-423.0127374
0.010450262,-582.0482166
0.00852356,-731.3468298
0.00626178,-861.1717108
0.002701571,-997.4878359
-0.002324607,-1159.768937
-0.009403141,-1299.330684
-0.020376963,-1393.453723
-0.019413613,-1003.97908
-0.018198953,-724.8555858
-0.016900524,-426.2583594
-0.015141361,-150.3804872
-0.014094241,2.163748017
-0.007861771,1.616767024
-0.006738661,140.6587311
-0.005399568,318.5031037
-0.004535637,431.6767954
-0.002116631,596.5870319
0.001295896,845.5691536
0.00362851,997.5452538
0.005183585,1071.916537
0.007818575,1181.856695
0.009805616,1233.593239
0.012311015,1311.198056
0.013693305,1337.066329
0.017365011,1404.970544
0.019654428,1437.305884
0.022548596,1466.407691
0.026781857,1514.910701
0.025658747,1172.156092
0.023844492,712.9942576
0.022073434,431.6767954
0.02,105.0898566
0.017969762,-160.0599354
0.016889849,-295.8683654
0.014946004,-451.0779997
0.013304536,-573.9522935
0.011101512,-735.6289959
0.008596112,-887.6050962
0.006220302,-1010.47939
0.004406048,-1075.150071
0.001166307,-1172.156092
-0.007170626,-1414.671146
-0.013822894,-1482.575361
-0.027041037,-1582.814916
-0.025226782,-1007.245856
-0.023758099,-725.9283938
-0.02237581,-431.6767954
-0.020215983,-147.1257992
