panel zone shear distortion (rad),panel zone shear force (kN)
-0.0001213,0
0.000727798,217.8727331
-4.04332E-05,0
-0.000646931,-201.0618467
-0.000161733,3.301102017
0.000687365,214.5716311
-0.000727798,-197.8189136
0,16.50551008
0.000808664,231.0771412
-0.000687365,-201.0618467
0,3.301102017
0.001415162,448.9498743
-0.00113213,-398.8807603
-8.08664E-05,3.301102017
0.001415162,455.5520783
-0.001051264,-408.6095593
-0.000161733,6.602204034
0.001415162,448.9498743
-0.00113213,-398.8807603
0,3.301102017
0.001496029,445.6487723
-0.001051264,-402.1236933
-4.04332E-05,-6.485866021
0.001415162,458.8531803
0.001981227,623.9082812
-0.000970397,-369.6943632
-0.001779061,-583.7279419
0,-3.242933011
0.002021661,630.5104852
-0.001819495,-586.9708749
-0.000768231,-191.3330476
0.002021661,627.2093832
-0.001576895,-538.3268798
-0.001779061,-586.9708749
0.000687365,227.7760392
0.002062094,630.5104852
0.002506859,722.9413417
0.002709025,755.9523619
0.003072924,769.1567699
0.003436823,749.3501578
0.00339639,673.4248114
0.002709025,429.1432622
0.000849097,-129.7173204
-0.000485199,-515.6263487
-0.00113213,-687.5017982
-0.001859928,-820.4620517
-0.002345126,-869.1060468
-0.002749458,-882.0777789
-0.002749458,-807.4903196
-0.00214296,-583.7279419
-0.000161733,-3.242933011
0.001940794,627.2093832
0.002628159,739.4468518
0.002992058,752.6512598
0.00339639,732.8446477
0.00327509,633.8115872
0.002345126,316.9057936
0.000727798,-175.1183826
-0.000404332,-515.6263487
-0.001293863,-710.2023293
-0.001940794,-823.7049847
-0.002506859,-865.8631138
-0.002789892,-865.8631138
-0.002062094,-583.7279419
4.04332E-05,9.903306051
0.002102527,653.6181993
0.002587726,736.1457498
0.002992058,739.4468518
0.003315523,732.8446477
0.003315523,670.1237094
0.002062094,221.1738351
0.000768231,-123.2314544
-0.000242599,-460.4964875
-0.000929964,-658.3154011
-0.001779061,-817.2191187
-0.002466426,-869.1060468
-0.002789892,-875.5919129
-0.001212996,-324.2933011
0.000646931,250.8837533
0.002466426,706.4358316
0.002992058,772.4578719
0.003598556,805.4688921
0.004205054,838.4799123
0.005013718,854.9854224
0.005943682,861.5876264
0.00667148,861.5876264
0.006631047,812.0710961
0.006388448,736.1457498
0.00553935,439.0465682
0.004124188,39.6132242
0.003355957,-194.5759806
0.002547292,-385.9090283
0.001738628,-548.0556788
0.000889531,-655.0724681
0.000242599,-726.4169944
-0.000444765,-807.4903196
-0.001536462,-904.7783099
-0.002304693,-940.4505731
-0.002951625,-972.8799032
-0.003477256,-995.5804342
-0.003800722,-998.8233673
-0.002951625,-518.8692817
-0.002183394,-249.7058418
-0.001455596,3.301102017
-0.000606498,247.5826513
0.000202166,409.3366501
0.000889531,524.8752207
0.001698195,637.1126893
0.002425993,729.5435457
0.003477256,795.5655861
0.004488087,825.2755042
0.005458484,845.0821163
0.006226715,851.6843204
0.006631047,848.3832183
0.006145848,643.7148933
0.004892419,257.4859573
0.003679422,-103.7738563
0.002668592,-356.7226312
0.001051264,-616.157272
0.000242599,-719.9311283
-0.000929964,-836.6767167
-0.001981227,-924.235908
-0.002789892,-972.8799032
-0.003598556,-989.0945682
-0.003922022,-989.0945682
-0.002870758,-551.2986118
-0.002183394,-272.4063729
-0.001374729,-19.45759806
-0.000727798,214.5716311
4.04332E-05,379.6267319
0.000646931,488.5630985
0.001576895,607.4027711
0.002062094,696.5325256
0.003477256,788.963382
0.004488087,835.1788103
0.005701083,841.7810143
0.006428881,845.0821163
0.006752347,812.0710961
0.004609386,198.066121
0.003315523,-194.5759806
0.001172563,-609.671406
-0.000889531,-843.1625827
-0.00214296,-950.1793721
-0.003072924,-985.8516352
-0.003800722,-998.8233673
-0.003194224,-697.2305973
-0.00238556,-340.5079661
-0.001576895,-51.88692817
-0.000929964,165.0551008
-0.0001213,363.1212219
0.000808664,514.9719146
0.001779061,663.5215054
0.002870758,769.1567699
0.004285921,825.2755042
0.005418051,868.1898304
0.007318412,927.6096667
0.008046209,954.0184829
0.009097473,957.3195849
0.009865704,950.7173809
0.009744404,861.5876264
0.008248375,333.4113037
0.006833213,0
0.005579783,-282.1351719
0.00440722,-479.9540856
0.002911191,-655.0724681
0.001455596,-771.8180565
0.000283032,-836.6767167
-0.001051264,-904.7783099
-0.002466426,-969.6369702
-0.003800722,-1011.795099
-0.004488087,-1021.523898
-0.004811552,-1021.523898
-0.004366787,-794.5185876
-0.003679422,-535.0839467
-0.002021661,-68.10159322
-0.000646931,297.0991815
0.000444765,488.5630985
0.001455596,627.2093832
0.00226426,713.0380356
0.003638989,788.963382
0.00553935,871.4909325
0.006833213,894.5986466
0.007763177,934.2118708
0.008652708,944.1151768
0.009178339,944.1151768
0.009865704,927.6096667
0.008976173,577.692853
0.006994946,-12.97173204
0.005094585,-379.4231622
0.00339639,-599.942607
0.001779061,-745.8745924
-0.000444765,-885.3207119
-0.002911191,-979.3657692
-0.004285921,-1021.523898
