Displacement [mm],Force [kN]
-0.215517241,5.997001499
-0.677339901,-70.46476762
-0.769704433,-106.4467766
-1.416256158,-245.8770615
-1.600985222,-284.107946
-1.785714286,-306.5967016
-1.97044335,-338.0809595
-2.155172414,-353.8230885
-2.155172414,-311.0944528
-1.97044335,-239.1304348
-1.693349754,-178.4107946
-1.50862069,-131.1844078
-1.139162562,-29.9850075
-0.769704433,84.70764618
0.153940887,284.8575712
0.800492611,399.5502249
0.985221675,444.5277361
0.615763547,197.1514243
0.153940887,77.96101949
-0.769704433,-223.3883058
-1.139162562,-313.3433283
-1.323891626,-383.0584708
-1.600985222,-491.0044978
-1.600985222,-416.7916042
-1.785714286,-392.053973
-2.247536946,-371.814093
-2.524630542,-353.8230885
-1.97044335,-261.6191904
-1.600985222,-203.1484258
-1.231527094,-92.95352324
-1.04679803,35.23238381
-0.123152709,224.137931
0.246305419,325.3373313
1.169950739,514.2428786
1.447044335,608.6956522
2.001231527,689.6551724
2.463054187,754.8725637
1.169950739,365.8170915
0.615763547,242.1289355
-0.030788177,32.98350825
-0.584975369,-47.97601199
-1.600985222,-194.1529235
-2.155172414,-277.3613193
-2.247536946,-293.1034483
-2.709359606,-326.8365817
-2.986453202,-344.8275862
-3.078817734,-329.0854573
-3.448275862,-299.850075
-3.725369458,-272.8635682
-4.187192118,-252.6236882
-4.371921182,-232.3838081
-2.986453202,-158.1709145
-2.339901478,-101.9490255
-1.97044335,-52.47376312
-1.50862069,8.245877061
0.153940887,257.8710645
1.262315271,489.5052474
1.908866995,633.4332834
2.463054187,714.3928036
3.109605911,763.868066
3.848522167,817.8410795
3.571428571,714.3928036
3.386699507,658.1709145
2.832512315,529.9850075
2.278325123,388.3058471
2.001231527,282.6086957
1.354679803,154.4227886
0.708128079,-5.247376312
0.246305419,-108.6956522
-0.215517241,-162.6686657
-0.584975369,-196.4017991
-1.04679803,-214.3928036
-1.600985222,-225.6371814
-2.155172414,-227.886057
-2.709359606,-227.886057
-3.35591133,-203.1484258
-4.094827586,-180.6596702
-4.833743842,-167.1664168
-5.757389163,-149.1754123
-3.725369458,-59.22038981
-2.339901478,12.74362819
-1.878078818,41.97901049
-0.030788177,170.1649175
0.892857143,262.3688156
1.262315271,323.0884558
1.724137931,392.8035982
2.185960591,455.7721139
2.463054187,507.4962519
2.832512315,577.2113943
3.109605911,635.6821589
3.479064039,687.4062969
4.125615764,732.3838081
4.587438424,770.6146927
5.418719212,813.3433283
5.233990148,741.3793103
4.495073892,520.9895052
4.217980296,451.2743628
3.571428571,260.11994
3.017241379,167.916042
2.647783251,75.71214393
2.185960591,12.74362819
2.001231527,-25.48725637
