Displacement [mm],Force [kN]
0.00E+00,3.83E-02
8.22E-01,6.55E+00
1.73E+00,1.45E+01
2.63E+00,2.31E+01
3.43E+00,3.00E+01
3.74E+00,3.29E+01
4.19E+00,3.60E+01
4.87E+00,3.97E+01
5.50E+00,4.34E+01
6.52E+00,4.81E+01
6.80E+00,4.96E+01
6.46E+00,4.60E+01
4.99E+00,3.31E+01
3.37E+00,1.87E+01
2.35E+00,9.14E+00
1.61E+00,3.20E+00
1.25E+00,4.21E-01
9.07E-01,-1.59E+00
3.97E-01,-3.12E+00
-8.50E-02,-3.79E+00
-6.23E-01,-4.37E+00
-1.25E+00,-4.75E+00
-2.10E+00,-4.85E+00
-4.59E+00,-5.42E+00
-6.77E+00,-5.42E+00
-4.19E+00,-5.04E+00
-2.44E+00,-4.46E+00
-1.84E+00,-4.18E+00
-9.07E-01,-2.93E+00
-4.53E-01,-1.49E+00
2.83E-02,9.00E-01
6.52E-01,5.69E+00
1.56E+00,1.34E+01
2.18E+00,1.95E+01
2.66E+00,2.33E+01
3.46E+00,3.00E+01
3.71E+00,3.28E+01
4.19E+00,3.60E+01
4.82E+00,3.96E+01
5.47E+00,4.34E+01
6.54E+00,4.80E+01
6.91E+00,4.93E+01
5.98E+00,4.15E+01
4.79E+00,3.08E+01
3.63E+00,2.03E+01
2.49E+00,1.00E+01
1.44E+00,5.17E-01
1.10E+00,-1.49E+00
8.50E-01,-2.84E+00
3.68E-01,-3.79E+00
-1.98E-01,-4.56E+00
-8.78E-01,-4.75E+00
-2.55E+00,-5.13E+00
-6.83E+00,-5.52E+00
-4.16E+00,-5.13E+00
-2.55E+00,-4.75E+00
-1.70E+00,-4.37E+00
-1.16E+00,-3.79E+00
-6.80E-01,-3.03E+00
-4.25E-01,-1.97E+00
-1.42E-01,-7.28E-01
3.12E-01,2.24E+00
1.27E+00,1.04E+01
2.10E+00,1.80E+01
2.61E+00,2.32E+01
3.46E+00,3.01E+01
3.71E+00,3.27E+01
4.16E+00,3.60E+01
4.84E+00,3.95E+01
5.47E+00,4.32E+01
6.57E+00,4.83E+01
6.88E+00,4.90E+01
6.26E+00,4.39E+01
5.44E+00,3.61E+01
4.16E+00,2.47E+01
3.12E+00,1.55E+01
2.61E+00,1.06E+01
1.87E+00,4.16E+00
1.61E+00,1.48E+00
