Displacement [mm],Force [kN]
0,0
-4.899851e+00,-4.457340e+02
-7.043536e+00,-4.890247e+02
-9.187221e+00,-5.018516e+02
-5.665453e+00,-4.024433e+02
-4.287370e+00,-3.302921e+02
-2.143685e+00,-1.587326e+02
6.124814e-01,3.206719e+01
2.143685e+00,2.501241e+02
3.674888e+00,3.543425e+02
5.052971e+00,4.056500e+02
6.890415e+00,4.681810e+02
8.421619e+00,4.858180e+02
7.656017e+00,3.912198e+02
5.359212e+00,2.405040e+02
3.215527e+00,6.734111e+01
1.531203e+00,-5.772095e+01
-1.071842e+00,-2.308838e+02
-3.062407e+00,-3.799963e+02
-4.287370e+00,-4.297004e+02
-6.124814e+00,-4.697844e+02
-8.268499e+00,-4.970415e+02
-7.349777e+00,-4.313038e+02
-6.584175e+00,-3.607559e+02
-5.359212e+00,-2.661577e+02
-3.521768e+00,-1.170453e+02
-1.071842e+00,5.772095e+01
2.296805e+00,2.773812e+02
3.981129e+00,3.703761e+02
5.665453e+00,4.345105e+02
7.043536e+00,4.697844e+02
8.268499e+00,4.858180e+02
7.349777e+00,3.864097e+02
5.665453e+00,2.421073e+02
3.062407e+00,6.413439e+01
-1.224963e+00,-2.308838e+02
-2.449926e+00,-3.431190e+02
-3.828009e+00,-4.120635e+02
-4.593610e+00,-4.393206e+02
-5.818573e+00,-4.601642e+02
-7.502897e+00,-4.826113e+02
-8.727860e+00,-4.986449e+02
-7.962258e+00,-4.569575e+02
-6.584175e+00,-3.351022e+02
-4.746731e+00,-2.068334e+02
-2.603046e+00,-5.932431e+01
-6.124814e-01,8.337471e+01
1.531203e+00,2.244704e+02
3.368648e+00,3.334988e+02
4.440490e+00,3.912198e+02
6.277934e+00,4.537508e+02
8.880980e+00,5.034550e+02
1.102466e+01,5.339188e+02
1.316835e+01,5.531591e+02
1.255587e+01,4.826113e+02
1.071842e+01,3.559459e+02
8.421619e+00,1.972132e+02
6.124814e+00,4.970415e+01
3.674888e+00,-1.090285e+02
6.124814e-01,-2.645544e+02
-2.296805e+00,-3.639627e+02
-5.512332e+00,-4.585609e+02
-7.962258e+00,-4.842146e+02
-9.646582e+00,-4.922314e+02
-1.117779e+01,-4.858180e+02
-1.301523e+01,-4.729911e+02
-1.209651e+01,-4.216836e+02
-1.056530e+01,-3.158619e+02
-8.727860e+00,-2.084368e+02
-7.043536e+00,-7.375455e+01
-4.899851e+00,6.253103e+01
-2.756166e+00,1.763696e+02
-3.062407e-01,2.918115e+02
1.531203e+00,3.607559e+02
4.746731e+00,4.264937e+02
8.880980e+00,5.050583e+02
1.117779e+01,5.339188e+02
1.469955e+01,5.595725e+02
1.745572e+01,5.675893e+02
1.653700e+01,4.858180e+02
1.362771e+01,2.902081e+02
1.056530e+01,9.940830e+01
8.574739e+00,-1.924032e+01
6.584175e+00,-1.282688e+02
5.206092e+00,-2.004200e+02
3.521768e+00,-2.693644e+02
1.531203e+00,-3.383089e+02
-1.224963e+00,-4.072534e+02
-3.062407e+00,-4.297004e+02
-6.124814e+00,-4.441306e+02
-8.880980e+00,-4.489407e+02
-1.117779e+01,-4.393206e+02
-1.347459e+01,-4.232870e+02
-1.669012e+01,-3.928231e+02
-1.607764e+01,-3.318955e+02
-1.515891e+01,-2.597443e+02
-1.362771e+01,-1.827830e+02
-1.133091e+01,-6.092767e+01
-9.187221e+00,4.810079e+01
-6.890415e+00,1.651461e+02
-3.981129e+00,2.501241e+02
-6.124814e-01,3.302921e+02
3.368648e+00,4.072534e+02
1.025906e+01,4.986449e+02
1.515891e+01,5.451423e+02
1.990564e+01,5.675893e+02
2.220245e+01,5.740028e+02
2.143685e+01,5.162818e+02
1.959940e+01,3.832030e+02
1.776196e+01,2.533308e+02
1.546515e+01,1.122352e+02
1.286211e+01,-3.206719e+01
1.056530e+01,-1.330789e+02
8.574739e+00,-2.308838e+02
6.584175e+00,-2.934148e+02
3.828009e+00,-3.639627e+02
1.990564e+00,-3.928231e+02
1.531203e-01,-4.120635e+02
-1.071842e+00,-4.168735e+02
-2.909287e+00,-4.152702e+02
-4.899851e+00,-4.072534e+02
-6.584175e+00,-3.832030e+02
-7.809138e+00,-3.351022e+02
-9.493461e+00,-3.046383e+02
-1.102466e+01,-2.805880e+02
-1.301523e+01,-2.581409e+02
-1.607764e+01,-2.276771e+02
-1.883380e+01,-2.084368e+02
-2.113061e+01,-1.891964e+02
-1.914004e+01,-1.298721e+02
-1.760884e+01,-7.375455e+01
-1.500579e+01,-8.016799e+00
-1.071842e+01,7.696127e+01
-7.656017e+00,1.378889e+02
-3.215527e+00,2.084368e+02
8.421619e+00,4.088567e+02
1.148403e+01,4.489407e+02
1.531203e+01,4.922314e+02
1.959940e+01,5.355222e+02
2.235557e+01,5.595725e+02
2.603046e+01,5.675893e+02
2.495862e+01,4.745945e+02
2.220245e+01,2.853980e+02
1.868068e+01,4.489407e+01
1.607764e+01,-8.497807e+01
1.393395e+01,-1.907998e+02
1.133091e+01,-2.741745e+02
8.727860e+00,-3.318955e+02
7.349777e+00,-3.527391e+02
6.124814e+00,-3.399123e+02
3.828009e+00,-3.126551e+02
1.531203e+00,-2.805880e+02
-1.531203e+00,-2.469174e+02
-4.440490e+00,-2.244704e+02
-7.502897e+00,-1.988166e+02
-1.071842e+01,-1.795763e+02
-1.439331e+01,-1.635427e+02
-1.883380e+01,-1.426990e+02
-2.067125e+01,-1.330789e+02
-2.342741e+01,-1.282688e+02
-2.511174e+01,-1.234587e+02
-2.511174e+01,-1.106318e+02
-2.419301e+01,-9.299486e+01
-2.235557e+01,-6.413439e+01
-2.036501e+01,-2.886048e+01
-1.852756e+01,-1.603360e+00
-1.531203e+01,3.848063e+01
-1.209651e+01,6.253103e+01
-5.512332e+00,1.186486e+02
0,1.667494e+02
4.746731e+00,2.228670e+02
9.187221e+00,2.757779e+02
1.469955e+01,3.639627e+02
2.005877e+01,4.441306e+02
2.373365e+01,5.098684e+02
2.633670e+01,5.419356e+02
2.893974e+01,5.611759e+02
3.062407e+01,5.643826e+02
2.740854e+01,3.447223e+02
2.419301e+01,1.571293e+02
2.189621e+01,-1.122352e+01
1.944628e+01,-1.394923e+02
1.699636e+01,-2.308838e+02
1.500579e+01,-2.853980e+02
1.408707e+01,-3.030350e+02
1.316835e+01,-3.078451e+02
1.163715e+01,-3.014316e+02
8.574739e+00,-2.725712e+02
4.593610e+00,-2.324872e+02
1.071842e+00,-1.972132e+02
-3.368648e+00,-1.699561e+02
-8.421619e+00,-1.475091e+02
-1.393395e+01,-1.282688e+02
-1.975252e+01,-1.106318e+02
-2.648982e+01,-9.780494e+01
-2.878662e+01,-9.459822e+01
-2.878662e+01,-9.459822e+01
-2.893974e+01,-8.177135e+01
-2.756166e+01,-6.413439e+01
-2.557110e+01,-3.687727e+01
-2.358053e+01,-9.620158e+00
-1.944628e+01,1.763696e+01
-1.010594e+01,7.054783e+01
-2.603046e+00,1.090285e+02
1.531203e-01,1.266654e+02
6.124814e+00,1.715595e+02
1.071842e+01,2.148502e+02
1.408707e+01,2.533308e+02
1.714948e+01,2.918115e+02
2.067125e+01,3.543425e+02
2.342741e+01,4.056500e+02
2.541798e+01,4.505441e+02
2.710230e+01,4.778012e+02
2.955223e+01,4.986449e+02
2.893974e+01,4.377172e+02
2.924599e+01,4.152702e+02
3.047095e+01,4.008399e+02
3.215527e+01,3.896164e+02
3.368648e+01,3.703761e+02
3.521768e+01,3.447223e+02
3.644264e+01,3.078451e+02
3.751448e+01,2.661577e+02
3.812697e+01,2.052300e+02
3.705512e+01,1.346822e+02
3.537080e+01,8.177135e+01
3.399272e+01,3.206719e+01
3.200215e+01,-2.565376e+01
3.031783e+01,-6.092767e+01
2.832726e+01,-9.620158e+01
2.541798e+01,-1.298721e+02
2.358053e+01,-1.459057e+02
2.174309e+01,-1.651461e+02
2.082437e+01,-1.795763e+02
1.959940e+01,-1.907998e+02
1.806820e+01,-1.956099e+02
1.669012e+01,-1.924032e+02
1.531203e+01,-1.875931e+02
1.133091e+01,-1.699561e+02
6.431054e+00,-1.459057e+02
2.143685e+00,-1.298721e+02
-1.990564e+00,-1.186486e+02
-7.349777e+00,-1.058217e+02
-1.194339e+01,-9.620158e+01
-1.714948e+01,-8.818479e+01
-2.250869e+01,-8.016799e+01
-2.710230e+01,-7.535791e+01
-3.169591e+01,-7.215119e+01
-3.338023e+01,-7.054783e+01
-3.062407e+01,-4.489407e+01
-2.786790e+01,-2.725712e+01
-2.557110e+01,-1.763696e+01
-1.439331e+01,1.603360e+01
-2.449926e+00,3.527391e+01
1.025906e+01,6.734111e+01
1.638388e+01,8.658143e+01
2.005877e+01,1.026150e+02
2.403989e+01,1.250621e+02
2.848038e+01,1.491125e+02
2.863350e+01,1.491125e+02
2.955223e+01,1.346822e+02
2.970535e+01,9.940830e+01
2.955223e+01,3.206719e+00
