Displacement [mm],Force [kN]
0,0
-1.148197e-01,1.107491e+01
5.396526e+00,3.433223e+02
5.396526e+00,3.419380e+02
5.310411e+00,3.280943e+02
-5.023362e+00,-3.405536e+02
-5.324763e+00,-3.405536e+02
-3.731640e-01,-1.384364e+00
-1.148197e-01,9.690550e+00
5.396526e+00,3.447067e+02
5.310411e+00,3.267100e+02
-5.066419e+00,-3.419380e+02
-5.410878e+00,-3.405536e+02
-2.870492e-01,0
-2.870492e-02,1.107491e+01
5.482640e+00,3.405536e+02
5.310411e+00,3.253256e+02
-4.980304e+00,-3.391692e+02
-5.496993e+00,-3.391692e+02
-2.870492e-02,1.245928e+01
5.396526e+00,3.447067e+02
5.267354e+00,3.253256e+02
-5.023362e+00,-3.377849e+02
-6.745657e+00,-4.291529e+02
-7.520690e+00,-4.526871e+02
-8.683239e+00,-4.734526e+02
-9.673559e+00,-4.845275e+02
-1.074999e+01,-4.928337e+02
-1.096528e+01,-4.928337e+02
-9.974961e+00,-4.277686e+02
-7.865149e+00,-2.851790e+02
-5.238649e+00,-1.121335e+02
-3.344124e+00,5.537457e+00
-1.880173e+00,9.136804e+01
3.588115e-01,2.035015e+02
2.167222e+00,2.865634e+02
3.932575e+00,3.543972e+02
5.482640e+00,4.083875e+02
6.429903e+00,4.333060e+02
8.152198e+00,4.692995e+02
1.013284e+01,4.956024e+02
1.052035e+01,4.997555e+02
9.099461e+00,4.236155e+02
7.334108e+00,3.142507e+02
5.482640e+00,2.076546e+02
3.631173e+00,9.413677e+01
1.994992e+00,6.921821e+00
1.219959e+00,-4.706838e+01
5.740985e-02,-1.107491e+02
-3.301066e+00,-2.685667e+02
-6.831772e+00,-4.153093e+02
-8.123493e+00,-4.402278e+02
-9.587445e+00,-4.734526e+02
-1.044859e+01,-4.831431e+02
-1.096528e+01,-4.831431e+02
-9.931904e+00,-4.166936e+02
-8.037379e+00,-2.851790e+02
-5.496993e+00,-1.176710e+02
-3.559411e+00,1.384364e+00
-2.181574e+00,8.444622e+01
5.740985e-02,1.993485e+02
1.908877e+00,2.879478e+02
3.717288e+00,3.585503e+02
5.095124e+00,4.028500e+02
6.214616e+00,4.346904e+02
8.539715e+00,4.831431e+02
1.026201e+01,5.066773e+02
1.077870e+01,5.122148e+02
9.960609e+00,4.596089e+02
8.066084e+00,3.433223e+02
5.827100e+00,2.173452e+02
3.889517e+00,1.024430e+02
2.253337e+00,1.107491e+01
8.324428e-01,-7.475567e+01
-8.467953e-01,-1.550488e+02
-3.473296e+00,-2.824103e+02
-6.358141e+00,-3.862376e+02
-7.391518e+00,-4.194624e+02
-8.812412e+00,-4.499184e+02
-9.888846e+00,-4.665308e+02
-1.087917e+01,-4.706838e+02
-1.031942e+01,-4.236155e+02
-7.822092e+00,-2.588761e+02
-4.851132e+00,-7.060258e+01
-2.526033e+00,6.921821e+01
-2.439919e-01,1.965797e+02
1.951935e+00,2.990227e+02
4.018689e+00,3.862376e+02
5.740985e+00,4.388435e+02
7.678567e+00,4.803744e+02
9.745322e+00,5.094460e+02
1.095093e+01,5.205210e+02
1.099399e+01,5.191366e+02
1.056341e+01,4.886806e+02
8.798059e+00,3.862376e+02
6.343788e+00,2.478012e+02
4.061747e+00,1.093648e+02
