Displacement [mm],Force [kN]
1.010823e+00,2.362147e+02
1.015524e+00,2.362446e+02
1.010585e+00,2.363043e+02
1.012942e+00,2.363938e+02
1.015978e+00,2.364535e+02
1.013168e+00,2.363938e+02
9.910736e-01,1.980758e+02
5.779569e-01,9.270080e+01
-3.184184e-01,-9.918800e+01
-1.261263e+00,-3.107432e+02
-2.195998e+00,-5.121521e+02
-3.086776e+00,-6.095292e+02
-3.294545e+00,-6.059478e+02
-2.689927e+00,-4.613299e+02
-1.686582e+00,-2.404041e+02
-6.977812e-01,-2.887843e+01
2.240259e-01,1.738433e+02
1.192314e+00,3.640909e+02
2.150240e+00,5.383131e+02
3.131046e+00,6.381369e+02
3.560456e+00,6.851394e+02
3.147463e+00,6.108309e+02
2.406484e+00,4.466658e+02
1.448606e+00,2.709816e+02
4.393592e-01,8.789621e+01
-5.223465e-01,-1.139004e+02
-1.461641e+00,-3.276045e+02
-2.380629e+00,-5.341761e+02
-3.204747e+00,-6.393718e+02
-3.328537e+00,-6.288074e+02
-2.706095e+00,-4.925753e+02
-1.691960e+00,-2.681578e+02
-7.071943e-01,-4.932071e+01
2.218920e-01,1.497005e+02
1.170519e+00,3.356807e+02
2.143489e+00,5.207058e+02
3.153996e+00,6.723368e+02
3.833713e+00,7.235172e+02
3.633078e+00,6.620708e+02
2.947210e+00,5.404918e+02
2.046137e+00,4.063185e+02
1.023896e+00,2.100724e+02
1.519192e-02,-9.062810e+00
-9.246216e-01,-2.220506e+02
-1.886836e+00,-4.186548e+02
-2.825950e+00,-5.907282e+02
-3.336880e+00,-6.651259e+02
-3.024047e+00,-5.500822e+02
-2.105832e+00,-3.591781e+02
-1.057855e+00,-1.481303e+02
-1.156780e-01,6.235085e+01
8.270607e-01,2.581194e+02
1.771125e+00,4.548725e+02
2.793611e+00,6.217236e+02
3.563247e+00,6.699494e+02
3.472983e+00,6.350633e+02
2.796955e+00,5.312104e+02
1.882284e+00,3.852795e+02
8.785813e-01,1.747086e+02
-1.136848e-01,-3.711498e+01
-1.058633e+00,-2.387326e+02
-2.000196e+00,-4.436631e+02
-2.909747e+00,-6.022176e+02
-3.321854e+00,-6.538454e+02
-2.909336e+00,-5.274018e+02
-1.945649e+00,-3.255155e+02
-9.372575e-01,-1.175414e+02
-1.432752e-02,8.476274e+01
9.443881e-01,2.785914e+02
1.882838e+00,4.722113e+02
2.875524e+00,6.237228e+02
3.515568e+00,6.736201e+02
3.314962e+00,6.169188e+02
2.620219e+00,4.920867e+02
1.678754e+00,3.382173e+02
6.771697e-01,1.422995e+02
-3.035463e-01,-6.671903e+01
-1.240267e+00,-2.753497e+02
-2.159524e+00,-4.807874e+02
-3.044168e+00,-6.108123e+02
-3.284801e+00,-6.415801e+02
-2.750779e+00,-5.070490e+02
-1.766913e+00,-2.872870e+02
-7.692590e-01,-7.510495e+01
1.548598e-01,1.227823e+02
1.120616e+00,3.100159e+02
2.057222e+00,4.986221e+02
3.043089e+00,6.461050e+02
3.626543e+00,6.963602e+02
3.367998e+00,6.302585e+02
2.668792e+00,4.977866e+02
1.704073e+00,3.366656e+02
6.898328e-01,1.450153e+02
-2.977066e-01,-6.361544e+01
-1.229967e+00,-2.748424e+02
-2.174317e+00,-4.840105e+02
-3.081260e+00,-6.375217e+02
-3.469682e+00,-6.881944e+02
-3.074763e+00,-5.637502e+02
-2.123049e+00,-3.652661e+02
-1.098721e+00,-1.538601e+02
-1.680913e-01,5.274150e+01
7.882492e-01,2.487486e+02
1.733035e+00,4.473821e+02
2.728565e+00,6.178439e+02
3.579397e+00,6.750824e+02
3.621524e+00,6.645778e+02
2.982802e+00,5.765714e+02
2.054513e+00,4.190018e+02
1.052431e+00,2.026117e+02
4.747005e-02,-2.049729e+00
-8.993778e-01,-2.002057e+02
-1.833698e+00,-4.017937e+02
-2.797415e+00,-6.055001e+02
-3.667969e+00,-7.693371e+02
-4.098148e+00,-7.860788e+02
-3.735571e+00,-6.503538e+02
-2.766754e+00,-4.645827e+02
-1.717907e+00,-2.600407e+02
-7.586782e-01,-3.997986e+01
1.438786e-01,1.703517e+02
1.150698e+00,3.603008e+02
2.130317e+00,5.349112e+02
3.158880e+00,6.955243e+02
4.099736e+00,7.813827e+02
4.319544e+00,7.931699e+02
3.800336e+00,7.183547e+02
2.990287e+00,5.637984e+02
1.968540e+00,3.770131e+02
9.399342e-01,1.871532e+02
-5.188357e-02,-4.109013e+00
-1.011325e+00,-2.129484e+02
-1.960655e+00,-4.351580e+02
-2.911971e+00,-6.238834e+02
-3.820944e+00,-7.511031e+02
-4.240921e+00,-7.639652e+02
-3.808695e+00,-6.357608e+02
-2.789756e+00,-4.513922e+02
-1.742751e+00,-2.421350e+02
-8.125960e-01,-2.765477e+01
1.349629e-01,1.712170e+02
1.141592e+00,3.723277e+02
2.100807e+00,5.443413e+02
3.161244e+00,7.018810e+02
4.177986e+00,8.591827e+02
5.088963e+00,9.041552e+02
5.264552e+00,9.128995e+02
4.782532e+00,8.206851e+02
3.888968e+00,6.867511e+02
2.779539e+00,5.048590e+02
1.716946e+00,3.140747e+02
7.156267e-01,1.136206e+02
-2.776809e-01,-8.238662e+01
-1.251194e+00,-2.822433e+02
-2.222761e+00,-5.034082e+02
-3.164879e+00,-6.813010e+02
-3.892447e+00,-7.244534e+02
-3.844849e+00,-6.424454e+02
-2.958669e+00,-5.219405e+02
-1.851497e+00,-3.030739e+02
-9.220281e-01,-6.516706e+01
9.332068e-03,1.219766e+02
1.020796e+00,3.064049e+02
1.974170e+00,4.983538e+02
3.014198e+00,6.623391e+02
3.975470e+00,7.594485e+02
4.279599e+00,7.791139e+02
3.802196e+00,7.031349e+02
2.970987e+00,5.502498e+02
1.936315e+00,3.647777e+02
8.967034e-01,1.709188e+02
-8.383938e-02,-2.216392e+01
-1.053131e+00,-2.242289e+02
-2.009971e+00,-4.511836e+02
-2.951187e+00,-6.330452e+02
-3.767445e+00,-6.933573e+02
-3.867376e+00,-6.484736e+02
-3.031643e+00,-5.388018e+02
-1.939035e+00,-3.122654e+02
-1.009563e+00,-7.940204e+01
-7.000426e-02,9.840075e+01
9.311124e-01,2.868580e+02
1.870395e+00,4.851931e+02
2.911147e+00,6.498053e+02
3.888868e+00,7.578070e+02
4.315086e+00,7.910211e+02
3.923115e+00,7.229506e+02
3.114186e+00,5.732287e+02
2.086559e+00,3.970377e+02
1.041985e+00,2.058049e+02
5.835823e-02,8.902441e+00
-9.252541e-01,-1.952814e+02
-1.872281e+00,-4.181477e+02
-2.826167e+00,-6.022772e+02
-3.714449e+00,-6.839270e+02
-3.884552e+00,-6.693636e+02
-3.145885e+00,-5.557822e+02
-2.065937e+00,-3.313051e+02
-1.105547e+00,-1.072752e+02
-1.695087e-01,7.446695e+01
8.313577e-01,2.670125e+02
1.784222e+00,4.721518e+02
2.818194e+00,6.373012e+02
3.816544e+00,7.497495e+02
4.303601e+00,7.901558e+02
3.921947e+00,7.228310e+02
3.118643e+00,5.713488e+02
2.098521e+00,4.016334e+02
1.056296e+00,2.142206e+02
7.009604e-02,1.245373e+01
-9.053229e-01,-1.939385e+02
-1.865712e+00,-4.094336e+02
-2.810479e+00,-5.975621e+02
-3.718469e+00,-7.009077e+02
-4.007265e+00,-6.943121e+02
-3.363338e+00,-5.791789e+02
-2.261601e+00,-3.699813e+02
-1.275930e+00,-1.520395e+02
-3.611969e-01,4.017775e+01
6.335048e-01,2.336183e+02
1.599695e+00,4.417123e+02
2.605314e+00,6.036087e+02
3.628267e+00,7.350965e+02
4.253844e+00,7.856795e+02
3.997775e+00,7.243827e+02
3.223575e+00,5.899410e+02
2.226203e+00,4.334456e+02
1.180953e+00,2.455854e+02
1.897728e-01,3.229912e+01
-7.837845e-01,-1.699749e+02
-1.744635e+00,-3.721300e+02
-2.689902e+00,-5.701963e+02
-3.665009e+00,-7.549528e+02
-4.658954e+00,-8.185478e+02
-5.174611e+00,-7.234088e+02
-4.771891e+00,-5.644661e+02
-3.433953e+00,-4.803996e+02
-2.264155e+00,-2.595034e+02
-1.486786e+00,-1.768703e+01
-4.523474e-01,1.155900e+02
6.050988e-01,3.338606e+02
1.541382e+00,5.124394e+02
2.647912e+00,6.605487e+02
3.649899e+00,8.212825e+02
4.721151e+00,9.333412e+02
5.680391e+00,1.004756e+03
5.975635e+00,1.005650e+03
5.491992e+00,9.470401e+02
4.662818e+00,7.859478e+02
3.584258e+00,6.182024e+02
2.474402e+00,4.532907e+02
1.446561e+00,2.712802e+02
4.333838e-01,6.023198e+01
-5.420867e-01,-1.484586e+02
-1.557776e+00,-3.238143e+02
-2.564735e+00,-5.297593e+02
-3.516196e+00,-7.160081e+02
-4.599473e+00,-7.625329e+02
-5.481311e+00,-5.996506e+02
-5.083374e+00,-5.385329e+02
-3.561005e+00,-4.649410e+02
-2.528975e+00,-2.219908e+02
-1.719321e+00,-2.658041e+01
-5.524474e-01,1.214987e+02
3.934811e-01,3.382775e+02
1.390358e+00,4.746283e+02
2.501623e+00,6.626081e+02
3.491630e+00,8.084796e+02
4.540747e+00,8.587347e+02
4.865978e+00,9.049910e+02
