Displacement [mm],Force [kN]
-3.048254e-03,1.441819e+00
-2.590292e-03,1.143403e+00
2.204820e-04,1.441775e+00
-3.280664e-03,9.643264e-01
-8.210296e-03,1.262698e+00
-5.859780e-03,1.471621e+00
-2.586736e-03,1.024019e+00
-5.628640e-03,1.650697e+00
-3.049270e-03,1.024019e+00
-2.815590e-03,1.382127e+00
-3.051810e-03,1.262743e+00
-3.274568e-03,1.382127e+00
2.340661e-03,1.232897e+00
-5.629910e-03,1.113557e+00
-1.161618e-03,1.232941e+00
-3.742182e-03,1.710389e+00
-9.386570e-04,1.561204e+00
-5.861304e-03,1.680543e+00
-6.087872e-03,1.411973e+00
1.653972e-03,1.650697e+00
-3.744722e-03,2.038652e+00
-3.048254e-03,1.949114e+00
-6.097270e-03,2.486299e+00
-3.284220e-03,2.396760e+00
-2.821686e-03,2.247574e+00
-5.861304e-03,2.277420e+00
-1.257478e-01,-1.315140e+01
-7.767828e-01,-7.796899e+01
-6.574536e-01,-5.123206e+01
-2.565654e-02,1.337914e+01
6.348222e-01,8.064669e+01
7.904480e-01,8.138950e+01
1.203579e-01,1.379681e+01
-5.060442e-01,-5.123206e+01
-9.347200e-01,-8.038870e+01
-2.884170e-01,-1.374832e+01
3.572764e-01,5.220618e+01
1.027328e+00,1.194110e+02
3.946144e-01,4.062536e+01
-2.360524e-01,-2.461078e+01
-9.112250e-01,-9.137082e+01
-5.368544e-01,-3.992036e+01
1.024255e-01,2.507738e+01
7.652512e-01,9.290982e+01
6.768592e-01,6.846806e+01
2.995676e-03,8.449421e-01
-6.503416e-01,-6.427360e+01
-7.979664e-01,-6.749395e+01
-1.603248e-01,-2.079618e+00
4.956810e-01,6.521658e+01
9.279382e-01,9.628141e+01
2.672080e-01,2.830040e+01
-3.805428e-01,-3.642868e+01
-1.025500e+00,-1.041099e+02
-4.343400e-01,-2.795346e+01
2.173910e-01,3.728314e+01
8.694166e-01,1.051774e+02
5.407660e-01,5.519078e+01
-1.081811e-01,-1.130103e+01
-7.559040e-01,-7.692371e+01
-6.780784e-01,-5.352723e+01
-3.269742e-02,1.140912e+01
6.282436e-01,7.897424e+01
7.944104e-01,8.145178e+01
1.304087e-01,1.400542e+01
-5.049012e-01,-5.087178e+01
-1.159485e+00,-1.179610e+02
-1.280109e+00,-1.123476e+02
-6.060694e-01,-4.460454e+01
3.132074e-02,1.964593e+01
7.051294e-01,8.714966e+01
1.341653e+00,1.542077e+02
1.041425e+00,1.066675e+02
3.802380e-01,3.847653e+01
-2.597658e-01,-2.661016e+01
-9.262618e-01,-9.306995e+01
-1.514119e+00,-1.462191e+02
-8.503412e-01,-7.149270e+01
-1.976831e-01,-6.406899e+00
4.472686e-01,6.041274e+01
1.108431e+00,1.274975e+02
1.292682e+00,1.321545e+02
6.369050e-01,6.422912e+01
-1.864055e-02,-2.765989e+00
-6.724396e-01,-6.737386e+01
-1.353058e+00,-1.351480e+02
-1.109828e+00,-9.697974e+01
-4.480052e-01,-2.998263e+01
1.934134e-01,3.513431e+01
8.545830e-01,1.023707e+02
1.528115e+00,1.685614e+02
8.696452e-01,8.938701e+01
2.199615e-01,2.185436e+01
-4.226052e-01,-4.248685e+01
-1.075538e+00,-1.096343e+02
-1.357351e+00,-1.226447e+02
-6.910578e-01,-5.475043e+01
-4.309618e-02,1.003647e+01
6.086856e-01,7.694595e+01
1.270762e+00,1.442086e+02
1.130986e+00,1.152032e+02
4.686554e-01,4.751798e+01
-1.861414e-01,-1.816474e+01
-8.277860e-01,-8.399603e+01
-1.504391e+00,-1.516234e+02
-9.486392e-01,-8.014851e+01
-2.826512e-01,-1.407659e+01
3.608832e-01,5.151674e+01
1.032129e+00,1.189039e+02
1.368400e+00,1.399118e+02
7.259828e-01,7.232003e+01
5.170424e-02,4.993325e+00
-5.887466e-01,-5.955872e+01
-1.250544e+00,-1.268214e+02
-1.185621e+00,-1.057512e+02
-5.210048e-01,-3.875631e+01
1.035126e-01,2.594252e+01
7.759192e-01,9.365709e+01
1.437310e+00,1.609509e+02
9.631934e-01,9.741565e+01
2.926588e-01,2.940439e+01
-3.520440e-01,-3.502622e+01
-9.955530e-01,-1.021127e+02
-1.670050e+00,-1.694688e+02
-2.290089e+00,-2.211234e+02
-1.624889e+00,-1.451160e+02
-9.503918e-01,-7.740410e+01
-3.054858e-01,-1.201716e+01
3.457956e-01,5.336710e+01
1.012368e+00,1.205452e+02
1.688465e+00,1.874209e+02
2.251329e+00,2.276486e+02
1.567256e+00,1.571923e+02
8.978900e-01,8.956938e+01
2.372030e-01,2.265989e+01
-4.105148e-01,-4.138241e+01
-1.076579e+00,-1.082910e+02
-1.731874e+00,-1.751667e+02
-2.212137e+00,-2.102347e+02
-1.556233e+00,-1.404901e+02
-8.765540e-01,-7.277818e+01
-2.196617e-01,-8.048211e+00
4.196334e-01,5.814426e+01
1.080567e+00,1.249621e+02
1.757147e+00,1.919001e+02
2.177847e+00,2.187260e+02
1.516507e+00,1.514633e+02
8.419846e-01,8.332883e+01
1.683995e-01,1.624365e+01
-4.504690e-01,-4.755802e+01
