Displacement [mm],Force [kN]
2.764028e-02,-2.676584e+00
2.271243e-02,-2.616892e+00
2.552446e-02,-2.706430e+00
2.811272e-02,-3.004846e+00
2.810002e-02,-2.348322e+00
2.506142e-02,-3.243615e+00
2.317394e-02,-3.333109e+00
1.801266e-02,-3.034692e+00
2.856738e-02,-3.631525e+00
-4.881626e-01,-1.126767e+02
-9.944608e-01,-2.063516e+02
-4.228084e-01,-7.940125e+01
1.157199e-01,3.477624e+01
7.103618e-01,1.541454e+02
8.106410e-01,1.541188e+02
2.131771e-01,3.268702e+01
-3.246882e-01,-8.009069e+01
-8.903970e-01,-1.985632e+02
-5.732780e-01,-1.141980e+02
-2.042820e-02,3.972420e-01
5.660136e-01,1.200649e+02
9.626854e-01,1.867048e+02
3.790442e-01,6.485629e+01
-1.754327e-01,-4.926160e+01
-7.568946e-01,-1.675562e+02
-7.285990e-01,-1.460100e+02
-1.468958e-01,-2.616269e+01
4.230878e-01,8.885325e+01
1.007847e+00,2.092384e+02
5.306568e-01,9.535622e+01
-4.191254e-02,-2.094029e+01
-6.004306e-01,-1.372386e+02
-8.630666e-01,-1.781202e+02
-2.954528e-01,-5.782400e+01
2.477795e-01,5.569786e+01
8.372348e-01,1.765589e+02
6.848602e-01,1.280624e+02
9.486392e-02,8.186099e+00
-4.425188e-01,-1.054265e+02
-1.009574e+00,-2.193353e+02
-4.402582e-01,-8.907120e+01
1.039216e-01,2.477892e+01
7.023100e-01,1.451027e+02
8.265668e-01,1.599946e+02
2.375459e-01,3.820788e+01
-2.899918e-01,-7.441949e+01
-8.639048e-01,-1.928341e+02
-5.944362e-01,-1.207943e+02
-4.860798e-02,-5.272659e+00
5.256276e-01,1.131438e+02
9.797542e-01,1.930610e+02
4.083558e-01,7.002042e+01
-1.456690e-01,-4.439682e+01
-7.372096e-01,-1.629925e+02
-1.299312e+00,-2.772305e+02
-1.130833e+00,-2.311537e+02
-5.656072e-01,-1.130370e+02
-1.908302e-02,8.150515e-01
5.638546e-01,1.198558e+02
1.135456e+00,2.392268e+02
1.431900e+00,2.786494e+02
8.460232e-01,1.595764e+02
2.579116e-01,3.862599e+01
-2.801874e-01,-7.310733e+01
-8.533892e-01,-1.910149e+02
-1.447851e+00,-3.040564e+02
-1.008380e+00,-2.065028e+02
-4.267454e-01,-8.763894e+01
1.218997e-01,2.579351e+01
6.971030e-01,1.454941e+02
