Displacement [mm],Force [kN]
-2.025380e+00,-1.150235e+02
-2.025380e+00,3.943662e+02
-1.585080e+00,5.340376e+02
-1.320900e+00,5.422535e+02
-1.232840e+00,3.368545e+02
-1.497020e+00,1.068075e+02
-2.025380e+00,-2.053991e+02
-2.905980e+00,-2.875587e+02
-3.434340e+00,-3.615023e+02
-3.610460e+00,-3.039906e+02
-3.346280e+00,-2.218310e+02
-3.082100e+00,-1.725352e+02
-3.258220e+00,-9.037559e+01
-3.082100e+00,-8.215962e+00
-2.465680e+00,7.394366e+01
-2.113440e+00,1.314554e+02
-2.113440e+00,2.136150e+02
-1.937320e+00,4.436620e+02
-7.925400e-01,6.161972e+02
-5.283600e-01,5.011737e+02
-4.403000e-01,3.943662e+02
-7.925400e-01,2.464789e+02
-1.144780e+00,4.107981e+01
-1.585080e+00,-2.136150e+02
-2.553740e+00,-4.929577e+02
-3.522400e+00,-6.901408e+02
-4.755240e+00,-9.366197e+02
-4.931360e+00,-7.394366e+02
-4.843300e+00,-5.669014e+02
-4.403000e+00,-3.861502e+02
-4.755240e+00,-2.875587e+02
-4.314940e+00,-1.889671e+02
-4.138820e+00,-1.232394e+02
-3.698520e+00,-5.751174e+01
-3.698520e+00,8.215962e+00
-3.610460e+00,7.394366e+01
-2.994040e+00,1.232394e+02
-2.817920e+00,2.136150e+02
-2.465680e+00,3.039906e+02
-2.377620e+00,3.532864e+02
-2.201500e+00,4.683099e+02
-1.497020e+00,6.244131e+02
0,7.230047e+02
1.761200e-01,5.586854e+02
0,4.272300e+02
-7.925400e-01,1.150235e+02
-4.138820e+00,-8.544601e+02
-6.252260e+00,-1.248826e+03
-6.252260e+00,-6.079812e+02
-5.371660e+00,-3.532864e+02
-4.314940e+00,-1.643192e+01
-3.786580e+00,1.725352e+02
-3.258220e+00,2.629108e+02
-1.761200e+00,7.394366e+02
-7.044800e-01,8.462441e+02
-2.641800e-01,9.776995e+02
4.403000e-01,1.142019e+03
1.232840e+00,1.273474e+03
1.056720e+00,9.859155e+02
5.283600e-01,7.065728e+02
-2.201500e+00,-3.532864e+02
-5.547780e+00,-1.142019e+03
-6.252260e+00,-1.248826e+03
-7.397040e+00,-1.257042e+03
-7.485100e+00,-1.388498e+03
-7.837340e+00,-1.388498e+03
-7.925400e+00,-1.544601e+03
-8.717940e+00,-1.519953e+03
-8.806000e+00,-1.651408e+03
-9.334360e+00,-1.659624e+03
-9.334360e+00,-1750
-9.686600e+00,-1.684272e+03
-9.950780e+00,-1.536385e+03
-1.039108e+01,-1.413146e+03
-1.074332e+01,-1.347418e+03
-1.144780e+01,-1.281690e+03
-1.232840e+01,-1.224178e+03
-1.329706e+01,-1.166667e+03
-1.320900e+01,-8.462441e+02
-1.047914e+01,-4.683099e+02
-9.774660e+00,-3.204225e+02
-9.246300e+00,-3.368545e+02
-9.334360e+00,-2.464789e+02
-8.541820e+00,-1.478873e+02
-8.453760e+00,-3.286385e+01
-8.101520e+00,-8.215962e+00
-8.013460e+00,5.751174e+01
-7.220920e+00,1.478873e+02
-6.428380e+00,3.122066e+02
-5.371660e+00,4.518779e+02
-5.107480e+00,6.572770e+02
-3.962700e+00,6.983568e+02
-3.874640e+00,7.805164e+02
-3.434340e+00,8.380282e+02
-3.258220e+00,1.018779e+03
-2.641800e+00,1.051643e+03
-1.937320e+00,1.084507e+03
-1.673140e+00,1.248826e+03
-7.925400e-01,1.281690e+03
-7.925400e-01,1.388498e+03
-3.522400e-01,1.404930e+03
-2.641800e-01,1.487089e+03
8.806000e-01,1.511737e+03
9.686600e-01,1.782864e+03
1.849260e+00,1.799296e+03
2.641800e+00,1.996479e+03
2.994040e+00,2.062207e+03
3.346280e+00,1.881455e+03
3.170160e+00,1.684272e+03
2.817920e+00,1.626761e+03
2.817920e+00,1.519953e+03
2.377620e+00,1.503521e+03
2.553740e+00,1.413146e+03
2.201500e+00,1.347418e+03
2.201500e+00,1.240610e+03
1.849260e+00,1.109155e+03
1.056720e+00,9.859155e+02
7.044800e-01,8.215962e+02
3.522400e-01,6.161972e+02
-2.641800e-01,3.286385e+02
-1.320900e+00,-4.107981e+01
-1.937320e+00,-2.711268e+02
-2.553740e+00,-4.272300e+02
-3.082100e+00,-5.915493e+02
-3.786580e+00,-7.805164e+02
-5.283600e+00,-9.366197e+02
-6.516440e+00,-9.366197e+02
-7.485100e+00,-9.530516e+02
-7.925400e+00,-1.026995e+03
-8.277640e+00,-1.068075e+03
-9.334360e+00,-1.125587e+03
-1.215228e+01,-1.117371e+03
-1.452990e+01,-1.051643e+03
-1.576274e+01,-1.002347e+03
-1.699558e+01,-9.941315e+02
-1.734782e+01,-9.448357e+02
-1.849260e+01,-9.284038e+02
-1.893290e+01,-9.037559e+02
-1.998962e+01,-8.873239e+02
-2.078216e+01,-8.626761e+02
-2.227918e+01,-8.626761e+02
-2.289560e+01,-8.133803e+02
-2.342396e+01,-8.133803e+02
-2.456874e+01,-7.969484e+02
-2.553740e+01,-7.805164e+02
-2.650606e+01,-7.640845e+02
-2.738666e+01,-7.558685e+02
-2.721054e+01,-6.737089e+02
-2.685830e+01,-6.244131e+02
-2.606576e+01,-5.833333e+02
-2.509710e+01,-5.422535e+02
-2.395232e+01,-4.929577e+02
-2.113440e+01,-3.697183e+02
-1.831648e+01,-1.971831e+02
-1.673140e+01,-9.859155e+01
-1.620304e+01,-4.929577e+01
-1.523438e+01,4.107981e+01
-1.461796e+01,7.394366e+01
-1.391348e+01,1.314554e+02
-1.268064e+01,1.889671e+02
-1.215228e+01,2.711268e+02
-1.127168e+01,3.204225e+02
-9.246300e+00,5.422535e+02
-5.900020e+00,8.544601e+02
-5.107480e+00,9.284038e+02
-5.019420e+00,1.002347e+03
-4.314940e+00,1.100939e+03
-3.610460e+00,1.109155e+03
