Displacement [mm],Force [kN]
1.678253e+00,1.998356e+02
-3.227410e+00,-2.922689e+02
-3.227410e+00,-2.922689e+02
-3.485603e+00,-2.417487e+02
-2.969217e+00,-1.575483e+02
-1.678253e+00,-6.025005e+01
6.454820e-01,9.318176e+01
4.260181e+00,3.158450e+02
5.809338e+00,4.056587e+02
7.100302e+00,4.543079e+02
9.682229e+00,4.767613e+02
9.424037e+00,4.486945e+02
8.391265e+00,3.738497e+02
4.776566e+00,1.792533e+02
3.743795e+00,8.569728e+01
2.969217e+00,5.239135e+00
1.678253e+00,-5.650781e+01
6.454820e-01,-1.182548e+02
-1.290964e-01,-1.743884e+02
-6.454820e-01,-2.174241e+02
-1.678253e+00,-2.511043e+02
-3.743795e+00,-2.941400e+02
-5.292952e+00,-2.941400e+02
-5.809338e+00,-2.174241e+02
-6.325723e+00,-1.519349e+02
-9.165844e+00,-1.294815e+02
-8.907651e+00,-1.332237e+02
-7.874880e+00,-7.147677e+01
-6.842109e+00,-4.528110e+01
-2.194639e+00,8.943952e+01
9.036747e-01,1.605421e+02
2.711024e+00,2.391291e+02
4.776566e+00,3.495252e+02
6.325723e+00,4.281122e+02
1.019861e+01,4.730191e+02
9.165844e+00,3.439118e+02
8.133073e+00,2.466136e+02
6.067530e+00,1.193774e+02
4.776566e+00,1.085249e+01
4.001988e+00,-3.592550e+01
2.452831e+00,-1.182548e+02
1.678253e+00,-1.669039e+02
1.420060e+00,-1.818728e+02
-5.034759e+00,-1.294815e+02
-8.649458e+00,-1.070280e+02
-1.019861e+01,-9.580133e+01
-1.045681e+01,-6.212117e+01
-8.907651e+00,-3.218326e+01
-5.809338e+00,3.368015e+00
-2.452831e+00,4.827489e+01
3.872892e-01,7.821280e+01
1.678253e+00,1.624132e+02
2.711024e+00,2.185468e+02
4.518374e+00,3.401696e+02
6.842109e+00,4.224988e+02
1.019861e+01,4.730191e+02
9.165844e+00,3.944320e+02
8.907651e+00,3.121028e+02
6.842109e+00,1.755110e+02
5.551145e+00,6.698608e+01
4.001988e+00,-1.908542e+01
3.227410e+00,-6.773453e+01
2.452831e+00,-1.519349e+02
1.936446e+00,-1.874862e+02
-1.936446e+00,-1.388371e+02
-4.518374e+00,-1.163836e+02
-8.391265e+00,-1.051569e+02
-1.174777e+01,-8.831685e+01
-1.174777e+01,-8.831685e+01
-9.940422e+00,-3.779662e+01
-5.809338e+00,1.085249e+01
-2.194639e+00,4.827489e+01
9.036747e-01,9.692400e+01
2.452831e+00,1.624132e+02
2.194639e+00,2.204179e+02
3.485603e+00,2.765515e+02
4.776566e+00,3.439118e+02
6.067530e+00,3.963032e+02
7.358494e+00,4.543079e+02
1.071500e+01,4.711479e+02
9.424037e+00,4.131432e+02
9.165844e+00,3.588808e+02
9.165844e+00,3.121028e+02
4.001988e+00,-4.715222e+01
1.678253e+00,-1.538060e+02
1.420060e+00,-1.481927e+02
-1.936446e+00,-1.182548e+02
-3.743795e+00,-1.014147e+02
-7.100302e+00,-9.580133e+01
-1.148958e+01,-9.580133e+01
-1.071500e+01,-5.463669e+01
-7.358494e+00,-1.534318e+01
-1.420060e+00,5.763049e+01
6.454820e-01,1.081507e+02
1.936446e+00,2.316446e+02
3.485603e+00,3.083605e+02
5.292952e+00,3.663652e+02
6.583916e+00,4.168855e+02
9.424037e+00,4.730191e+02
1.019861e+01,4.636635e+02
1.019861e+01,0
