Displacement [mm],Force [kN]
0,0
1.348899e+00,4.960650e+02
2.762032e+00,7.199339e+02
3.275898e+00,8.016638e+02
3.532831e+00,8.052172e+02
3.404365e+00,7.305943e+02
2.633565e+00,5.600275e+02
1.348899e+00,4.178886e+02
5.780997e-01,2.579822e+02
-6.423330e-02,4.477377e+01
-1.348899e+00,-3.674292e+02
-4.303631e+00,-3.390014e+02
-4.303631e+00,-3.390014e+02
-1.605832e+00,-2.984918e+01
-3.211665e-01,2.224475e+02
1.734299e+00,5.813484e+02
3.404365e+00,7.910033e+02
3.532831e+00,7.803429e+02
2.633565e+00,5.173858e+02
2.376632e+00,3.681399e+02
1.605832e+00,3.041774e+02
1.477366e+00,1.655919e+02
1.091966e+00,4.477377e+01
1.926999e-01,-4.406308e+01
-1.091966e+00,-3.425549e+02
-3.147432e+00,-3.567688e+02
-5.202897e+00,-2.928063e+02
-4.046698e+00,-1.968625e+02
-2.376632e+00,-5.827698e+01
4.496331e-01,3.148378e+02
4.303631e+00,8.798402e+02
3.918231e+00,6.097762e+02
3.661298e+00,5.315997e+02
3.147432e+00,4.285490e+02
2.633565e+00,2.686426e+02
2.119699e+00,1.371641e+02
1.605832e+00,2.132084e+00
1.091966e+00,-1.115791e+02
-1.926999e-01,-2.643785e+02
-1.926999e-01,-2.928063e+02
-1.605832e+00,-2.608250e+02
-2.762032e+00,-2.608250e+02
-5.973697e+00,-2.501646e+02
-7.386829e+00,-2.288437e+02
-5.202897e+00,-1.364534e+02
-3.918231e+00,-6.183045e+01
-3.018965e+00,-1.208181e+01
4.303631e+00,8.371985e+02
5.074431e+00,8.976076e+02
6.487563e+00,9.260353e+02
6.359097e+00,6.915061e+02
5.588297e+00,4.534233e+02
4.689031e+00,2.579822e+02
4.303631e+00,1.620384e+02
3.789765e+00,3.766683e+01
3.275898e+00,-6.538392e+01
1.991232e+00,-2.288437e+02
1.348899e+00,-2.963597e+02
1.220433e+00,-3.141271e+02
-2.762032e+00,-2.963597e+02
-8.029162e+00,-2.039694e+02
-7.129896e+00,-1.826486e+02
1.862766e+00,3.432656e+02
3.404365e+00,4.818511e+02
4.689031e+00,6.204366e+02
5.716764e+00,7.377012e+02
6.616030e+00,8.656263e+02
7.001430e+00,9.118215e+02
8.799962e+00,9.366958e+02
8.414562e+00,6.843991e+02
7.386829e+00,4.214420e+02
6.872963e+00,3.006239e+02
5.588297e+00,1.989945e+01
4.945964e+00,-9.381172e+01
4.046698e+00,-2.359507e+02
2.890498e+00,-2.714854e+02
1.991232e+00,-2.856993e+02
-9.570762e+00,-2.004159e+02
-5.716764e+00,-5.117003e+01
-1.862766e+00,1.016294e+02
3.275898e+00,3.645864e+02
6.616030e+00,6.310970e+02
8.286096e+00,8.194311e+02
8.928429e+00,8.727332e+02
1.085543e+01,7.910033e+02
9.699228e+00,4.498698e+02
8.029162e+00,5.543420e+01
7.129896e+00,-7.959782e+01
5.716764e+00,-2.466111e+02
4.945964e+00,-2.679319e+02
-9.827695e+00,-1.897555e+02
-9.827695e+00,-1.862020e+02
-9.827695e+00,-1.862020e+02
-9.827695e+00,-1.862020e+02
-6.102163e+00,-7.604435e+01
-3.789765e+00,-1.208181e+01
2.505099e+00,2.082336e+02
5.588297e+00,3.965677e+02
7.515296e+00,5.067254e+02
9.185362e+00,6.701852e+02
1.059849e+01,8.123242e+02
1.175469e+01,9.118215e+02
1.278243e+01,9.509097e+02
1.496636e+01,9.331423e+02
1.740722e+01,9.544631e+02
1.753569e+01,8.549659e+02
1.727876e+01,5.671345e+02
1.689336e+01,4.676372e+02
1.560869e+01,2.188940e+02
1.522329e+01,9.807588e+01
1.445249e+01,-2.274223e+01
1.355323e+01,-1.080256e+02
1.252549e+01,-2.039694e+02
1.124083e+01,-2.537180e+02
7.515296e+00,-2.430576e+02
3.404365e+00,-2.110764e+02
-2.119699e+00,-1.933090e+02
-7.515296e+00,-1.577742e+02
-1.458096e+01,-1.471138e+02
-1.997656e+01,-1.293465e+02
-2.010502e+01,-1.293465e+02
-1.740722e+01,-9.381172e+01
-1.406709e+01,-4.406308e+01
-8.414562e+00,2.700640e+01
-3.018965e+00,9.096894e+01
3.018965e+00,1.833593e+02
7.515296e+00,2.650892e+02
1.059849e+01,3.574795e+02
1.291089e+01,4.356559e+02
1.445249e+01,5.493671e+02
1.586562e+01,6.595248e+02
1.740722e+01,7.732360e+02
1.625102e+01,5.138324e+02
1.599409e+01,4.001212e+02
1.470943e+01,1.016294e+02
1.368169e+01,-6.893740e+01
1.239703e+01,-1.577742e+02
1.111236e+01,-1.862020e+02
7.643763e+00,-1.933090e+02
4.945964e+00,-1.897555e+02
1.220433e+00,-1.755416e+02
-2.119699e+00,-1.648812e+02
-1.047003e+01,-1.506673e+02
1.091966e+00,-1.790951e+02
-1.059849e+01,-1.577742e+02
-1.727876e+01,-1.364534e+02
-2.023349e+01,-1.151326e+02
-1.535176e+01,-6.183045e+01
-1.149776e+01,-1.208181e+01
-4.945964e+00,7.675504e+01
5.202897e+00,1.940197e+02
7.515296e+00,2.437683e+02
9.956161e+00,2.935170e+02
1.214009e+01,3.681399e+02
1.458096e+01,4.782976e+02
1.599409e+01,5.529206e+02
1.817802e+01,7.163804e+02
1.933422e+01,8.123242e+02
2.074736e+01,8.905006e+02
2.216049e+01,9.224819e+02
2.408749e+01,9.331423e+02
2.562909e+01,9.260353e+02
2.639989e+01,9.366958e+02
2.652835e+01,8.052172e+02
2.627142e+01,5.813484e+02
2.575755e+01,4.321024e+02
2.537215e+01,3.254982e+02
2.447289e+01,1.442710e+02
2.370209e+01,1.279251e+01
2.241742e+01,-9.736519e+01
2.151816e+01,-1.613277e+02
2.074736e+01,-2.075229e+02
1.984809e+01,-2.323972e+02
1.882036e+01,-2.323972e+02
1.586562e+01,-2.217368e+02
5.845230e+00,-1.719881e+02
-2.119699e+00,-1.364534e+02
-1.072696e+01,-1.115791e+02
-1.445249e+01,-1.080256e+02
-2.126122e+01,-9.025824e+01
-3.179548e+01,-7.249087e+01
-2.704222e+01,-2.629571e+01
-2.113276e+01,5.685559e+00
-1.676489e+01,3.411335e+01
-1.149776e+01,5.188072e+01
-8.157629e+00,5.898767e+01
-3.661298e+00,7.675504e+01
2.633565e+00,1.087363e+02
7.001430e+00,1.478245e+02
1.059849e+01,1.833593e+02
1.406709e+01,2.295544e+02
1.663642e+01,2.864100e+02
1.882036e+01,3.397121e+02
2.061889e+01,4.178886e+02
2.203202e+01,4.889580e+02
2.318822e+01,5.600275e+02
2.447289e+01,6.524178e+02
2.524369e+01,7.199339e+02
2.639989e+01,7.945568e+02
2.639989e+01,7.838964e+02
2.614295e+01,6.310970e+02
2.537215e+01,4.960650e+02
2.357362e+01,1.336106e+02
2.293129e+01,1.279251e+01
2.190356e+01,-1.328999e+02
2.087582e+01,-1.826486e+02
1.894882e+01,-1.933090e+02
1.676489e+01,-1.968625e+02
1.432403e+01,-1.826486e+02
1.008463e+01,-1.471138e+02
3.918231e+00,-1.293465e+02
-3.789765e+00,-1.009187e+02
-9.442295e+00,-9.736519e+01
-1.933422e+01,-8.315129e+01
-2.434442e+01,-7.604435e+01
-2.691375e+01,-7.249087e+01
-3.230935e+01,-6.893740e+01
-2.871228e+01,-3.695613e+01
-2.383055e+01,-1.208181e+01
-1.882036e+01,1.634598e+01
-1.368169e+01,3.766683e+01
-1.021309e+01,4.832725e+01
-4.817497e+00,6.254114e+01
2.505099e+00,8.741546e+01
6.616030e+00,1.051828e+02
1.188316e+01,1.407176e+02
1.509483e+01,1.691454e+02
1.727876e+01,1.904662e+02
1.907729e+01,2.188940e+02
2.023349e+01,2.544287e+02
2.138969e+01,2.864100e+02
2.241742e+01,2.970704e+02
2.511522e+01,2.721961e+02
2.511522e+01,0
