Displacement [mm],Force [kN]
2.13E-01,0.00E+00
-3.35E-01,-3.77E+02
-5.18E-01,-4.17E+02
-6.40E-01,-4.97E+02
-9.45E-01,-5.19E+02
-8.84E-01,-3.99E+02
-5.79E-01,-2.48E+02
5.18E-01,4.21E+02
1.07E+00,6.74E+02
1.62E+00,9.13E+02
1.92E+00,1.03E+03
2.16E+00,1.10E+03
2.59E+00,1.17E+03
2.65E+00,1.02E+03
2.41E+00,9.04E+02
2.22E+00,8.42E+02
1.98E+00,6.38E+02
1.49E+00,3.86E+02
8.84E-01,1.60E+02
7.01E-01,7.98E+01
3.35E-01,-1.06E+02
-2.13E-01,-3.10E+02
-7.01E-01,-5.68E+02
-8.84E-01,-6.12E+02
-1.25E+00,-5.63E+02
-1.31E+00,-5.28E+02
-2.65E+00,-4.08E+02
-2.53E+00,-3.50E+02
-1.55E+00,-1.91E+02
-8.23E-01,-7.54E+01
-3.35E-01,4.43E+01
2.13E-01,2.22E+02
6.40E-01,5.19E+02
1.37E+00,8.07E+02
1.68E+00,9.75E+02
2.04E+00,1.07E+03
2.41E+00,1.14E+03
2.71E+00,1.17E+03
2.59E+00,1.06E+03
2.53E+00,9.71E+02
2.29E+00,8.69E+02
2.04E+00,6.92E+02
1.55E+00,4.21E+02
1.13E+00,2.48E+02
8.23E-01,1.11E+02
3.96E-01,-7.09E+01
9.14E-02,-2.04E+02
-9.45E-01,-3.59E+02
-1.31E+00,-3.95E+02
-2.10E+00,-3.99E+02
-1.55E+00,-3.06E+02
-1.31E+00,-2.53E+02
-1.19E+00,-2.00E+02
-1.01E+00,-1.37E+02
-5.18E-01,-4.43E+00
3.05E-02,1.68E+02
3.35E-01,3.15E+02
8.23E-01,5.72E+02
1.31E+00,7.63E+02
1.49E+00,8.69E+02
1.68E+00,9.44E+02
1.92E+00,1.05E+03
2.90E+00,1.19E+03
3.38E+00,1.25E+03
3.87E+00,1.29E+03
3.87E+00,1.14E+03
3.81E+00,9.89E+02
3.44E+00,8.34E+02
