Displacement [mm],Force [kN]
9.11E-01,9.12E+00
1.10E+00,-9.12E+01
8.48E-01,-2.46E+02
1.57E-01,-4.70E+02
4.08E-01,-2.92E+02
7.85E-01,-3.19E+01
1.22E+00,3.56E+02
1.98E+00,6.29E+02
2.23E+00,7.66E+02
2.92E+00,9.48E+02
3.17E+00,1.00E+03
2.98E+00,8.53E+02
2.92E+00,7.93E+02
2.35E+00,6.38E+02
1.35E+00,2.28E+02
1.10E+00,1.05E+02
3.45E-01,-5.65E+02
2.83E-01,-6.06E+02
-3.14E-02,-5.65E+02
-4.08E-01,-5.33E+02
-8.48E-01,-4.88E+02
-1.22E+00,-4.33E+02
-4.71E-01,-3.19E+02
-3.14E-02,-2.23E+02
4.71E-01,-9.57E+01
9.73E-01,5.02E+01
1.35E+00,3.10E+02
1.98E+00,5.88E+02
2.17E+00,7.20E+02
2.48E+00,8.43E+02
3.49E+00,1.12E+03
3.99E+00,1.23E+03
3.80E+00,9.67E+02
3.42E+00,7.75E+02
2.98E+00,6.43E+02
2.35E+00,2.46E+02
1.79E+00,5.47E+01
1.48E+00,-1.50E+02
1.04E+00,-4.33E+02
5.97E-01,-4.65E+02
-1.57E-01,-4.56E+02
-5.97E-01,-4.24E+02
-1.85E+00,-3.74E+02
-7.85E-01,-2.55E+02
3.14E-02,-1.46E+02
7.22E-01,-9.12E+00
1.16E+00,1.78E+02
1.85E+00,5.43E+02
2.73E+00,9.07E+02
3.23E+00,1.07E+03
3.74E+00,1.19E+03
4.30E+00,1.26E+03
4.99E+00,1.30E+03
4.93E+00,1.18E+03
4.55E+00,9.57E+02
4.36E+00,7.71E+02
3.49E+00,4.51E+02
3.42E+00,3.42E+02
2.98E+00,1.64E+02
2.79E+00,7.75E+01
2.42E+00,-8.66E+01
2.35E+00,-1.91E+02
1.85E+00,-3.47E+02
1.66E+00,-4.06E+02
1.41E+00,-4.24E+02
-3.14E-02,-4.06E+02
-8.48E-01,-3.78E+02
-1.73E+00,-3.47E+02
-3.17E+00,-3.15E+02
-3.11E+00,-2.78E+02
-1.48E+00,-1.78E+02
-7.85E-01,-1.14E+02
-3.45E-01,-4.56E+01
6.59E-01,1.19E+02
1.22E+00,2.83E+02
1.66E+00,4.97E+02
2.29E+00,7.66E+02
2.79E+00,9.12E+02
3.36E+00,1.07E+03
3.80E+00,1.19E+03
4.30E+00,1.24E+03
5.06E+00,1.30E+03
4.74E+00,1.07E+03
4.49E+00,8.53E+02
4.05E+00,6.52E+02
3.55E+00,5.20E+02
3.42E+00,3.92E+02
3.36E+00,3.05E+02
3.05E+00,2.05E+02
2.86E+00,1.19E+02
2.54E+00,2.28E+01
2.48E+00,-4.10E+01
2.35E+00,-1.46E+02
2.10E+00,-2.64E+02
1.98E+00,-3.19E+02
1.66E+00,-3.60E+02
1.48E+00,-3.60E+02
9.42E-02,-3.47E+02
-9.11E-01,-3.37E+02
-1.98E+00,-3.01E+02
-2.61E+00,-2.87E+02
-3.92E+00,-2.69E+02
-4.49E+00,-2.64E+02
-4.30E+00,-2.23E+02
-3.42E+00,-1.91E+02
-2.61E+00,-1.50E+02
-1.79E+00,-1.00E+02
-1.29E+00,-7.29E+01
-6.59E-01,4.56E+00
-5.34E-01,1.82E+01
4.08E-01,1.05E+02
1.66E+00,3.01E+02
2.79E+00,6.02E+02
3.30E+00,7.39E+02
3.86E+00,9.26E+02
4.49E+00,1.05E+03
5.06E+00,1.23E+03
5.49E+00,1.30E+03
6.37E+00,1.32E+03
6.06E+00,9.44E+02
5.75E+00,7.61E+02
5.18E+00,5.56E+02
4.93E+00,3.33E+02
4.55E+00,2.10E+02
3.92E+00,1.82E+01
3.61E+00,-1.69E+02
3.30E+00,-2.78E+02
3.17E+00,-3.28E+02
2.92E+00,-3.92E+02
2.42E+00,-3.97E+02
1.85E+00,-3.83E+02
1.16E+00,-3.60E+02
-2.83E-01,-3.47E+02
-1.41E+00,-3.24E+02
-2.23E+00,-2.92E+02
-3.55E+00,-2.69E+02
-4.43E+00,-2.64E+02
-4.30E+00,-2.19E+02
-3.49E+00,-2.01E+02
-2.67E+00,-1.50E+02
-1.79E+00,-1.00E+02
-1.04E+00,-3.65E+01
3.14E-02,5.93E+01
2.86E+00,3.92E+02
3.36E+00,4.88E+02
4.87E+00,8.39E+02
5.37E+00,9.71E+02
6.19E+00,1.13E+03
6.12E+00,9.89E+02
5.75E+00,8.16E+02
5.31E+00,6.25E+02
4.99E+00,4.38E+02
4.74E+00,2.69E+02
4.24E+00,1.46E+02
3.99E+00,5.93E+01
3.74E+00,-1.00E+02
3.49E+00,-2.01E+02
3.42E+00,-2.46E+02
3.17E+00,-3.05E+02
2.42E+00,-3.28E+02
1.60E+00,-3.15E+02
3.14E-02,-3.01E+02
-5.34E-01,-2.96E+02
-1.41E+00,-2.83E+02
-4.36E+00,-2.60E+02
-4.30E+00,-2.33E+02
-3.86E+00,-2.14E+02
-2.98E+00,-1.69E+02
-2.10E+00,-1.23E+02
-1.29E+00,-7.29E+01
-7.22E-01,-1.37E+01
2.23E+00,3.19E+02
3.17E+00,4.33E+02
4.05E+00,5.84E+02
4.93E+00,7.61E+02
6.19E+00,1.04E+03
6.88E+00,1.20E+03
7.19E+00,1.26E+03
7.57E+00,1.33E+03
8.76E+00,1.35E+03
9.83E+00,1.35E+03
1.06E+01,1.33E+03
1.12E+01,1.28E+03
1.13E+01,1.24E+03
