Displacement [mm],Force [kN]
-0.042323,0.513790
-0.155184,-4.742679
-0.239829,-9.307507
-0.345636,-13.734007
-0.465551,-18.160507
-0.514927,-20.097101
-0.578411,-22.587008
-0.670111,-25.215242
-0.740649,-27.013508
-0.825294,-28.396789
-0.888779,-28.950102
-0.945209,-29.503414
-1.022801,-29.918399
-1.114500,-30.056727
-1.234415,-29.365086
-1.460136,-27.981805
-1.678804,-26.598523
-1.678804,-26.598523
-1.707019,-25.353570
-1.707019,-23.693633
-1.692912,-21.203726
-1.657643,-18.437164
-1.601212,-15.255617
-1.565943,-13.180695
-1.488352,-10.275804
-1.382545,-5.710976
-1.227361,0.375462
-1.093339,5.908587
-0.902886,12.686666
-0.747703,18.081463
-0.592519,23.199604
-0.458497,27.072791
-0.310367,31.222635
-0.169291,35.234151
0.028215,39.660651
0.141076,42.703870
0.289206,45.747089
0.430282,48.790308
0.592519,52.110183
0.768864,56.121699
0.909940,59.026590
0.966370,59.994886
0.994586,58.888261
1.001639,56.951668
0.994586,54.876746
0.973424,51.418542
0.931101,47.822011
0.874671,44.225480
0.825294,41.043933
0.740649,35.649135
0.627788,29.562698
0.521981,24.306229
0.451443,20.294713
0.359744,15.453228
0.268044,10.888400
0.162237,5.631931
0.028215,-0.592835
-0.112861,-6.679273
-0.155184,-9.169179
-0.232775,-12.904038
-0.352690,-17.745523
-0.409120,-20.097101
-0.493766,-22.863664
-0.550196,-25.076914
-0.606627,-26.183539
-0.677165,-27.428492
-0.733595,-28.535117
-0.832348,-28.950102
-0.916994,-29.365086
-0.994586,-29.503414
-1.100393,-29.226758
-1.594159,-26.875180
-1.594159,-22.310351
-1.551836,-19.128804
-1.488352,-15.670601
-1.417814,-11.520757
-1.347276,-8.200882
-1.269684,-4.881007
-1.163877,-0.454507
-1.051016,3.557009
-0.938155,7.568525
-0.818241,12.133353
-0.684218,16.698182
-0.543143,21.263010
-0.395013,25.412854
-0.282152,28.594401
-0.162237,32.190932
-0.049377,34.957495
0.155184,39.798979
0.317421,43.810495
0.451443,47.130370
0.705380,52.525167
0.909940,56.813339
1.065124,59.579902
1.079231,57.089996
1.072177,52.801824
1.043962,49.896933
1.001639,46.162073
0.909940,41.043933
0.804133,34.680839
0.733595,30.530995
0.670111,26.657807
0.606627,23.614588
0.521981,19.188088
0.437336,14.346603
0.310367,8.398494
0.204560,3.142025
0.126968,-0.592835
0.021161,-5.710976
-0.091699,-10.690788
-0.176345,-14.563976
-0.253937,-18.022179
-0.310367,-20.373758
-0.373851,-22.863664
-0.458497,-25.215242
-0.521981,-27.013508
-0.578411,-27.843477
-0.670111,-29.226758
-0.719487,-29.503414
-0.768864,-29.780070
-0.818241,-30.195055
-0.867617,-30.195055
-0.916994,-30.056727
-1.438975,-27.566820
-1.460136,-25.353570
-1.453083,-22.863664
-1.424867,-20.512086
-1.396652,-18.022179
-1.368437,-16.085586
-1.304953,-12.489054
-1.213253,-8.892523
-1.093339,-3.221069
-0.966370,1.758743
-0.853510,5.908587
-0.705380,11.303384
-0.571358,16.283197
-0.416174,21.401338
-0.282152,25.136197
-0.105807,30.807651
0.056430,35.095823
0.296260,40.905604
0.550196,46.853714
0.747703,51.003558
0.966370,55.706714
1.163877,59.994886
1.185038,58.473277
1.192092,55.291730
1.177984,53.216808
1.149769,49.758605
1.079231,45.193776
0.994586,40.213964
0.888779,33.989198
0.797079,28.732729
0.705380,24.167901
0.620734,19.464744
0.536089,15.176572
0.458497,11.026728
0.387959,7.568525
0.296260,3.418681
0.190453,-1.422804
0.091699,-6.679273
-0.070538,-13.595679
-0.126968,-16.085586
-0.197506,-19.405461
-0.260991,-21.618711
-0.331529,-24.385273
-0.387959,-26.183539
-0.500820,-27.981805
-0.564304,-29.088430
-0.613680,-29.365086
-0.684218,-30.056727
-0.733595,-30.195055
-0.860563,-30.333383
-1.770503,-25.768555
-2.398292,-22.863664
-2.736874,-21.203726
-2.885004,-20.512086
-2.948488,-19.682117
-2.934380,-17.883851
-2.906165,-15.670601
-2.835627,-13.319023
-2.715713,-9.860820
-2.567583,-5.849304
-2.370076,-0.869491
-2.186678,3.695337
-1.975064,8.398494
-1.777557,12.271681
-1.601212,15.591556
-1.438975,18.219791
-1.234415,21.263010
-0.966370,25.136197
-0.726541,28.317744
-0.479658,31.222635
-0.275098,33.850870
-0.084646,36.340776
0.070538,38.277370
0.387959,43.118854
0.578411,46.162073
0.818241,50.311917
1.015747,53.770121
1.142715,55.845043
1.304953,59.026590
1.347276,59.579902
1.389598,58.058293
1.396652,56.260027
1.375491,53.493464
1.340222,49.620277
1.304953,47.130370
1.241469,43.395511
1.177984,39.522323
1.114500,35.925792
1.036908,31.360963
0.966370,27.211119
0.874671,22.231307
0.775918,16.974838
0.670111,11.580041
0.571358,7.153540
0.486712,3.142025
0.409120,-1.007819
0.324475,-4.466023
0.218668,-9.169179
0.119915,-13.734007
0.035269,-17.607195
-0.056430,-21.065398
-0.141076,-24.108617
-0.204560,-25.906883
-0.260991,-27.151836
-0.324475,-27.843477
-0.423228,-28.673445
-0.465551,-29.088430
-0.514927,-29.503414
-0.648949,-29.503414
-0.782972,-29.226758
-1.022801,-28.258461
-1.580051,-25.491898
-2.384184,-21.757039
-2.652228,-20.650414
-2.786250,-19.543789
-2.786250,-17.745523
