Displacement [mm],Force [kN]
-0.009419036,0.065777769
0.040815822,2.696888521
0.216637824,6.643554649
0.342224969,9.932443089
0.467812114,14.37244248
0.593399258,17.82577534
0.668751545,19.63466399
0.731545117,20.62133052
0.731545117,16.83910881
0.718986403,12.234665
0.68131026,9.274665401
0.568281829,6.479110227
0.367342398,1.545777567
0.216637824,-1.907555295
0.078491965,-5.525332579
-0.047095179,-9.307554285
-0.197799753,-14.07644252
-0.323386897,-17.20088654
-0.38618047,-19.33866403
-0.4992089,-21.64088593
-0.574561187,-24.43644111
-0.675030902,-27.3964407
-0.775500618,-30.84977357
-0.83829419,-33.97421758
-0.901087763,-33.97421758
-0.963881335,-35.12532854
-1.051792336,-37.59199487
-1.20249691,-41.70310542
-1.290407911,-44.33421617
-1.378318912,-47.45866019
-1.529023486,-50.91199305
-1.679728059,-53.5431038
-1.780197775,-54.69421476
-1.855550062,-54.36532591
-1.956019778,-52.22754843
-2.106724351,-48.11643788
-2.320222497,-44.00532733
-2.445809642,-41.37421657
-2.583955501,-38.74310582
-2.747218789,-36.44088391
-2.923040791,-34.46755085
-3.186773795,-32.16532894
-3.400271941,-30.3564403
-3.777033375,-28.05421839
-4.254264524,-25.91644091
-4.668702101,-24.27199669
-4.919876391,-23.28533015
-5.083139679,-22.95644131
-5.233844252,-21.64088593
-5.233844252,-20.16088614
-4.94499382,-17.52977538
-4.769171817,-16.37866443
-4.430086527,-13.25422041
-4.028207664,-10.29422082
-3.626328801,-7.169776799
-3.412830655,-4.703110469
-2.998393078,-1.414222029
-2.496044499,2.696888521
-2.01881335,6.972443493
-1.642051916,10.42577635
-1.5415822,11.74133173
-1.378318912,12.89244268
-1.064351051,16.67466439
-0.762941904,19.63466399
-0.461532756,23.08799685
-0.185241038,26.70577413
0.028257108,29.83021815
0.141285538,30.9813291
0.216637824,31.80355121
0.304548826,32.29688448
0.279431397,25.22577433
0.216637824,23.58133011
0.128726823,22.26577474
0.09105068,20.62133052
-0.047095179,18.31910861
