Displacement [mm],Force [kN]
1.34E-01,-3.45E+00
1.07E+00,1.48E+02
2.07E+00,2.83E+02
2.81E+00,3.72E+02
3.48E+00,4.48E+02
5.15E+00,6.41E+02
3.21E+00,3.82E+02
2.21E+00,2.55E+02
1.47E+00,1.58E+02
0.00E+00,-4.82E+01
-1.14E+00,-2.03E+02
-1.94E+00,-3.14E+02
-2.61E+00,-3.96E+02
-3.21E+00,-4.79E+02
-3.34E+00,-5.17E+02
-4.21E+00,-6.06E+02
-4.61E+00,-6.48E+02
-5.08E+00,-6.75E+02
-5.55E+00,-7.27E+02
-6.02E+00,-7.68E+02
-6.55E+00,-8.13E+02
-7.09E+00,-8.58E+02
-7.42E+00,-8.82E+02
-8.36E+00,-9.06E+02
-9.36E+00,-9.34E+02
-1.01E+01,-9.41E+02
-1.07E+01,-9.34E+02
-1.17E+01,-9.13E+02
-1.26E+01,-8.85E+02
-1.37E+01,-8.61E+02
-1.48E+01,-8.23E+02
-1.63E+01,-7.89E+02
-1.76E+01,-7.58E+02
-1.95E+01,-7.23E+02
-2.13E+01,-6.86E+02
-2.30E+01,-6.72E+02
-2.51E+01,-6.51E+02
-2.63E+01,-6.37E+02
-2.87E+01,-6.27E+02
-3.05E+01,-6.13E+02
-3.23E+01,-5.99E+02
-3.05E+01,-5.06E+02
-2.90E+01,-4.13E+02
-2.71E+01,-3.14E+02
-2.55E+01,-2.27E+02
-2.41E+01,-1.58E+02
-2.24E+01,-5.86E+01
-2.03E+01,3.79E+01
-1.90E+01,8.96E+01
-1.82E+01,1.31E+02
-1.75E+01,1.62E+02
-1.64E+01,2.20E+02
-1.60E+01,2.55E+02
-1.52E+01,2.93E+02
-1.44E+01,3.41E+02
-1.35E+01,3.82E+02
-1.22E+01,4.38E+02
-1.11E+01,4.89E+02
-9.96E+00,5.41E+02
-8.42E+00,5.96E+02
-6.95E+00,6.55E+02
-5.68E+00,7.03E+02
-4.68E+00,7.37E+02
-3.48E+00,7.82E+02
-2.27E+00,8.27E+02
-8.69E-01,8.72E+02
3.34E-01,9.13E+02
1.40E+00,9.51E+02
2.67E+00,9.85E+02
3.41E+00,1.01E+03
3.01E+00,9.41E+02
2.41E+00,8.65E+02
2.14E+00,8.20E+02
1.67E+00,7.79E+02
1.00E+00,6.96E+02
4.68E-01,6.24E+02
-4.01E-01,5.27E+02
-1.20E+00,4.31E+02
-1.80E+00,3.62E+02
-2.14E+00,3.20E+02
-2.81E+00,2.62E+02
-3.14E+00,2.10E+02
-3.61E+00,1.65E+02
-3.94E+00,1.34E+02
-4.28E+00,8.27E+01
-4.88E+00,2.41E+01
-5.55E+00,-4.82E+01
-6.15E+00,-9.30E+01
-7.02E+00,-1.76E+02
-7.62E+00,-2.27E+02
-8.36E+00,-2.86E+02
-9.02E+00,-3.38E+02
-9.36E+00,-3.65E+02
-9.69E+00,-3.96E+02
-1.03E+01,-4.38E+02
-1.10E+01,-4.79E+02
-1.17E+01,-5.10E+02
-1.25E+01,-5.48E+02
-1.34E+01,-5.75E+02
-1.44E+01,-5.89E+02
-1.52E+01,-5.99E+02
-1.65E+01,-6.03E+02
-1.78E+01,-6.06E+02
-1.93E+01,-6.10E+02
-2.11E+01,-6.13E+02
-2.45E+01,-6.06E+02
-2.65E+01,-5.99E+02
-2.81E+01,-5.96E+02
-3.02E+01,-5.89E+02
-3.18E+01,-5.82E+02
-3.09E+01,-5.34E+02
-2.98E+01,-4.51E+02
-2.71E+01,-3.10E+02
-2.55E+01,-2.17E+02
-2.41E+01,-1.58E+02
-2.29E+01,-9.65E+01
-2.19E+01,-3.79E+01
-2.10E+01,0.00E+00
-1.95E+01,6.89E+01
-1.84E+01,9.99E+01
-1.73E+01,1.45E+02
-1.54E+01,2.27E+02
-1.34E+01,3.14E+02
-1.18E+01,3.89E+02
-1.04E+01,4.44E+02
-9.16E+00,5.06E+02
-7.95E+00,5.41E+02
-6.28E+00,5.96E+02
-4.88E+00,6.44E+02
-3.34E+00,7.13E+02
-2.07E+00,7.68E+02
-3.34E-01,8.41E+02
-4.68E-01,8.17E+02
-1.14E+00,7.30E+02
-2.21E+00,6.06E+02
-2.74E+00,5.48E+02
-3.34E+00,4.62E+02
-4.28E+00,3.65E+02
-5.28E+00,2.58E+02
-6.48E+00,1.48E+02
-7.42E+00,4.48E+01
-7.89E+00,3.45E+00
-8.36E+00,-3.10E+01
-8.96E+00,-7.58E+01
-9.42E+00,-1.10E+02
-9.89E+00,-1.48E+02
-1.05E+01,-1.83E+02
-1.08E+01,-2.10E+02
-1.12E+01,-2.41E+02
-1.17E+01,-2.79E+02
-1.22E+01,-3.03E+02
-1.29E+01,-3.38E+02
-1.37E+01,-3.76E+02
-1.45E+01,-4.13E+02
-1.54E+01,-4.48E+02
-1.64E+01,-4.75E+02
-1.73E+01,-4.89E+02
-1.82E+01,-5.03E+02
-1.93E+01,-5.17E+02
-2.06E+01,-5.13E+02
-2.39E+01,-5.10E+02
-3.03E+01,-5.03E+02
-3.05E+01,-5.03E+02
-2.93E+01,-4.55E+02
-2.83E+01,-4.07E+02
-2.77E+01,-3.86E+02
-2.71E+01,-3.45E+02
-2.57E+01,-2.76E+02
-2.43E+01,-1.96E+02
-2.31E+01,-1.38E+02
-2.22E+01,-8.96E+01
-2.03E+01,-1.03E+01
-1.91E+01,4.82E+01
-1.75E+01,1.14E+02
-1.60E+01,2.00E+02
-1.44E+01,2.89E+02
-1.30E+01,3.58E+02
-1.22E+01,3.96E+02
-1.12E+01,4.38E+02
-9.83E+00,4.93E+02
-7.49E+00,5.82E+02
-5.41E+00,6.65E+02
-4.34E+00,7.03E+02
-3.48E+00,7.44E+02
-1.87E+00,7.99E+02
-2.74E+00,6.86E+02
-3.48E+00,5.96E+02
-4.55E+00,4.75E+02
-5.35E+00,3.89E+02
-6.15E+00,3.07E+02
-6.82E+00,2.31E+02
-7.69E+00,1.45E+02
-8.56E+00,6.20E+01
-9.36E+00,-1.38E+01
-1.01E+01,-7.23E+01
-1.10E+01,-1.31E+02
-1.19E+01,-1.89E+02
-1.30E+01,-2.55E+02
-1.40E+01,-3.14E+02
-1.54E+01,-3.82E+02
-1.68E+01,-4.44E+02
-1.81E+01,-4.82E+02
-2.00E+01,-5.13E+02
-2.19E+01,-5.31E+02
-2.47E+01,-5.41E+02
-2.90E+01,-5.51E+02
-2.76E+01,-4.79E+02
-2.65E+01,-4.20E+02
-2.55E+01,-3.62E+02
-2.45E+01,-3.07E+02
-2.29E+01,-2.27E+02
-2.19E+01,-1.72E+02
-2.09E+01,-1.14E+02
-1.95E+01,-4.48E+01
-1.82E+01,3.10E+01
-1.68E+01,9.65E+01
-1.57E+01,1.58E+02
-1.43E+01,2.24E+02
-1.34E+01,2.76E+02
-1.23E+01,3.27E+02
-1.04E+01,4.07E+02
-9.49E+00,4.48E+02
-8.29E+00,5.00E+02
-7.09E+00,5.51E+02
-5.68E+00,6.13E+02
-3.68E+00,6.99E+02
-5.41E+00,5.10E+02
-6.48E+00,4.00E+02
-7.09E+00,3.41E+02
-5.21E+00,5.34E+02
-7.09E+00,3.45E+02
-8.49E+00,2.00E+02
-1.04E+01,2.07E+01
-1.08E+01,-1.03E+01
-1.55E+01,-2.86E+02
-1.34E+01,-1.24E+02
