Displacement [mm],Force [kN]
-0.041591928,-0.243782444
0.040733445,25.86752326
0.270189208,64.23921937
0.481944868,98.46604829
0.665848403,129.2720043
0.845792789,160.6141686
1.019769957,187.7526412
1.197245226,215.0675873
1.329540935,238.3078033
1.515233415,260.9959736
1.508071826,259.0796513
1.506811478,247.4753807
1.31905299,219.9319238
1.098315821,179.247971
0.846088899,142.2925887
0.653227934,105.7964902
0.450530237,72.32533031
0.246811273,41.01031584
0.055507671,9.376291368
-0.049265179,-11.53130555
-0.189661628,-40.52953839
-0.368019937,-66.89650457
-0.515596733,-93.07794723
-0.643232862,-116.4177124
-0.797812585,-144.3865159
-0.999655754,-173.7987829
-1.179140748,-206.9803452
-1.363065025,-236.6618476
-1.535945344,-265.9044285
-1.74275935,-297.092744
-1.886205439,-320.0297873
-1.690985443,-280.1354408
-1.525951495,-254.1666714
-1.32859753,-214.516673
-1.118252029,-178.3757842
-0.901923038,-140.6828327
-0.704015868,-104.1075474
-0.502401757,-67.32637617
-0.299180958,-31.93663145
-0.07317286,2.088836582
0.027541179,21.7837431
0.019004631,20.75657624
0.065462725,26.23857032
0.221053214,57.44498568
0.373956576,83.4047051
0.463212307,96.02256767
0.590777643,119.7243299
0.732355022,146.0483089
0.912204594,175.9402222
1.110474686,204.0470371
1.277832571,233.4683541
1.469944318,259.8783075
1.478522787,254.0931408
1.38454401,238.4141399
1.150927013,198.184946
0.905739946,160.1254725
0.686256948,125.4257848
0.513993931,92.45237092
0.304241457,59.24592141
0.121069171,28.54856453
-0.017662759,3.530037669
-0.148665972,-19.22600711
-0.338540818,-46.38257956
-0.459319637,-68.61372848
-0.579373386,-88.35840958
-0.735145261,-113.3452617
-0.894859121,-143.0810637
-1.113328487,-175.0159983
-1.266468615,-209.8242851
-1.445812605,-244.815833
-1.65073109,-277.4860743
-1.841388356,-310.3531515
-1.875244738,-311.1902699
-1.726796384,-279.4272839
-1.479741891,-239.2365522
-1.293999117,-202.6816292
-1.054386471,-165.0045151
-0.857695277,-128.4450671
-0.676050661,-93.29967046
-0.453184951,-56.35107557
-0.241744638,-22.28488289
-0.090261195,5.24726157
0.002662211,20.65476454
0.188701021,54.77751931
0.328414196,79.20327586
0.385346303,89.49756931
0.529229558,111.0386612
0.70016711,138.4327943
0.865445585,166.7364451
1.028292135,196.3093484
1.212273337,224.6424115
1.426731245,252.7854261
1.477524697,256.4053974
1.333485495,235.443501
1.141026853,195.6939533
0.870085757,157.3697693
0.674414416,123.3307264
0.485871562,89.25774621
0.276531034,58.51740217
0.084769503,27.19107528
-0.044647807,3.692936379
-0.163315134,-19.68076601
-0.354834185,-44.59069372
-0.468584039,-65.16344332
-0.563393871,-82.55740555
-0.730486892,-108.263727
-0.917945505,-135.9655576
-1.107631177,-168.0588659
-1.249537201,-202.2517576
-1.441260798,-234.8948491
-1.642878144,-268.994979
-1.827411381,-302.0272174
-1.857806017,-306.6585182
-1.843143388,-301.8552688
-1.640264829,-258.003841
-1.503964673,-243.9787146
-1.462357797,-231.6753371
-1.280380298,-195.2312757
-1.042500423,-157.5971487
-0.830380963,-122.2096665
-0.690006097,-97.43322524
-0.555032865,-72.96674401
-0.387979463,-48.66542396
-0.260084232,-24.57903971
-0.083982425,-1.811682529
-0.068065646,11.29035121
0.0087304,21.64799418
0.129624907,45.07825862
0.293372737,64.1826573
0.324442729,77.85483654
0.346075328,82.90243405
0.417017181,93.08134094
0.529942725,109.1404388
0.634598096,126.7131371
0.7347808,146.3922062
0.873675576,165.8767019
1.003845848,184.7842647
1.136319234,204.3524722
1.231889767,224.1333531
1.348938956,243.6268987
1.460942608,253.3238969
1.292766664,223.9184172
1.134094518,195.3975681
0.969100742,169.8903451
0.819599218,145.5935501
0.67857297,121.9754996
0.536996579,99.33710388
0.408851945,76.92043142
