Displacement [mm],Force [kN]
-1.883830e-01,-1.850000e+00
2.354788e+00,9.848000e+01
-1.883830e+00,-7.268000e+01
4.709576e+00,1.962900e+02
4.615385e+00,1.971300e+02
4.521193e+00,1.954500e+02
-4.238619e+00,-1.696500e+02
-4.332810e+00,-1.696500e+02
-4.332810e+00,-1.696500e+02
-4.144427e+00,-1.696500e+02
-4.709576e+00,-1.359200e+02
-4.897959e+00,-1.232700e+02
-5.180534e+00,-1.182100e+02
-3.767661e+00,-9.123000e+01
-2.543171e+00,-5.413000e+01
-1.507064e+00,-2.125000e+01
-7.535322e-01,1.248000e+01
5.651491e-01,6.054000e+01
1.978022e+00,1.102900e+02
3.202512e+00,1.516000e+02
4.709576e+00,1.971300e+02
5.274725e+00,2.123100e+02
5.934066e+00,2.274900e+02
7.535322e+00,2.232700e+02
9.513344e+00,2.207400e+02
9.324961e+00,2.072500e+02
8.854003e+00,1.811100e+02
7.441130e+00,1.254600e+02
6.405024e+00,8.752000e+01
4.803768e+00,2.597000e+01
3.767661e+00,-1.366000e+01
3.014129e+00,-4.401000e+01
1.601256e+00,-9.039000e+01
9.419152e-01,-1.156800e+02
3.767661e-01,-1.156800e+02
-7.535322e-01,-1.047200e+02
-2.072214e+00,-9.713000e+01
-4.803768e+00,-8.364000e+01
-8.006279e+00,-7.184000e+01
-9.984301e+00,-6.509000e+01
-8.948195e+00,-5.582000e+01
-6.028257e+00,-3.221000e+01
-3.202512e+00,6.700000e-01
1.318681e+00,6.560000e+01
3.296703e+00,9.680000e+01
5.934066e+00,1.389500e+02
7.912088e+00,1.769000e+02
9.607535e+00,2.021900e+02
9.324961e+00,1.895400e+02
8.665620e+00,1.634100e+02
7.158556e+00,1.052300e+02
5.839874e+00,4.958000e+01
4.332810e+00,-2.700000e+00
3.485086e+00,-3.642000e+01
2.543171e+00,-6.594000e+01
1.695447e+00,-7.943000e+01
1.318681e+00,-8.449000e+01
-9.419152e-02,-8.449000e+01
-1.789639e+00,-7.943000e+01
-3.202512e+00,-7.690000e+01
-5.839874e+00,-7.184000e+01
-9.136578e+00,-6.509000e+01
-9.984301e+00,-6.172000e+01
-7.535322e+00,-4.317000e+01
-5.463108e+00,-2.546000e+01
-1.130298e+00,2.681000e+01
8.477237e-01,5.885000e+01
2.072214e+00,7.234000e+01
2.825746e+00,7.403000e+01
2.919937e+00,8.331000e+01
6.028257e+00,1.288400e+02
8.006279e+00,1.625600e+02
8.759812e+00,1.752100e+02
9.607535e+00,1.887000e+02
9.513344e+00,1.811100e+02
9.042386e+00,1.625600e+02
8.759812e+00,1.541300e+02
8.383046e+00,1.389500e+02
7.441130e+00,9.680000e+01
6.593407e+00,6.897000e+01
5.745683e+00,3.524000e+01
4.897959e+00,4.890000e+00
4.238619e+00,-1.788000e+01
3.390895e+00,-4.064000e+01
2.825746e+00,-5.750000e+01
1.883830e+00,-7.015000e+01
1.318681e+00,-7.605000e+01
6.593407e-01,-7.437000e+01
-1.601256e+00,-7.352000e+01
-7.535322e-01,-7.437000e+01
-2.731554e+00,-7.352000e+01
-4.803768e+00,-6.847000e+01
-7.817896e+00,-6.341000e+01
-9.419152e+00,-6.088000e+01
-9.984301e+00,-5.750000e+01
-8.477237e+00,-4.992000e+01
-6.405024e+00,-3.474000e+01
-3.673469e+00,-5.230000e+00
-6.593407e-01,3.103000e+01
1.224490e+00,5.548000e+01
2.543171e+00,6.813000e+01
2.919937e+00,6.981000e+01
3.485086e+00,8.246000e+01
5.180534e+00,1.086000e+02
6.687598e+00,1.296800e+02
7.629513e+00,1.482300e+02
8.194662e+00,1.591900e+02
1.017268e+01,1.912300e+02
1.045526e+01,1.954500e+02
1.111460e+01,1.954500e+02
1.092622e+01,2.013500e+02
1.205651e+01,2.131500e+02
1.290424e+01,2.215900e+02
1.516484e+01,2.224300e+02
1.789639e+01,2.215900e+02
1.949765e+01,2.173700e+02
1.921507e+01,2.021900e+02
1.855573e+01,1.726800e+02
1.733124e+01,1.322100e+02
1.563579e+01,7.234000e+01
1.478807e+01,3.862000e+01
1.450549e+01,3.356000e+01
1.450549e+01,2.597000e+01
1.412873e+01,7.420000e+00
1.281005e+01,-2.546000e+01
1.186813e+01,-6.003000e+01
1.102041e+01,-7.774000e+01
1.036107e+01,-8.111000e+01
1.045526e+01,-8.449000e+01
1.054945e+01,-8.533000e+01
1.045526e+01,-8.702000e+01
9.230769e+00,-8.196000e+01
6.781790e+00,-7.352000e+01
1.695447e+00,-6.425000e+01
-2.354788e+00,-5.750000e+01
-6.310832e+00,-5.245000e+01
-1.120879e+01,-4.823000e+01
-1.978022e+01,-3.980000e+01
-1.968603e+01,-4.064000e+01
-1.968603e+01,-4.064000e+01
-1.309262e+01,-1.703000e+01
-8.100471e+00,-1.700000e-01
-4.238619e+00,1.332000e+01
-1.789639e+00,2.428000e+01
1.695447e+00,3.777000e+01
4.897959e+00,5.379000e+01
7.441130e+00,6.728000e+01
1.026688e+01,8.331000e+01
1.205651e+01,9.764000e+01
1.488226e+01,1.254600e+02
1.686028e+01,1.482300e+02
1.940345e+01,1.802700e+02
1.912088e+01,1.617200e+02
1.751962e+01,1.077600e+02
1.572998e+01,4.030000e+01
1.516484e+01,2.260000e+01
1.431711e+01,-4.380000e+00
1.346939e+01,-2.378000e+01
1.262166e+01,-4.148000e+01
1.167975e+01,-4.992000e+01
1.083203e+01,-5.497000e+01
8.854003e+00,-5.750000e+01
6.310832e+00,-5.835000e+01
3.673469e+00,-5.497000e+01
-1.883830e-01,-5.160000e+01
-4.521193e+00,-4.739000e+01
-9.607535e+00,-4.401000e+01
-1.412873e+01,-4.148000e+01
-1.883830e+01,-3.811000e+01
-1.968603e+01,-3.642000e+01
-1.318681e+01,-1.788000e+01
-9.419152e+00,-4.380000e+00
-5.557300e+00,1.079000e+01
-3.579278e+00,1.669000e+01
2.637363e+00,3.777000e+01
4.144427e+00,4.368000e+01
6.875981e+00,5.464000e+01
8.948195e+00,6.476000e+01
1.186813e+01,8.246000e+01
1.281005e+01,9.258000e+01
1.346939e+01,9.089000e+01
1.365777e+01,9.680000e+01
1.507064e+01,1.086000e+02
1.686028e+01,1.305200e+02
1.902669e+01,1.583500e+02
1.912088e+01,1.406400e+02
1.770801e+01,9.595000e+01
1.686028e+01,6.223000e+01
1.535322e+01,1.838000e+01
1.469388e+01,-2.700000e+00
1.403454e+01,-1.450000e+01
1.271586e+01,-3.137000e+01
1.167975e+01,-3.895000e+01
1.092622e+01,-4.401000e+01
9.984301e+00,-4.823000e+01
8.383046e+00,-5.076000e+01
6.499215e+00,-5.245000e+01
4.897959e+00,-4.907000e+01
2.919937e+00,-4.907000e+01
1.318681e+00,-4.654000e+01
-9.419152e-01,-4.654000e+01
-4.050235e+00,-4.401000e+01
-5.651491e+00,-4.401000e+01
-6.970173e+00,-4.401000e+01
-1.196232e+01,-3.980000e+01
-1.949765e+01,-3.980000e+01
-1.987441e+01,-4.064000e+01
-1.111460e+01,-1.029000e+01
-2.354788e+00,2.007000e+01
-4.709576e-01,2.344000e+01
5.651491e-01,2.934000e+01
2.072214e+00,3.272000e+01
3.296703e+00,3.777000e+01
6.970173e+00,5.042000e+01
1.026688e+01,6.728000e+01
1.215071e+01,7.825000e+01
1.554160e+01,1.035400e+02
1.817896e+01,1.322100e+02
2.288854e+01,1.861700e+02
2.486656e+01,2.064081e+02
2.665620e+01,2.165261e+02
2.656201e+01,2.156830e+02
2.778650e+01,2.173693e+02
2.929356e+01,2.165261e+02
2.477237e+01,4.620573e+01
2.373626e+01,1.163575e+01
2.345369e+01,1.079258e+01
2.354788e+01,6.745363e-01
2.298273e+01,-1.703204e+01
2.204082e+01,-4.654300e+01
2.119309e+01,-6.172007e+01
2.006279e+01,-7.099494e+01
1.883830e+01,-6.930860e+01
1.403454e+01,-6.256324e+01
9.984301e+00,-5.497470e+01
3.485086e+00,-4.907251e+01
-1.883830e+00,-4.401349e+01
-8.383046e+00,-3.895447e+01
-1.535322e+01,-3.642496e+01
-2.091052e+01,-3.389545e+01
-2.957614e+01,-3.052277e+01
-2.043956e+01,-1.197302e+01
-1.036107e+01,7.419899e+00
-3.202512e+00,1.922428e+01
4.144427e+00,3.355818e+01
1.139717e+01,4.873524e+01
1.620094e+01,6.644182e+01
1.940345e+01,8.499157e+01
2.288854e+01,1.077572e+02
2.656201e+01,1.423272e+02
2.910518e+01,1.743676e+02
2.872841e+01,1.456998e+02
2.750392e+01,1.043845e+02
2.524333e+01,3.693086e+01
2.401884e+01,-2.698145e+00
2.213501e+01,-3.220911e+01
2.138148e+01,-4.064081e+01
1.996860e+01,-4.822934e+01
1.799058e+01,-4.991568e+01
1.384615e+01,-4.907251e+01
3.390895e+00,-4.317032e+01
3.673469e+00,-4.232715e+01
4.050235e+00,-4.064081e+01
-4.521193e+00,-3.811130e+01
-9.890110e+00,-3.558179e+01
-2.015699e+01,-3.136594e+01
-2.486656e+01,-2.967960e+01
-2.919937e+01,-2.967960e+01
-1.704867e+01,-5.227656e+00
-1.601256e+00,2.006745e+01
2.919937e+00,2.849916e+01
3.956044e+00,2.934233e+01
8.288854e+00,3.777403e+01
1.365777e+01,4.873524e+01
1.827316e+01,6.644182e+01
2.307692e+01,9.342327e+01
2.609105e+01,1.170320e+02
2.919937e+01,1.490725e+02
2.703297e+01,7.740304e+01
2.505495e+01,1.163575e+01
2.364207e+01,-1.281619e+01
2.222920e+01,-2.630691e+01
2.119309e+01,-3.305228e+01
1.968603e+01,-3.811130e+01
1.846154e+01,-3.979764e+01
1.638932e+01,-4.148398e+01
1.394035e+01,-3.811130e+01
5.934066e+00,-3.558179e+01
-3.390895e+00,-3.473862e+01
-1.384615e+01,-3.052277e+01
-2.505495e+01,-2.799325e+01
-3.946625e+01,-2.462057e+01
-3.946625e+01,-2.630691e+01
-1.864992e+01,1.517707e+00
3.767661e-01,1.753794e+01
7.817896e+00,3.524452e+01
1.120879e+01,4.030354e+01
1.591837e+01,5.295110e+01
2.091052e+01,7.150084e+01
2.580848e+01,1.035413e+02
2.910518e+01,1.372681e+02
3.277865e+01,1.760540e+02
3.588697e+01,2.038786e+02
3.833595e+01,2.165261e+02
3.899529e+01,2.156830e+02
3.880691e+01,1.979764e+02
3.720565e+01,1.397976e+02
3.296703e+01,-1.011804e+00
3.117739e+01,-4.907251e+01
3.023548e+01,-6.256324e+01
2.816327e+01,-6.424958e+01
2.279435e+01,-5.497470e+01
1.337520e+01,-4.317032e+01
8.665620e+00,-4.148398e+01
4.332810e+00,-3.726813e+01
1.883830e-01,-3.558179e+01
-3.937206e+01,-2.209106e+01
-1.196232e+01,9.949410e+00
1.789639e+00,2.596965e+01
7.252747e+00,2.934233e+01
1.233909e+01,3.608769e+01
1.940345e+01,4.789207e+01
2.411303e+01,5.969646e+01
2.891680e+01,7.993255e+01
3.362637e+01,1.145025e+02
3.767661e+01,1.558179e+02
3.296703e+01,1.102867e+02
3.899529e+01,1.701518e+02
3.786499e+01,1.237774e+02
3.560440e+01,4.704890e+01
3.400314e+01,4.047218e+00
3.277865e+01,-2.040472e+01
3.108320e+01,-3.558179e+01
2.901099e+01,-4.401349e+01
2.543171e+01,-4.401349e+01
2.147567e+01,-4.064081e+01
-4.615385e+00,-3.052277e+01
-3.145997e+01,-2.209106e+01
-3.937206e+01,-2.040472e+01
-1.912088e+01,2.360877e+00
-1.177394e+01,9.106239e+00
-3.861852e+00,1.585160e+01
3.108320e+00,2.428331e+01
8.194662e+00,2.765599e+01
1.271586e+01,3.102867e+01
1.855573e+01,4.030354e+01
2.448980e+01,5.379427e+01
2.854003e+01,6.728499e+01
3.259027e+01,8.920742e+01
3.588697e+01,1.161889e+02
3.824176e+01,1.381113e+02
3.908948e+01,1.465430e+02
3.786499e+01,9.763912e+01
3.541601e+01,3.018550e+01
3.343799e+01,-3.541315e+00
3.268446e+01,-1.703204e+01
3.117739e+01,-2.799325e+01
2.891680e+01,-3.558179e+01
2.703297e+01,-3.726813e+01
1.883830e+01,-3.726813e+01
1.356358e+01,-3.558179e+01
8.665620e+00,-3.389545e+01
-1.412873e+00,-2.967960e+01
-8.854003e+00,-2.883642e+01
-2.062794e+01,-2.630691e+01
-3.117739e+01,-2.124789e+01
-3.767661e+01,-2.124789e+01
-3.880691e+01,-1.871838e+01
-1.864992e+01,6.745363e-01
-5.651491e+00,1.585160e+01
3.108320e+00,2.175379e+01
3.108320e+00,2.175379e+01
6.781790e+00,2.512648e+01
9.419152e+00,2.765599e+01
1.337520e+01,3.102867e+01
1.902669e+01,3.777403e+01
2.354788e+01,4.704890e+01
2.825746e+01,5.969646e+01
3.277865e+01,8.330523e+01
3.598116e+01,1.069140e+02
4.003140e+01,1.440135e+02
4.389325e+01,1.836425e+02
4.718995e+01,2.097808e+02
4.832025e+01,2.139966e+02
4.897959e+01,2.139966e+02
4.304553e+01,-1.686341e-01
4.248038e+01,-1.854975e+00
4.248038e+01,-1.618887e+01
4.116170e+01,-4.907251e+01
3.965463e+01,-5.919056e+01
3.833595e+01,-6.003373e+01
3.437991e+01,-5.666105e+01
3.004710e+01,-5.075885e+01
2.562009e+01,-4.569983e+01
1.356358e+01,-3.389545e+01
5.557300e+00,-2.883642e+01
-5.651491e-01,-2.630691e+01
-5.651491e+00,-2.630691e+01
-9.607535e+00,-2.377740e+01
-1.394035e+01,-2.377740e+01
-3.296703e+01,-2.124789e+01
-4.916797e+01,-1.703204e+01
-2.477237e+01,6.745363e-01
-9.607535e+00,1.247892e+01
6.593407e+00,2.006745e+01
1.497645e+01,2.512648e+01
1.686028e+01,2.934233e+01
2.062794e+01,3.018550e+01
2.844584e+01,4.030354e+01
3.268446e+01,4.873524e+01
3.692308e+01,6.475548e+01
4.172684e+01,8.836425e+01
4.596546e+01,1.178752e+02
4.897959e+01,1.397976e+02
4.907378e+01,1.381113e+02
4.897959e+01,1.397976e+02
