Displacement [mm],Force [kN]
2.941176e-02,2.200000e+00
0,1.320000e+00
2.264706e+00,1.158600e+02
-2.029412e+00,-1.096900e+02
2.147059e+00,1.105700e+02
2.617647e+00,1.361200e+02
3.088235e+00,1.528600e+02
3.441176e+00,1.616700e+02
3.441176e+00,1.607900e+02
2.911765e+00,1.308400e+02
1.352941e+00,5.330000e+01
-6.176471e-01,-5.330000e+01
-1.558824e+00,-100
-2.205882e+00,-1.317200e+02
-3.058824e+00,-1.669600e+02
-3.294118e+00,-1.748900e+02
-2.941176e+00,-1.519800e+02
-2.382353e+00,-1.202600e+02
-1.294118e+00,-6.035000e+01
-4.705882e-01,-1.894000e+01
1.764706e-01,1.454000e+01
1.323529e+00,7.269000e+01
2.029412e+00,1.070500e+02
3.205882e+00,1.625600e+02
3.500000e+00,1.757700e+02
3.970588e+00,1.881100e+02
4.382353e+00,1.960400e+02
4.470588e+00,1.978000e+02
4.323529e+00,1.881100e+02
4.117647e+00,1.722500e+02
3.441176e+00,1.405300e+02
1.941176e+00,6.476000e+01
-4.117647e-01,-5.771000e+01
-9.705882e-01,-8.590000e+01
-1.764706e+00,-1.220300e+02
-2.205882e+00,-1.220300e+02
-2.176471e+00,-1.405300e+02
-2.470588e+00,-1.528600e+02
-3.058824e+00,-1.748900e+02
-3.735294e+00,-1.942700e+02
-4.294118e+00,-2.030800e+02
-4.500000e+00,-2.004400e+02
-4.235294e+00,-1.854600e+02
-3.441176e+00,-1.449300e+02
-2.823529e+00,-1.123300e+02
-1.705882e+00,-5.154000e+01
-9.117647e-01,-1.542000e+01
2.647059e-01,4.537000e+01
1.382353e+00,9.383000e+01
2.470588e+00,137
3.323529e+00,1.696000e+02
4.382353e+00,1.978000e+02
4.735294e+00,2.057300e+02
4.735294e+00,2.057300e+02
5.735294e+00,2.180600e+02
6.852941e+00,2.251100e+02
7.764706e+00,2.312800e+02
8.352941e+00,2.312800e+02
8.970588e+00,2.312800e+02
9.029412e+00,2.259900e+02
8.941176e+00,2.180600e+02
8.617647e+00,2.039600e+02
8.441176e+00,1.951500e+02
8.264706e+00,1.872200e+02
8.088235e+00,1.881100e+02
8.058824e+00,1.784100e+02
7.323529e+00,1.396500e+02
5.352941e+00,4.537000e+01
1.676471e+00,-1.026400e+02
-2.058824e-01,-1.537400e+02
-8.823529e-01,-1.687200e+02
-1.647059e+00,-1.810600e+02
-2.529412e+00,-1.845800e+02
-3.529412e+00,-1.810600e+02
-4.617647e+00,-1.696000e+02
-5.470588e+00,-1.590300e+02
-6.588235e+00,-1.537400e+02
-7.705882e+00,-1.449300e+02
-8.794118e+00,-1.396500e+02
-9,-1.352400e+02
-7.323529e+00,-8.238000e+01
-5.352941e+00,-1.718000e+01
-3.235294e+00,4.361000e+01
-1.823529e+00,8.414000e+01
-5.588235e-01,1.079300e+02
-2.941176e-02,1.193800e+02
1.058824e+00,1.396500e+02
1.500000e+00,1.396500e+02
1.588235e+00,1.475800e+02
2.264706e+00,1.581500e+02
2.911765e+00,1.643200e+02
4.470588e+00,1.889900e+02
6.441176e+00,2.074900e+02
7.882353e+00,2.242300e+02
8.970588e+00,2.295200e+02
8.088235e+00,1.845800e+02
6.441176e+00,1.008800e+02
5.470588e+00,5.507000e+01
4.617647e+00,1.454000e+01
1.882353e+00,-9.383000e+01
6.764706e-01,-1.273100e+02
2.941176e-01,-1.352400e+02
-2.941176e-02,-1.396500e+02
-4.117647e-01,-1.449300e+02
-7.058824e-01,-1.484600e+02
-1.382353e+00,-1.563900e+02
-1.411765e+00,-1.581500e+02
-1.882353e+00,-1.572700e+02
-3.823529e+00,-1.528600e+02
-6.941176e+00,-137
-8.647059e+00,-1.264300e+02
-9.058824e+00,-1.211500e+02
-8.205882e+00,-9.471000e+01
-5.941176e+00,-2.863000e+01
-3.970588e+00,2.423000e+01
-1.705882e+00,8.062000e+01
-8.823529e-02,1.079300e+02
3.529412e-01,1.167400e+02
1.323529e+00,1.334800e+02
4.588235e+00,1.775300e+02
5.941176e+00,1.942700e+02
6.323529e+00,1.925100e+02
6.382353e+00,1.995600e+02
7.941176e+00,2.171800e+02
8.117647e+00,2.136600e+02
8.294118e+00,2.189400e+02
9,2.268700e+02
8.823529e+00,2.259900e+02
8.852941e+00,2.259900e+02
5.882353e+00,7.621000e+01
2.823529e+00,-63
7.647059e-01,-1.255500e+02
-5.294118e-01,-1.458100e+02
-8.235294e-01,-1.475800e+02
-1.264706e+00,-1.493400e+02
-1.823529e+00,-1.493400e+02
-3.235294e+00,-1.431700e+02
-4.764706e+00,-1.352400e+02
-6.705882e+00,-1.158600e+02
-7.882353e+00,-1.035200e+02
-9.058824e+00,-9.207000e+01
-9.058824e+00,-9.207000e+01
-7.941176e+00,-6.123000e+01
-5.764706e+00,-6.610000e+00
-4.117647e+00,3.216000e+01
-2.911765e+00,5.595000e+01
-1.352941e+00,8.150000e+01
-1.764706e-01,1.008800e+02
5.882353e-02,9.736000e+01
4.411765e-01,1.088100e+02
2.088235e+00,1.334800e+02
4.588235e+00,1.687200e+02
7.647059e+00,2.074900e+02
9.647059e+00,2.295200e+02
9.647059e+00,2.295200e+02
1.255882e+01,2.356800e+02
1.664706e+01,2.374400e+02
18,2.365600e+02
1.711765e+01,1.889900e+02
1.476471e+01,8.062000e+01
1.282353e+01,4.400000e-01
1.191176e+01,-2.200000e+00
1.185294e+01,-3.480000e+01
1.120588e+01,-5.947000e+01
1.008824e+01,-8.943000e+01
9.323529e+00,-1.105700e+02
8.352941e+00,-1.299600e+02
8.352941e+00,-1.299600e+02
7.970588e+00,-1.396500e+02
7.088235e+00,-1.511000e+02
6.029412e+00,-1.581500e+02
5.205882e+00,-1.519800e+02
4.264706e+00,-1.352400e+02
3.176471e+00,-1.167400e+02
1.794118e+00,-1.026400e+02
-4.117647e-01,-8.590000e+01
-2.705882e+00,-7.445000e+01
-1.011765e+01,-5.683000e+01
-1.494118e+01,-4.802000e+01
-1.794118e+01,-4.273000e+01
-1.661765e+01,-2.687000e+01
-1.447059e+01,-5.730000e+00
-1.188235e+01,1.101000e+01
-9.558824e+00,2.335000e+01
-7.382353e+00,3.216000e+01
-4.029412e+00,4.537000e+01
-1.088235e+00,5.507000e+01
-1.176471e-01,6.211000e+01
5.882353e-02,5.859000e+01
3.529412e-01,6.211000e+01
2.411765e+00,7.621000e+01
5.147059e+00,9.383000e+01
7.941176e+00,1.176200e+02
1.102941e+01,1.502200e+02
1.279412e+01,1.704800e+02
1.611765e+01,2.083700e+02
1.808824e+01,2.242300e+02
1.711765e+01,1.757700e+02
1.688235e+01,1.757700e+02
1.694118e+01,1.652000e+02
1.455882e+01,5.947000e+01
1.164706e+01,-5.683000e+01
9.558824e+00,-1.114500e+02
8.676471e+00,-1.281900e+02
8.205882e+00,-1.326000e+02
7.970588e+00,-1.334800e+02
7.558824e+00,-1.343600e+02
6.941176e+00,-1.264300e+02
6.058824e+00,-1.123300e+02
4.617647e+00,-9.736000e+01
3.117647e+00,-8.678000e+01
1.588235e+00,-7.621000e+01
-7.058824e-01,-6.652000e+01
-3.470588e+00,-5.771000e+01
-6.500000e+00,-4.978000e+01
-1.055882e+01,-4.626000e+01
-1.455882e+01,-4.185000e+01
-1.738235e+01,-3.744000e+01
-1.805882e+01,-3.480000e+01
-1.576471e+01,-1.277533e+01
-1.317647e+01,5.726872e+00
-1.032353e+01,1.629956e+01
-6.058824e+00,2.951542e+01
-1.323529e+00,4.625551e+01
4.470588e+00,6.916300e+01
6.382353e+00,8.149780e+01
6.794118e+00,7.885463e+01
7.029412e+00,8.502203e+01
8.970588e+00,9.295154e+01
1.138235e+01,1.132159e+02
1.167647e+01,1.132159e+02
1.170588e+01,1.176211e+02
1.261765e+01,1.290749e+02
16,1.748899e+02
1.702941e+01,1.898678e+02
1.750000e+01,1.951542e+02
1.794118e+01,1.916300e+02
1.791176e+01,1.898678e+02
