Displacement [mm],Force [kN]
5.873715e-02,-1.760000e+00
3.348018e+00,1.261000e+02
-3.641703e+00,-1.343100e+02
3.406755e+00,1.261000e+02
4.287812e+00,1.589400e+02
4.816446e+00,1.777100e+02
5.462555e+00,1.964800e+02
5.168869e+00,1.800600e+02
4.757709e+00,1.695000e+02
4.757709e+00,1.507300e+02
4.405286e+00,1.343100e+02
2.936858e+00,8.270000e+01
1.585903e+00,3.343000e+01
5.286344e-01,-6.450000e+00
-8.810573e-01,-5.572000e+01
-2.701909e+00,-1.167200e+02
-3.817915e+00,-1.472100e+02
-4.581498e+00,-1.718500e+02
-5.521292e+00,-1.835800e+02
-4.992658e+00,-1.601200e+02
-3.759178e+00,-1.132000e+02
-2.173275e+00,-5.689000e+01
-8.223201e-01,-8.800000e+00
1.174743e-01,2.757000e+01
1.233480e+00,6.745000e+01
2.055800e+00,1.014700e+02
3.348018e+00,1.413500e+02
4.405286e+00,1.730200e+02
5.697504e+00,2.140800e+02
6.872247e+00,2.445700e+02
7.283407e+00,2.516100e+02
6.872247e+00,2.222900e+02
5.932452e+00,1.882700e+02
5.345081e+00,1.659800e+02
-3.759178e+00,-1.483900e+02
-4.405286e+00,-1.730200e+02
-5.697504e+00,-1.859200e+02
-6.637298e+00,-1.847500e+02
-7.459618e+00,-1.777100e+02
-6.637298e+00,-1.566000e+02
-1.879589e+00,-1.466000e+01
0,4.751000e+01
1.409692e+00,8.856000e+01
2.173275e+00,1.202300e+02
4.464023e+00,1.859200e+02
7.812041e+00,2.750700e+02
9.809104e+00,3.044000e+02
1.174743e+01,3.278600e+02
1.374449e+01,3.431100e+02
1.480176e+01,3.501500e+02
1.433186e+01,3.208200e+02
1.280470e+01,2.680400e+02
1.139501e+01,2.164200e+02
7.753304e+00,8.504000e+01
6.637298e+00,4.633000e+01
4.464023e+00,-2.170000e+01
2.114537e+00,-8.152000e+01
-5.873715e-02,-1.331400e+02
-2.173275e+00,-1.612900e+02
-3.230543e+00,-1.659800e+02
-4.346549e+00,-1.671600e+02
-5.462555e+00,-1.636400e+02
-6.637298e+00,-1.589400e+02
-8.516887e+00,-1.519100e+02
