Displacement [mm],Force [kN]
-7.814761e-01,8.992806e+00
-1.128799e+00,2.787770e+02
-6.078148e-01,-1.618705e+02
-7.814761e-01,-1.618705e+02
-1.302460e+00,5.395683e+01
-1.302460e+00,2.248201e+02
-4.341534e-01,-6.294964e+01
-1.302460e+00,-2.338129e+02
-2.344428e+00,-4.046763e+02
-3.212735e+00,-5.395683e+02
-3.907381e+00,-7.823741e+02
-4.428365e+00,-8.812950e+02
-4.428365e+00,-8.812950e+02
-4.428365e+00,-7.014388e+02
-4.775687e+00,-5.215827e+02
-4.602026e+00,-3.687050e+02
-4.602026e+00,-2.158273e+02
-3.560058e+00,-4.496403e+01
-2.518090e+00,1.438849e+02
-9.551375e-01,3.776978e+02
2.604920e-01,6.025180e+02
1.997106e+00,8.453237e+02
2.170767e+00,6.384892e+02
2.170767e+00,4.676259e+02
1.823444e+00,3.327338e+02
1.128799e+00,2.248201e+02
6.078148e-01,1.618705e+02
-8.683068e-02,6.294964e+01
-2.604920e-01,-1.079137e+02
-1.997106e+00,-3.327338e+02
-2.865412e+00,-4.586331e+02
-3.039074e+00,-6.115108e+02
-3.733719e+00,-7.284173e+02
-4.775687e+00,-9.442446e+02
-5.817656e+00,-1.070144e+03
-5.817656e+00,-8.633094e+02
-5.817656e+00,-6.924460e+02
-5.643994e+00,-5.125899e+02
-4.949349e+00,-2.877698e+02
-3.212735e+00,5.395683e+01
7.814761e-01,6.924460e+02
2.170767e+00,9.352518e+02
3.039074e+00,9.532374e+02
3.907381e+00,1.034173e+03
3.907381e+00,8.992806e+02
3.907381e+00,7.284173e+02
3.212735e+00,6.474820e+02
1.476122e+00,2.787770e+02
4.341534e-01,9.892086e+01
-6.078148e-01,-1.978417e+02
-3.560058e+00,-5.845324e+02
-3.560058e+00,-6.924460e+02
-4.081042e+00,-8.453237e+02
-5.123010e+00,-9.982014e+02
-6.338640e+00,-1.133094e+03
-7.033285e+00,-1.205036e+03
-7.380608e+00,-1250
-7.727931e+00,-1.348921e+03
-8.422576e+00,-1.348921e+03
-9.117221e+00,-1.357914e+03
-9.464544e+00,-1.474820e+03
-9.811867e+00,-1.519784e+03
-1.068017e+01,-1.402878e+03
-1.120116e+01,-1.232014e+03
-1.102750e+01,-9.982014e+02
-1.068017e+01,-8.183453e+02
-8.769899e+00,-4.226619e+02
-7.727931e+00,-1.708633e+02
-6.512301e+00,8.992806e+00
-4.949349e+00,2.697842e+02
-2.865412e+00,5.395683e+02
-1.823444e+00,7.553957e+02
8.683068e-02,9.262590e+02
8.683068e-02,9.982014e+02
1.649783e+00,1.088129e+03
2.170767e+00,1.214029e+03
2.518090e+00,1.303957e+03
5.296671e+00,1.537770e+03
7.901592e+00,1.753597e+03
9.985528e+00,1.870504e+03
1.033285e+01,1.798561e+03
1.015919e+01,1.681655e+03
1.015919e+01,1.591727e+03
9.638205e+00,1.330935e+03
9.117221e+00,1.187050e+03
8.596237e+00,1.106115e+03
6.859624e+00,7.733813e+02
4.949349e+00,4.766187e+02
3.212735e+00,2.068345e+02
1.476122e+00,8.992806e+00
7.814761e-01,-1.169065e+02
4.341534e-01,-2.158273e+02
-1.128799e+00,-4.586331e+02
-1.997106e+00,-5.665468e+02
-6.685962e+00,-1.187050e+03
-7.554269e+00,-1250
-8.596237e+00,-1.241007e+03
-9.985528e+00,-1.187050e+03
-1.224313e+01,-1.088129e+03
-1.397974e+01,-1.034173e+03
-1.606368e+01,-9.712230e+02
-1.797395e+01,-9.172662e+02
-2.023155e+01,-8.723022e+02
-2.162084e+01,-8.363309e+02
-2.144718e+01,-6.924460e+02
-1.936324e+01,-4.856115e+02
-1.641100e+01,-2.517986e+02
-1.345876e+01,3.597122e+01
-1.050651e+01,2.877698e+02
-8.422576e+00,4.586331e+02
-3.386397e+00,8.183453e+02
-2.865412e+00,8.902878e+02
-1.302460e+00,9.262590e+02
-2.604920e-01,1.115108e+03
4.602026e+00,1.456835e+03
