Displacement [mm],Force [kN]
-1.17E+00,-1.60E+02
-9.35E-01,6.06E+01
-9.35E-01,2.26E+02
0.00E+00,3.36E+02
2.34E-01,8.26E+01
2.34E-01,-9.36E+01
-1.64E+00,-4.46E+02
-2.34E+00,-5.12E+02
-3.27E+00,-6.11E+02
-3.50E+00,-6.88E+02
-4.44E+00,-7.54E+02
-4.44E+00,-5.56E+02
-4.67E+00,-4.35E+02
-4.67E+00,-3.14E+02
-3.74E+00,-1.60E+02
-2.80E+00,-2.75E+01
-1.64E+00,1.27E+02
0.00E+00,4.46E+02
1.64E+00,6.99E+02
2.80E+00,9.19E+02
3.27E+00,7.32E+02
3.04E+00,5.67E+02
2.57E+00,4.24E+02
2.10E+00,2.70E+02
1.17E+00,1.71E+02
-2.34E+00,-5.56E+02
-4.91E+00,-8.53E+02
-6.07E+00,-1.02E+03
-6.78E+00,-1.14E+03
-6.31E+00,-7.54E+02
-5.84E+00,-5.67E+02
-4.44E+00,-2.37E+02
-2.34E+00,6.06E+01
4.67E-01,5.23E+02
4.21E+00,1.22E+03
4.21E+00,9.63E+02
4.44E+00,7.98E+02
1.64E+00,2.26E+02
-4.67E-01,5.50E+00
-1.40E+00,-1.05E+02
-2.34E+00,-2.92E+02
-2.80E+00,-3.58E+02
-2.80E+00,-4.68E+02
-3.50E+00,-5.67E+02
-4.21E+00,-7.10E+02
-4.91E+00,-9.19E+02
-6.07E+00,-1.07E+03
-7.01E+00,-1.22E+03
-7.71E+00,-1.29E+03
-7.94E+00,-1.35E+03
-8.41E+00,-1.45E+03
-9.58E+00,-1.59E+03
-1.07E+01,-1.69E+03
-1.19E+01,-1.69E+03
-1.21E+01,-1.62E+03
-1.29E+01,-1.55E+03
-1.29E+01,-1.47E+03
-1.33E+01,-1.49E+03
-1.36E+01,-1.48E+03
-1.38E+01,-1.48E+03
-1.36E+01,-1.21E+03
-1.24E+01,-8.64E+02
-1.12E+01,-5.56E+02
-1.00E+01,-3.69E+02
-9.11E+00,-1.82E+02
-8.41E+00,-7.16E+01
-7.48E+00,5.50E+00
-6.31E+00,1.05E+02
-4.91E+00,2.81E+02
-3.74E+00,4.24E+02
-2.80E+00,6.22E+02
-1.40E+00,7.87E+02
-4.67E-01,1.01E+03
7.01E-01,1.14E+03
