Displacement [mm],Force [kN]
2.488479e+00,8.715953e+02
3.225806e+00,5.214008e+02
5.222734e-01,1.274319e+02
-7.066052e-01,3.988327e+01
-7.066052e-01,3.988327e+01
-1.198157e+00,3.025292e+02
1.259601e+00,5.914397e+02
2.980031e+00,8.540856e+02
3.471582e+00,5.214008e+02
5.222734e-01,1.536965e+02
-1.198157e+00,-1.177043e+02
-2.181260e+00,5.739300e+01
-9.523810e-01,2.937743e+02
1.259601e+00,6.089494e+02
2.488479e+00,9.678988e+02
4.454685e+00,1.134241e+03
4.454685e+00,7.928016e+02
3.717358e+00,6.527237e+02
1.996928e+00,3.375486e+02
-7.066052e-01,-6.517510e+01
-2.672811e+00,-3.540856e+02
-4.147465e+00,-5.466926e+02
-5.130568e+00,-6.955253e+02
-5.622120e+00,-3.891051e+02
-5.376344e+00,-2.140078e+02
-4.147465e+00,-5.642023e+01
-2.427035e+00,1.449416e+02
-9.523810e-01,4.075875e+02
1.505376e+00,7.227626e+02
2.488479e+00,9.153696e+02
4.454685e+00,1.186770e+03
4.700461e+00,1.002918e+03
4.700461e+00,8.803502e+02
-5.376344e+00,-8.268482e+02
-6.605223e+00,-9.231518e+02
-7.588326e+00,-9.931907e+02
-7.096774e+00,-8.005837e+02
-7.096774e+00,-6.254864e+02
-6.605223e+00,-4.941634e+02
-4.639017e+00,-1.527237e+02
-3.164363e+00,5.739300e+01
-1.198157e+00,3.025292e+02
-9.523810e-01,4.163424e+02
1.013825e+00,5.739300e+02
2.242704e+00,7.315175e+02
2.488479e+00,8.715953e+02
3.225806e+00,1.002918e+03
4.208909e+00,1.142996e+03
4.454685e+00,1.151751e+03
4.946237e+00,9.941634e+02
4.946237e+00,8.365759e+02
4.208909e+00,7.315175e+02
3.717358e+00,5.914397e+02
2.242704e+00,3.287938e+02
7.680492e-01,1.361868e+02
5.222734e-01,1.361868e+01
-2.150538e-01,-5.642023e+01
-9.523810e-01,-1.264591e+02
-2.181260e+00,-3.628405e+02
-3.655914e+00,-5.379377e+02
-4.639017e+00,-6.780156e+02
-5.130568e+00,-8.356031e+02
-6.113671e+00,-9.406615e+02
-8.079877e+00,-9.931907e+02
-8.817204e+00,-9.406615e+02
-1.053763e+01,-8.793774e+02
-1.225806e+01,-8.268482e+02
-1.373272e+01,-7.830739e+02
-1.496160e+01,-7.568093e+02
-1.741935e+01,-7.130350e+02
-1.766513e+01,-6.079767e+02
-1.766513e+01,-5.379377e+02
-1.225806e+01,-1.877432e+02
-7.588326e+00,1.011673e+02
-5.867896e+00,2.324903e+02
-4.608295e-01,8.365759e+02
2.242704e+00,1.116732e+03
4.208909e+00,1.283074e+03
4.946237e+00,1.396887e+03
6.420891e+00,1.545720e+03
9.124424e+00,1.764591e+03
1.084485e+01,1.782101e+03
1.158218e+01,1.887160e+03
1.182796e+01,1.642023e+03
1.133641e+01,1.475681e+03
7.649770e+00,8.103113e+02
3.471582e+00,2.412451e+02
2.980031e+00,1.361868e+02
-9.523810e-01,-1.614786e+02
-2.181260e+00,-3.715953e+02
-6.359447e+00,-6.955253e+02
-7.588326e+00,-7.568093e+02
-1.078341e+01,-7.305447e+02
-1.447005e+01,-6.867704e+02
-1.840246e+01,-6.429961e+02
-2.159754e+01,-6.079767e+02
-2.552995e+01,-5.729572e+02
-2.847926e+01,-5.466926e+02
-2.823349e+01,-4.678988e+02
-2.184332e+01,-2.315175e+02
-1.717358e+01,-5.642023e+01
-1.422427e+01,4.863813e+01
-1.029186e+01,1.799611e+02
-2.181260e+00,6.264591e+02
1.751152e+00,9.153696e+02
6.912442e+00,1.370623e+03
1.010753e+01,1.624514e+03
1.403994e+01,1.922179e+03
1.846390e+01,2.106031e+03
1.944700e+01,2.184825e+03
2.116743e+01,2.176070e+03
2.067588e+01,1.843385e+03
1.944700e+01,1.633268e+03
1.797235e+01,1.335603e+03
1.502304e+01,9.066148e+02
1.084485e+01,3.112840e+02
8.878648e+00,9.241245e+01
7.403994e+00,-3.015564e+01
5.929339e+00,-6.517510e+01
5.192012e+00,-1.964981e+02
2.980031e+00,-5.291829e+02
1.996928e+00,-6.254864e+02
7.680492e-01,-7.042802e+02
-2.918587e+00,-7.130350e+02
