Displacement [mm],Force [kN]
1.600851e+00,9.387018e+01
-1.600851e+00,-1.211228e+02
-4.002128e+00,-2.074228e+02
-6.003191e+00,-2.361895e+02
-6.403404e+00,-1.953105e+02
-7.604043e+00,-1.604877e+02
-7.604043e+00,-1.226368e+02
-8.404468e+00,-9.387018e+01
-1.200638e+01,-7.418772e+01
-9.605106e+00,-4.239298e+01
-7.604043e+00,-7.570175e+00
-3.601915e+00,6.207544e+01
-4.002128e-01,1.362632e+02
2.401277e+00,2.028807e+02
4.402340e+00,2.422456e+02
7.604043e+00,2.755544e+02
1.200638e+01,2.997789e+02
1.240660e+01,2.770684e+02
7.604043e+00,7.721579e+01
6.403404e+00,1.665439e+01
5.202766e+00,-2.271053e+01
3.201702e+00,-6.813158e+01
2.001064e+00,-8.175789e+01
0,-8.327193e+01
-2.801489e+00,-7.267368e+01
-6.803617e+00,-5.904737e+01
-1.040553e+01,-4.996316e+01
-4.002128e+00,-1.211228e+01
8.004255e-01,4.390702e+01
5.202766e+00,1.090105e+02
7.604043e+00,1.559456e+02
9.605106e+00,1.968246e+02
1.120596e+01,2.240772e+02
1.240660e+01,2.619281e+02
1.000532e+01,1.710860e+02
8.804681e+00,1.135526e+02
6.803617e+00,5.601930e+01
4.002128e+00,-4.693509e+01
3.601915e+00,-7.721579e+01
4.002128e-01,-6.813158e+01
-4.402340e+00,-6.056140e+01
-2.321234e+01,-3.936491e+01
-1.400745e+01,-7.570175e+00
-8.004255e+00,2.422456e+01
-1.600851e+00,4.844912e+01
4.002128e+00,9.538421e+01
1.000532e+01,1.877404e+02
1.360723e+01,2.361895e+02
1.640872e+01,2.800965e+02
1.881000e+01,3.028070e+02
2.801489e+01,3.118912e+02
2.841511e+01,3.118912e+02
2.841511e+01,3.103772e+02
2.841511e+01,2.816105e+02
2.721447e+01,2.331614e+02
2.561362e+01,1.847123e+02
2.281213e+01,6.207544e+01
1.881000e+01,-5.299123e+01
1.800957e+01,-7.115965e+01
1.360723e+01,-7.418772e+01
1.040553e+01,-6.207544e+01
6.403404e+00,-5.299123e+01
8.004255e-01,-4.542105e+01
-5.602979e+00,-3.936491e+01
-1.440766e+01,-3.633684e+01
-2.041085e+01,-2.876667e+01
-3.081638e+01,-2.119649e+01
-3.681957e+01,-1.514035e+01
-3.922085e+01,-1.059825e+01
-4.042149e+01,-1.059825e+01
-2.881532e+01,3.028070e+00
-1.600851e+01,1.059825e+01
-9.605106e+00,1.665439e+01
2.801489e+00,3.028070e+01
9.204894e+00,4.996316e+01
1.360723e+01,7.418772e+01
1.760936e+01,9.841228e+01
2.041085e+01,1.347491e+02
2.321234e+01,1.650298e+02
2.641404e+01,2.074228e+02
2.881532e+01,2.664702e+02
2.881532e+01,2.649561e+02
2.321234e+01,3.633684e+01
2.201170e+01,-1.514035e+00
2.121128e+01,-3.028070e+01
2.041085e+01,-4.239298e+01
1.680894e+01,-5.147719e+01
1.200638e+01,-4.693509e+01
-2.401277e+00,-4.087895e+01
-1.320702e+01,-3.330877e+01
-2.441298e+01,-2.573860e+01
-4.122191e+01,-9.084211e+00
-3.161681e+01,-1.514035e+00
-1.840979e+01,7.570175e+00
-1.600851e+00,2.573860e+01
5.602979e+00,3.936491e+01
1.280681e+01,6.207544e+01
1.600851e+01,8.175789e+01
2.121128e+01,1.165807e+02
3.161681e+01,2.467877e+02
3.441830e+01,2.800965e+02
3.681957e+01,2.997789e+02
4.082170e+01,3.103772e+02
4.882596e+01,3.179474e+02
5.923149e+01,3.164333e+02
5.923149e+01,3.164333e+02
5.923149e+01,3.164333e+02
6.003191e+01,2.952368e+02
5.082702e+01,-3.330877e+01
4.922617e+01,-5.753333e+01
4.802553e+01,-6.813158e+01
4.322298e+01,-5.450526e+01
3.842043e+01,-3.633684e+01
3.001596e+01,-2.573860e+01
2.441298e+01,-2.422456e+01
1.560830e+01,-1.816842e+01
5.602979e+00,-1.514035e+01
2.001064e+00,-1.514035e+01
-2.201170e+01,-1.211228e+01
-3.641936e+01,-6.056140e+00
-4.322298e+01,-6.056140e+00
-2.121128e+01,3.028070e+00
-4.002128e+00,7.570175e+00
1.040553e+01,1.514035e+01
2.081106e+01,1.968246e+01
3.401809e+01,3.633684e+01
4.002128e+01,5.450526e+01
4.442362e+01,7.872982e+01
4.802553e+01,1.150667e+02
5.042681e+01,1.423193e+02
5.482915e+01,2.134789e+02
