Displacement [mm],Force [kN]
2.303512e-01,0
-4.741396e+00,-1.400508e+03
-5.816368e+00,-1.482891e+03
-6.756969e+00,-1.524082e+03
-8.100684e+00,-1.515844e+03
-9.847514e+00,-1.491129e+03
-1.025063e+01,-1.408746e+03
-9.981885e+00,-1.408746e+03
-9.310028e+00,-9.968321e+02
-6.756969e+00,-3.624844e+02
-3.263309e+00,4.283906e+02
-5.758780e-01,9.474024e+02
4.933355e+00,1.680609e+03
-4.875767e+00,-1.458176e+03
-5.681996e+00,-1.606465e+03
-6.622597e+00,-1.697086e+03
-8.100684e+00,-1.705324e+03
-1.038500e+01,-1.631180e+03
-8.906913e+00,-1.095691e+03
-6.891340e+00,-5.437266e+02
-3.935166e+00,1.318125e+02
-5.758780e-01,8.897344e+02
1.977181e+00,1.252219e+03
5.067726e+00,1.647656e+03
1.305323e+00,3.377695e+02
-5.010139e+00,-1.334602e+03
-6.085111e+00,-1.425223e+03
-8.369427e+00,-1.433461e+03
-9.981885e+00,-1.342840e+03
-7.563198e+00,-7.167305e+02
-4.741396e+00,0
-1.247736e+00,6.673008e+02
2.303512e-01,1.070977e+03
3.858383e+00,1.515844e+03
7.217671e+00,1.894805e+03
1.003947e+01,2.216098e+03
1.044259e+01,2.125477e+03
9.905102e+00,1.870090e+03
7.889529e+00,1.301648e+03
4.798983e+00,3.624844e+02
1.977181e+00,-3.295313e+02
4.990943e-01,-7.661602e+02
-1.516479e+00,-1.112168e+03
-3.532052e+00,-1.375793e+03
-5.144510e+00,-1.433461e+03
-9.444399e+00,-1.408746e+03
-1.240057e+01,-1.359316e+03
-1.535675e+01,-1.285172e+03
-1.455052e+01,-9.968321e+02
-1.172872e+01,-4.531055e+02
-8.503799e+00,9.885938e+01
-2.188336e+00,8.650196e+02
1.708438e+00,1.458176e+03
4.664612e+00,1.878328e+03
7.486414e+00,2.084285e+03
9.905102e+00,2.216098e+03
1.003947e+01,2.018379e+03
8.561386e+00,1.532320e+03
5.873956e+00,7.908750e+02
