Displacement [mm],Force [kN]
2.995698e-02,-4.234244e+01
-5.542040e+00,-2.100164e+03
-5.422212e+00,-1.939265e+03
9.286662e-01,4.234197e+02
3.145482e+00,1.210981e+03
4.882987e+00,1.702148e+03
5.691825e-01,7.621520e+01
-2.726085e+00,-1.134766e+03
-5.542040e+00,-2.100164e+03
-5.182557e+00,-1.896923e+03
2.965741e+00,1.100892e+03
3.684708e+00,1.321070e+03
4.703245e+00,1.617464e+03
5.482126e+00,1.820706e+03
5.242471e+00,1.617464e+03
1.228236e+00,1.439624e+02
-2.067031e+00,-1.050082e+03
-5.122643e+00,-2.032417e+03
-5.901524e+00,-2.210253e+03
-6.261008e+00,-2.278001e+03
-6.740319e+00,-2.311874e+03
-7.459287e+00,-2.311874e+03
-8.717480e+00,-2.269532e+03
-9.975673e+00,-2.193317e+03
-1.081447e+01,-2.125569e+03
-1.087438e+01,-2.117101e+03
-1.117395e+01,-1.600528e+03
-1.111404e+01,-1.532781e+03
-9.196791e+00,-9.992719e+02
-6.800233e+00,-2.625209e+02
-5.242471e+00,1.608992e+02
-3.445052e+00,6.520666e+02
-1.767462e+00,1.016208e+03
-7.489244e-01,1.244855e+03
6.890104e-01,1.515844e+03
2.546343e+00,1.829175e+03
4.164020e+00,2.074758e+03
6.081266e+00,2.286468e+03
8.118340e+00,2.472773e+03
9.795931e+00,2.591331e+03
1.099421e+01,2.633673e+03
1.075455e+01,2.472773e+03
9.256705e+00,1.863048e+03
7.579115e+00,1.304134e+03
5.961438e+00,7.198138e+02
4.403675e+00,2.201780e+02
2.486429e+00,-3.895469e+02
6.290965e-01,-9.061195e+02
-8.687523e-01,-1.261792e+03
-1.887289e+00,-1.481971e+03
-2.726085e+00,-1.617465e+03
-3.744622e+00,-1.736023e+03
-4.223933e+00,-1.752960e+03
-4.703245e+00,-1.752960e+03
-5.002815e+00,-1.727555e+03
-5.482126e+00,-1.617465e+03
-6.081266e+00,-1.473502e+03
-6.860147e+00,-1.312603e+03
-7.818770e+00,-1.185577e+03
-9.136877e+00,-1.075488e+03
-1.027524e+01,-9.908035e+02
-1.093430e+01,-9.484615e+02
-1.075455e+01,-8.553091e+02
-9.676103e+00,-6.012570e+02
-8.238168e+00,-2.963945e+02
-6.440750e+00,5.927839e+01
-5.781696e+00,1.778360e+02
-3.624794e+00,4.996353e+02
-4.493546e-01,9.145870e+02
2.306687e+00,1.295665e+03
5.961438e+00,1.846111e+03
7.579115e+00,2.108632e+03
8.657566e+00,2.278000e+03
1.021533e+01,2.498178e+03
1.099421e+01,2.582862e+03
1.021533e+01,2.227189e+03
8.417910e+00,1.558186e+03
6.380836e+00,8.129662e+02
4.643331e+00,2.625201e+02
2.726085e+00,-3.302681e+02
8.687523e-01,-8.637775e+02
-5.691825e-01,-1.210982e+03
-1.527806e+00,-1.371882e+03
-1.887289e+00,-1.405755e+03
-2.246773e+00,-1.431160e+03
-2.666171e+00,-1.431160e+03
-2.965741e+00,-1.405755e+03
-3.924364e+00,-1.295666e+03
-4.463589e+00,-1.219450e+03
-5.122643e+00,-1.151703e+03
-6.081266e+00,-1.075488e+03
-7.039889e+00,-1.007740e+03
