Displacement [mm],Force [kN]
0,0
3.365961e-01,-5.048774e+01
-4.600146e+00,-3.300636e+03
-4.600146e+00,-3.300636e+03
6.395325e+00,4.177861e+03
-4.375749e+00,-3.269081e+03
-7.068517e+00,-4.625939e+03
-7.517312e+00,-4.010620e+03
-9.088093e+00,-3.663517e+03
-1.088327e+01,-3.332191e+03
-1.245405e+01,-3.111307e+03
-1.178086e+01,-2.732649e+03
-1.907378e+00,1.479922e+03
5.609934e-01,2.537009e+03
3.029364e+00,3.452099e+03
5.722133e+00,4.414522e+03
7.517312e+00,4.808957e+03
9.536888e+00,5.045619e+03
1.267845e+01,5.077174e+03
1.222966e+01,4.256748e+03
9.985683e+00,2.805225e+03
7.741709e+00,1.290593e+03
5.722133e+00,2.177284e+02
3.365961e-01,-2.401323e+03
-3.365961e-01,-2.795759e+03
-1.234186e+00,-3.032420e+03
-3.029364e+00,-3.190194e+03
-4.824543e+00,-3.221749e+03
-6.619722e+00,-3.205972e+03
-9.536888e+00,-2.985088e+03
-1.133207e+01,-2.795759e+03
-1.267845e+01,-2.637985e+03
-1.200526e+01,-2.164662e+03
-3.702557e+00,4.386123e+02
3.926954e+00,2.694783e+03
7.741709e+00,3.830757e+03
1.021008e+01,4.461854e+03
1.267845e+01,4.872067e+03
1.110767e+01,3.515209e+03
8.190504e+00,1.637696e+03
5.946530e+00,4.070574e+02
3.702557e+00,-7.289168e+02
5.609934e-01,-2.196217e+03
-1.009788e+00,-2.511765e+03
-3.029364e+00,-2.653762e+03
-5.497736e+00,-2.779981e+03
-7.068517e+00,-2.779981e+03
-9.312491e+00,-2.716872e+03
-1.088327e+01,-2.622207e+03
-1.200526e+01,-2.432878e+03
-1.065888e+01,-1.880668e+03
-3.926954e+00,2.808381e+02
2.580570e+00,2.016354e+03
7.517312e+00,3.609874e+03
1.021008e+01,4.256748e+03
1.245405e+01,4.698515e+03
1.178086e+01,3.814980e+03
1.043448e+01,3.041886e+03
8.414901e+00,1.874357e+03
5.946530e+00,4.859445e+02
4.600146e+00,-3.660361e+02
5.609934e-01,-2.006888e+03
-2.131775e+00,-2.322436e+03
-4.600146e+00,-2.495988e+03
-7.292915e+00,-2.511765e+03
-1.021008e+01,-2.511765e+03
-1.447363e+01,-2.243549e+03
-1.896158e+01,-2.006888e+03
-1.783959e+01,-1.833336e+03
-1.088327e+01,-5.395877e+02
-5.497736e+00,4.070574e+02
4.375749e+00,2.489677e+03
7.966107e+00,3.373212e+03
1.133207e+01,4.083196e+03
1.537122e+01,4.509186e+03
1.873718e+01,4.887845e+03
1.873718e+01,4.351412e+03
1.604441e+01,2.489677e+03
1.380044e+01,1.243261e+03
1.222966e+01,2.492832e+02
9.761286e+00,-5.080329e+02
6.844120e+00,-1.738672e+03
5.048941e+00,-2.006888e+03
3.702557e+00,-2.164662e+03
1.907378e+00,-2.259326e+03
-7.853908e-01,-2.338214e+03
-4.375749e+00,-2.338214e+03
-8.190504e+00,-2.211994e+03
-1.312725e+01,-2.038443e+03
-1.671760e+01,-1.912223e+03
-1.896158e+01,-1.864891e+03
-1.155646e+01,-6.815845e+02
3.365961e-01,1.085486e+03
7.741709e+00,2.316125e+03
1.357604e+01,3.467877e+03
1.716640e+01,4.083196e+03
1.873718e+01,4.240970e+03
1.694200e+01,2.884112e+03
1.447363e+01,1.606141e+03
1.245405e+01,5.490542e+02
1.065888e+01,-2.240394e+02
6.170928e+00,-1.249572e+03
3.926954e+00,-1.659785e+03
1.458583e+00,-1.864891e+03
-2.131775e+00,-1.991110e+03
-6.844120e+00,-1.975333e+03
-1.267845e+01,-1.928001e+03
-1.649321e+01,-1.801781e+03
-1.918598e+01,-1.675562e+03
-2.367392e+01,-1.580897e+03
-2.950825e+01,-1.470455e+03
-3.107904e+01,-1.407346e+03
-2.502031e+01,-8.709135e+02
-2.142995e+01,-5.080329e+02
-1.604441e+01,-3.155484e+00
-1.200526e+01,4.070574e+02
-3.926954e+00,1.038154e+03
1.110767e+01,2.679006e+03
1.985917e+01,3.767648e+03
2.703988e+01,4.540741e+03
3.175223e+01,4.966732e+03
2.973265e+01,3.246993e+03
2.703988e+01,1.858580e+03
2.412272e+01,5.648316e+02
2.098115e+01,-6.973619e+02
1.896158e+01,-1.281126e+03
1.761519e+01,-1.596675e+03
1.582001e+01,-1.770226e+03
1.402484e+01,-1.896446e+03
1.222966e+01,-1.943778e+03
9.088093e+00,-1.991110e+03
6.844120e+00,-1.975333e+03
2.356172e+00,-1.928001e+03
-2.131775e+00,-1.833336e+03
-1.222966e+01,-1.754449e+03
-2.008356e+01,-1.628230e+03
-2.636669e+01,-1.454678e+03
-3.085464e+01,-1.265349e+03
-1.918598e+01,-3.975910e+02
-1.088327e+01,2.492832e+02
7.068517e+00,1.495699e+03
1.335164e+01,1.984799e+03
1.873718e+01,2.552786e+03
2.457151e+01,3.278548e+03
2.861066e+01,3.736093e+03
3.152783e+01,4.020086e+03
2.928386e+01,2.726338e+03
2.681549e+01,1.511477e+03
2.412272e+01,5.648316e+02
2.098115e+01,-4.133684e+02
1.941037e+01,-6.973619e+02
1.761519e+01,-9.813555e+02
1.559562e+01,-1.170685e+03
1.245405e+01,-1.407346e+03
8.414901e+00,-1.517788e+03
-1.121987e-01,-1.722894e+03
-3.702557e+00,-1.722894e+03
-6.170928e+00,-1.722894e+03
-1.133207e+01,-1.644007e+03
-2.232754e+01,-1.486233e+03
-2.905946e+01,-1.296904e+03
-3.758656e+01,-1.233794e+03
-4.656245e+01,-1.154907e+03
-4.207451e+01,-9.182458e+02
-3.534259e+01,-5.080329e+02
-2.861066e+01,-1.135974e+02
-2.300073e+01,1.861735e+02
-1.537122e+01,5.332768e+02
-9.536888e+00,8.014929e+02
-5.273338e+00,9.750445e+02
5.946530e+00,1.385257e+03
1.222966e+01,1.827025e+03
1.806399e+01,2.268793e+03
2.412272e+01,2.836780e+03
3.354741e+01,3.799203e+03
3.870855e+01,4.367190e+03
4.297210e+01,4.793180e+03
4.723565e+01,5.092951e+03
4.588926e+01,3.878090e+03
4.252330e+01,1.905912e+03
3.848415e+01,9.150903e+01
3.758656e+01,-3.660361e+02
3.646457e+01,-8.078039e+02
3.444500e+01,-1.202239e+03
3.287421e+01,-1.470455e+03
3.018145e+01,-1.691339e+03
2.771308e+01,-1.801781e+03
2.389832e+01,-1.849114e+03
1.918598e+01,-1.833336e+03
1.200526e+01,-1.707117e+03
6.395325e+00,-1.596675e+03
1.009788e+00,-1.517788e+03
-4.824543e+00,-1.502010e+03
-2.187874e+01,-1.328459e+03
-3.422060e+01,-1.170685e+03
-4.140131e+01,-1.091797e+03
-4.566486e+01,-1.012910e+03
-3.736216e+01,-6.342523e+02
-3.040584e+01,-2.713716e+02
-2.457151e+01,-1.893290e+01
-1.985917e+01,2.177284e+02
-1.469803e+01,4.228348e+02
-9.088093e+00,5.963865e+02
6.844120e+00,1.195928e+03
1.133207e+01,1.322148e+03
1.671760e+01,1.527254e+03
2.187874e+01,1.795470e+03
2.681549e+01,2.095241e+03
3.197663e+01,2.489677e+03
3.736216e+01,3.010332e+03
4.364529e+01,3.594096e+03
4.723565e+01,3.956977e+03
4.633806e+01,3.357435e+03
4.409408e+01,2.316125e+03
4.005493e+01,6.279413e+02
3.736216e+01,-6.626516e+01
3.354741e+01,-6.973619e+02
2.861066e+01,-1.091797e+03
2.412272e+01,-1.249572e+03
2.075676e+01,-1.281126e+03
1.021008e+01,-1.249572e+03
-3.220102e+01,-1.107575e+03
-6.227027e+01,-9.971329e+02
-5.127480e+01,-5.395877e+02
-4.162571e+01,-1.293748e+02
-3.489379e+01,1.388413e+02
-2.793747e+01,3.281703e+02
-1.851278e+01,5.174994e+02
5.946530e+00,1.117041e+03
9.761286e+00,1.227483e+03
1.985917e+01,1.558809e+03
2.502031e+01,1.795470e+03
3.085464e+01,2.111019e+03
3.803535e+01,2.663228e+03
4.342089e+01,3.120774e+03
4.925522e+01,3.641428e+03
5.419196e+01,4.193638e+03
5.980190e+01,4.730070e+03
6.271907e+01,5.045619e+03
6.249467e+01,4.351412e+03
6.114828e+01,3.657206e+03
5.912871e+01,2.489677e+03
5.351877e+01,-1.135974e+02
5.194799e+01,-5.711426e+02
5.015281e+01,-9.655781e+02
4.813324e+01,-1.265349e+03
4.499167e+01,-1.533565e+03
4.050373e+01,-1.675562e+03
3.489379e+01,-1.675562e+03
3.175223e+01,-1.628230e+03
2.434711e+01,-1.549343e+03
2.008356e+01,-1.502010e+03
1.604441e+01,-1.454678e+03
9.536888e+00,-1.407346e+03
3.926954e+00,-1.360014e+03
-1.234186e+00,-1.344236e+03
-1.514682e+01,-1.249572e+03
-2.883506e+01,-1.139130e+03
-5.037721e+01,-9.655781e+02
-6.092389e+01,-8.866910e+02
-5.239679e+01,-6.342523e+02
-4.544047e+01,-3.502587e+02
-3.601578e+01,-3.155484e+00
-2.905946e+01,2.177284e+02
-2.322513e+01,3.597252e+02
-1.088327e+01,6.594961e+02
2.804967e+00,9.592671e+02
1.335164e+01,1.101264e+03
1.941037e+01,1.259038e+03
2.502031e+01,1.416812e+03
3.175223e+01,1.621919e+03
3.691337e+01,1.874357e+03
4.185011e+01,2.111019e+03
4.768444e+01,2.505454e+03
5.284558e+01,2.915667e+03
5.778232e+01,3.325880e+03
6.271907e+01,3.799203e+03
6.137268e+01,3.168106e+03
6.047509e+01,2.663228e+03
5.823112e+01,1.795470e+03
5.666034e+01,1.053932e+03
5.329438e+01,1.230639e+02
5.060161e+01,-3.818135e+02
4.813324e+01,-6.184748e+02
4.566486e+01,-8.078039e+02
4.095252e+01,-1.060243e+03
3.893294e+01,-1.154907e+03
3.556698e+01,-1.233794e+03
2.905946e+01,-1.296904e+03
2.255194e+01,-1.281126e+03
1.335164e+01,-1.249572e+03
-2.300073e+01,-1.107575e+03
-3.848415e+01,-1.028688e+03
-5.755793e+01,-9.498006e+02
-7.775369e+01,-8.866910e+02
-6.586063e+01,-4.922555e+02
-5.957750e+01,-3.029265e+02
-5.127480e+01,-8.204258e+01
-4.521607e+01,7.573161e+01
-3.825975e+01,2.492832e+02
-2.973265e+01,3.912800e+02
-1.559562e+01,6.279413e+02
6.170928e+00,9.592671e+02
1.537122e+01,1.132819e+03
2.255194e+01,1.306370e+03
3.085464e+01,1.511477e+03
3.848415e+01,1.748138e+03
4.633806e+01,2.142574e+03
5.374317e+01,2.631674e+03
5.912871e+01,3.026109e+03
6.586063e+01,3.594096e+03
7.191936e+01,4.177861e+03
7.595851e+01,4.619628e+03
7.842688e+01,4.872067e+03
7.820248e+01,4.319857e+03
7.730489e+01,3.736093e+03
7.550972e+01,2.962999e+03
7.191936e+01,1.259038e+03
6.855340e+01,-3.155484e+00
6.720701e+01,-3.975910e+02
6.586063e+01,-7.289168e+02
6.406545e+01,-9.813555e+02
6.159708e+01,-1.218017e+03
5.912871e+01,-1.375791e+03
5.553835e+01,-1.517788e+03
5.060161e+01,-1.533565e+03
4.746004e+01,-1.549343e+03
4.185011e+01,-1.486233e+03
3.668897e+01,-1.438901e+03
2.973265e+01,-1.391568e+03
2.569350e+01,-1.296904e+03
1.739080e+01,-1.186462e+03
7.966107e+00,-1.123352e+03
-1.828839e+01,-1.028688e+03
-5.553835e+01,-8.709135e+02
-8.762717e+01,-8.078039e+02
-9.323711e+01,-7.762490e+02
-7.708050e+01,-3.818135e+02
-6.586063e+01,-1.293748e+02
-5.531395e+01,1.230639e+02
-4.588926e+01,2.492832e+02
-3.579138e+01,3.755026e+02
-2.300073e+01,5.174994e+02
6.619722e+00,8.803800e+02
2.142995e+01,1.101264e+03
3.220102e+01,1.322148e+03
4.229890e+01,1.574586e+03
5.127480e+01,1.874357e+03
5.867991e+01,2.253015e+03
6.608503e+01,2.710561e+03
7.304134e+01,3.246993e+03
7.640730e+01,3.546764e+03
7.842688e+01,3.720315e+03
7.663170e+01,2.742115e+03
7.438773e+01,1.921690e+03
7.079737e+01,7.226058e+02
6.810460e+01,1.546187e+02
6.541183e+01,-3.187039e+02
6.137268e+01,-6.815845e+02
5.912871e+01,-8.709135e+02
5.508955e+01,-1.044465e+03
5.149920e+01,-1.123352e+03
4.611366e+01,-1.186462e+03
3.736216e+01,-1.218017e+03
2.771308e+01,-1.218017e+03
-1.245405e+01,-1.076020e+03
-9.256392e+01,-6.973619e+02
-7.842688e+01,-4.291458e+02
-6.563623e+01,-9.782000e+01
-5.508955e+01,1.072865e+02
-4.566486e+01,2.650606e+02
-3.601578e+01,3.912800e+02
-2.277633e+01,5.648316e+02
-1.559562e+01,6.752735e+02
1.200526e+01,9.277123e+02
