Displacement [mm],Force [kN]
1.778000e-01,4.419837e+01
1.778000e-01,4.847259e+01
1.778000e-01,4.691609e+01
1.524000e-01,4.952277e+01
1.778000e-01,4.435707e+01
1.778000e-01,8.062542e+01
1.524000e-01,1.249989e+02
1.778000e-01,1.459923e+02
1.524000e-01,1.713012e+02
1.778000e-01,1.871445e+02
1.778000e-01,2.036972e+02
1.778000e-01,2.135854e+02
1.778000e-01,2.243719e+02
1.778000e-01,2.471854e+02
1.524000e-01,2.592317e+02
1.778000e-01,2.760572e+02
1.778000e-01,2.952353e+02
1.524000e-01,3.111834e+02
1.524000e-01,3.236236e+02
1.524000e-01,3.480009e+02
1.778000e-01,3.618800e+02
1.524000e-01,3.814472e+02
1.524000e-01,4.014503e+02
1.778000e-01,4.088997e+02
2.286000e-01,4.345693e+02
2.540000e-01,4.508052e+02
2.794000e-01,4.622261e+02
3.556000e-01,4.805550e+02
3.810000e-01,4.956958e+02
4.064000e-01,5.036623e+02
4.572000e-01,5.237954e+02
5.080000e-01,5.357213e+02
5.842000e-01,5.586212e+02
6.350000e-01,5.739779e+02
6.858000e-01,5.881539e+02
7.112000e-01,6.019056e+02
7.366000e-01,6.152649e+02
7.874000e-01,6.322771e+02
8.128000e-01,6.501777e+02
8.890000e-01,6.617995e+02
9.398000e-01,6.842889e+02
9.906000e-01,6.906108e+02
1.016000e+00,6.987121e+02
1.066800e+00,7.260571e+02
1.117600e+00,7.381240e+02
1.168400e+00,7.491851e+02
1.219200e+00,7.667439e+02
1.270000e+00,7.849442e+02
1.320800e+00,7.913311e+02
1.371600e+00,8.062333e+02
1.397000e+00,8.218492e+02
1.473200e+00,8.382315e+02
1.524000e+00,8.499939e+02
1.574800e+00,8.709196e+02
1.600200e+00,8.752522e+02
1.651000e+00,8.947821e+02
1.701800e+00,9.145499e+02
1.778000e+00,9.224405e+02
1.828800e+00,9.385983e+02
1.879600e+00,9.525518e+02
1.905000e+00,9.625144e+02
1.955800e+00,9.531611e+02
1.981200e+00,9.427969e+02
1.981200e+00,9.158439e+02
1.955800e+00,8.953755e+02
1.955800e+00,8.598533e+02
1.955800e+00,8.448491e+02
1.955800e+00,8.201854e+02
1.955800e+00,8.007411e+02
1.955800e+00,7.813340e+02
1.955800e+00,7.628951e+02
1.955800e+00,7.475152e+02
1.955800e+00,7.236837e+02
1.955800e+00,7.094609e+02
1.955800e+00,6.920850e+02
1.981200e+00,6.755395e+02
1.981200e+00,6.596708e+02
1.955800e+00,6.477430e+02
1.955800e+00,6.267018e+02
1.955800e+00,6.080065e+02
1.981200e+00,5.894462e+02
1.955800e+00,5.711503e+02
1.981200e+00,5.571362e+02
1.981200e+00,5.436110e+02
1.955800e+00,5.218988e+02
1.905000e+00,5.020842e+02
1.854200e+00,4.848287e+02
1.803400e+00,4.693513e+02
1.752600e+00,4.476273e+02
1.727200e+00,4.368577e+02
1.676400e+00,4.234603e+02
1.651000e+00,4.073262e+02
1.600200e+00,3.849798e+02
1.549400e+00,3.701667e+02
1.524000e+00,3.466630e+02
1.498600e+00,3.408300e+02
1.473200e+00,3.212440e+02
1.422400e+00,3.082910e+02
1.371600e+00,2.941203e+02
1.320800e+00,2.717558e+02
1.270000e+00,2.548199e+02
1.244600e+00,2.424523e+02
1.168400e+00,2.300143e+02
1.143000e+00,2.182506e+02
1.092200e+00,2.005971e+02
1.041400e+00,1.790756e+02
1.041400e+00,1.710785e+02
9.906000e-01,1.597198e+02
9.144000e-01,1.398474e+02
9.144000e-01,1.275629e+02
8.890000e-01,1.142728e+02
8.382000e-01,9.974995e+01
7.874000e-01,7.490010e+01
7.874000e-01,7.347121e+01
7.366000e-01,5.554244e+01
6.858000e-01,4.831719e+01
6.350000e-01,3.497649e+01
5.842000e-01,1.474745e+01
5.588000e-01,-4.443723e+00
5.334000e-01,-7.020687e+00
4.826000e-01,-1.691672e+01
4.572000e-01,-3.005397e+01
4.064000e-01,-3.418867e+01
4.064000e-01,-3.984472e+01
4.064000e-01,-4.809727e+01
3.556000e-01,-6.489568e+01
3.302000e-01,-7.272360e+01
3.048000e-01,-8.882284e+01
2.540000e-01,-1.018807e+02
2.540000e-01,-1.189211e+02
2.032000e-01,-1.292071e+02
1.778000e-01,-1.411861e+02
1.270000e-01,-1.593171e+02
7.620000e-02,-1.844186e+02
5.080000e-02,-1.924744e+02
-2.540000e-02,-2.139469e+02
-5.080000e-02,-2.256744e+02
-7.620000e-02,-2.438283e+02
-1.270000e-01,-2.589194e+02
-1.778000e-01,-2.767021e+02
-2.286000e-01,-2.916398e+02
