Displacement [mm],Force [kN]
0.168062351,-3.243204269
-1.095517548,-243.2403202
-1.8362368,-382.0494629
-2.097667124,-409.2923788
-2.359097448,-427.4543227
-2.925529817,-439.1298581
-3.884107671,-452.1026752
-4.668398643,-450.8053934
-5.409117895,-446.9135483
-9.156285873,-414.4815056
-9.809861683,-410.5896605
-10.55058093,-376.8603361
-10.55058093,-372.968491
-10.46343749,-343.1310117
-9.417716197,-179.6735165
-8.764140387,-84.97195186
-8.459138342,-42.1616555
-8.32842318,-21.40514818
-8.154136297,30.48612013
-7.936277694,86.26923357
-7.500560487,161.5115726
-6.977699839,217.2946861
-6.280552308,279.564208
-5.452689615,335.3473215
-4.668398643,366.4820824
-3.971251113,387.2385898
-3.099816699,400.2114068
-1.87980852,405.4005337
0.211634072,402.8059703
5.483812273,383.3467446
6.660248731,378.1576178
8.969549927,376.8603361
9.623125737,371.6712093
10.05884294,367.7793642
9.928127782,321.0772227
8.228830675,64.21544453
6.660248731,-143.3496287
5.9631012,-197.8354604
5.048095066,-243.2403202
3.871658608,-278.2669263
2.477363547,-300.3207153
0.995925044,-313.2935324
-1.574806476,-321.0772227
-5.234831012,-337.9418849
-8.066992856,-350.9147019
-9.592003079,-353.5092654
-9.984148565,-352.2119837
-10.20200717,-335.3473215
-10.02772029,-286.0506166
-8.502710063,-97.94476894
-8.023421135,-52.53990916
-7.67484737,23.99971159
-7.108415001,92.7556421
-6.585554353,145.9441921
-6.106265426,180.9707982
-5.496261336,215.9974043
-4.886257247,243.2403202
-4.232681437,262.6995458
-3.404818744,276.9696446
-2.228382286,292.5370251
-0.267654856,310.698969
1.823787737,323.6717861
4.960951625,345.7255751
8.054543793,365.1848007
9.318123692,371.6712093
9.884556061,367.7793642
10.18955811,363.887519
10.14598638,349.6174202
9.753840899,279.564208
7.357396262,-43.45893721
6.006672921,-167.9979812
5.483812273,-199.1327421
4.65594958,-230.2675031
3.653800005,-254.9158556
2.651650429,-271.7805178
1.257355368,-283.4560531
-0.52908518,-295.1315885
-3.404818744,-309.4016873
-5.365546174,-322.3745044
-6.498410912,-330.1581946
-8.764140387,-347.0228568
-10.20200717,-350.9147019
-10.20200717,-326.2663495
-9.722718241,-253.6185739
-8.589853504,-122.5931214
-8.023421135,-64.21544453
-7.67484737,-1.945922562
-7.06484328,74.5936982
-6.498410912,136.8632202
-5.888406822,180.9707982
-5.670548219,201.7273056
-4.929828967,223.7810946
-3.666249068,258.8077007
-2.402669168,275.6723629
-0.398370018,293.8343068
1.910931178,310.698969
6.006672921,340.5364483
8.359545837,356.1038288
9.405267134,363.887519
10.23312983,362.5902373
10.36384499,356.1038288
10.05884294,315.8880958
7.618826586,-1.945922562
6.529533569,-113.5121494
5.570955714,-187.4572068
4.830236463,-213.4028409
3.828086888,-239.3484751
2.651650429,-260.1049824
0.952353323,-274.3750812
-0.921230666,-286.0506166
-1.923380241,-293.8343068
-8.023421135,-334.0500397
-8.98199899,-341.83373
-9.853433403,-343.1310117
-10.28915061,-343.1310117
-10.28915061,-341.83373
-10.15843545,-309.4016873
-8.894855549,-175.7816714
-7.979849414,-78.48554332
-7.282701884,13.62145793
-6.977699839,65.51272624
-6.498410912,114.8094311
-5.888406822,161.5115726
-5.496261336,183.5653616
-5.016972409,206.9164324
-4.45054004,231.5647848
-3.448390465,248.429447
-1.8362368,273.0777995
-0.877658945,282.1587714
1.300927089,301.6179971
5.222381949,330.1581946
8.882406486,354.8065471
9.274551972,357.4011105
9.928127782,357.4011105
10.36384499,354.8065471
9.18740853,184.8626434
7.313824541,-31.78340184
5.875957759,-156.3224458
5.135238508,-196.5381787
4.089517212,-227.6729397
2.956652474,-249.7267287
1.518785692,-265.2941092
-0.485513459,-279.564208
-7.369845325,-328.8609129
-10.76843954,-349.6174202
-15.38704193,-349.6174202
-16.51990667,-341.83373
-17.34776936,-337.9418849
-18.39349065,-336.6446032
-19.78778572,-331.4554763
-20.22350292,-315.8880958
-20.22350292,-315.8880958
-20.00564432,-280.8614897
-19.48278367,-197.8354604
-17.26062592,-29.18883842
-16.86848043,16.21602135
-16.69419355,43.45893721
-16.43276322,68.10728966
-16.21490462,83.67467015
-16.04061774,107.0257409
-15.34347021,142.052347
-14.38489235,177.0789531
-13.12131245,206.9164324
-12.59845181,218.5919678
-10.50700921,240.6457568
-9.243429314,245.8348836
-7.151986722,256.2131373
-4.711970364,265.2941092
-2.838386375,271.7805178
0.647351279,284.7533349
4.394519256,302.9152788
9.14383681,327.5636312
10.23312983,328.8609129
12.01957037,339.2391666
14.06744125,340.5364483
14.50315845,344.4282934
19.47033461,344.4282934
19.90605182,339.2391666
20.12391042,332.752758
19.90605182,287.3478983
19.68819321,239.3484751
17.68389406,65.51272624
15.94102523,-65.51272624
14.93887566,-121.2958397
13.84958264,-161.5115726
12.01957037,-190.0517702
10.49456015,-206.9164324
6.616677011,-205.6191507
3.479513122,-200.4300238
0.952353323,-196.5381787
-1.051945828,-193.9436153
-1.356947872,-197.8354604
-2.794814655,-199.1327421
-4.799113805,-204.321869
-5.975550264,-210.8082775
-8.894855549,-219.8892495
-15.21275505,-245.8348836
-18.74206442,-261.4022641
-20.00564432,-267.8886727
-19.78778572,-236.7539117
-19.22135335,-177.0789531
-17.4349128,-48.64806404
-16.21490462,43.45893721
-15.56132881,79.78282503
-14.77703784,108.3230226
-13.68774482,134.2686568
-12.42416492,155.0251641
-11.72701739,164.106136
-9.984148565,177.0789531
-9.069142431,183.5653616
-7.761990811,186.1599251
-4.058394554,190.0517702
-1.269804431,193.9436153
1.344498809,196.5381787
3.30522624,199.1327421
5.135238508,201.7273056
7.313824541,209.5109958
8.969549927,213.4028409
11.2352794,223.7810946
14.06744125,241.9430385
17.59675062,265.2941092
19.42676289,278.2669263
19.94962354,282.1587714
19.86248009,232.8620665
19.86248009,221.1865312
18.07603955,81.08010674
16.55102932,-5.837767685
15.15673426,-77.18826161
14.24172813,-105.7284592
13.23957855,-125.1876848
12.23742898,-139.4577836
10.05884294,-153.7278824
6.878107335,-156.3224458
2.825937312,-158.9170092
1.170211927,-162.8088543
-2.576956051,-170.5925446
-5.060544129,-175.7816714
-8.415566621,-190.0517702
-12.90345385,-208.2137141
-16.56347839,-227.6729397
-19.17778163,-241.9430385
-20.00564432,-248.429447
-19.87492916,-221.1865312
-18.95992302,-155.0251641
-16.82490871,-8.4323311
-15.73561569,48.64806404
-14.95132472,73.29641649
-14.16703375,97.94476894
-13.60060138,105.7284592
-12.3805932,123.8904031
-11.1170133,135.5659385
-8.415566621,151.133319
-7.587703928,151.133319
-1.923380241,152.4306007
-1.356947872,155.0251641
1.780216016,155.0251641
2.172361502,157.6197275
3.218082798,157.6197275
3.871658608,161.5115726
5.178810228,160.2142909
7.095965938,166.7006994
7.923828631,167.9979812
9.405267134,171.8898263
10.49456015,177.0789531
12.76028963,188.7544885
15.11316254,203.0245873
17.72746578,221.1865312
19.42676289,231.5647848
19.90605182,243.2403202
18.90390224,130.3768116
17.59675062,48.64806404
15.11316254,-65.51272624
14.32887157,-91.4583604
13.5445806,-103.1338958
11.75814005,-117.4039946
10.58170359,-127.7822482
8.664547882,-130.3768116
4.65594958,-134.2686568
-0.616228621,-142.052347
-5.060544129,-149.8360372
-8.154136297,-157.6197275
-11.16058502,-167.9979812
-14.16703375,-183.5653616
-17.4349128,-203.0245873
-19.22135335,-213.4028409
-19.91850088,-214.7001226
-19.56992711,-184.8626434
-17.34776936,-40.86437379
-16.08418946,22.70242989
-15.29989849,55.13447258
-14.29774891,75.8909799
-13.4263145,94.05292381
-12.1627346,109.6203043
-9.897005124,125.1876848
-7.849134252,129.0795299
-1.531234755,135.5659385
