Displacement [mm],Force [kN]
0.00000,-2.75959
-0.93117,-154.53725
-1.74594,-271.36005
-2.03693,-308.15463
-2.61891,-347.70881
-3.02630,-364.26637
-3.37549,-375.30475
-3.84107,-370.70542
-4.59765,-359.66705
-5.17963,-344.02935
-6.98377,-318.27314
-8.49692,-298.03612
-9.48629,-287.91761
-9.95187,-285.15802
-10.01007,-261.24154
-9.66088,-213.40858
-9.19530,-146.25847
-8.08953,-48.75282
-7.27476,27.59594
-7.04197,62.55079
-6.57638,96.58578
-5.99440,138.89955
-5.29603,182.13319
-4.71405,215.24831
-3.89927,252.04289
-2.96810,277.79910
-2.21153,288.83748
-1.51315,287.91761
-0.75658,282.39842
-0.05820,277.79910
0.64018,274.11964
1.68774,273.19978
2.09513,270.44018
2.85171,270.44018
3.43369,274.11964
4.42305,274.11964
4.88864,276.87924
7.68215,276.87924
8.20593,274.11964
9.48629,273.19978
10.12647,266.76073
9.77728,218.00790
7.85674,53.35215
6.45999,-54.27201
5.64521,-107.62416
4.88864,-136.13996
4.36486,-150.85779
3.49189,-164.65576
2.44432,-168.33522
-0.34919,-170.17495
-1.74594,-173.85440
-5.12143,-195.01129
-8.26413,-218.00790
-9.95187,-229.04628
-9.83548,-205.12980
-9.25350,-130.62077
-8.38052,-69.90971
-6.75098,45.07336
-6.40179,60.71106
-5.17963,102.10497
-4.36486,115.90294
-3.43369,126.02145
-2.09513,134.30023
-1.10576,139.81942
0.58198,147.17833
1.39675,150.85779
2.85171,160.05644
4.88864,175.69413
6.57638,193.17156
8.78791,211.56885
9.31169,215.24831
10.12647,218.92777
9.07890,136.13996
8.08953,60.71106
6.80918,-17.47743
6.11080,-49.67269
5.23783,-74.50903
4.30666,-93.82619
3.25909,-108.54402
1.51315,-119.58239
0.11640,-127.86118
-1.86234,-133.38036
-3.49189,-143.49887
-5.81981,-160.05644
-6.45999,-167.41535
-7.15836,-173.85440
-9.31169,-193.17156
-10.06827,-197.77088
-9.89368,-183.05305
-9.60268,-153.61738
-8.20593,-60.71106
-7.15836,8.27878
-6.40179,38.63431
-5.76161,56.11174
-5.12143,66.23025
-3.55008,95.66592
-2.09513,111.30361
-0.87297,118.66253
0.23279,123.26185
1.97874,131.54063
3.08450,137.97969
4.30666,148.09820
5.81981,158.21671
7.33296,174.77427
9.02070,188.57224
9.89368,201.45034
9.36989,146.25847
8.32233,68.98984
6.98377,-0.91986
5.87801,-41.39391
4.71405,-67.15011
3.60828,-86.46727
2.38612,-98.42551
0.34919,-110.38375
-1.57135,-121.42212
-3.60828,-130.62077
-6.34359,-149.93793
-9.13710,-173.85440
-9.95187,-183.97291
-9.71908,-164.65576
-8.38052,-70.82957
-7.50755,-22.99661
-6.63458,23.91648
-5.93621,45.99323
-5.29603,57.95147
-4.59765,66.23025
-2.21153,97.50564
-1.10576,103.94470
0.23279,112.22348
1.86234,121.42212
3.14270,127.86118
4.77224,137.05982
5.76161,146.25847
7.15836,158.21671
8.38052,169.25508
10.01007,187.65237
9.66088,154.53725
8.72971,86.46727
7.74035,36.79458
6.51819,-11.95824
6.11080,-28.51580
5.23783,-54.27201
4.30666,-68.98984
2.44432,-91.06659
0.81477,-103.02483
-2.15333,-116.82280
-4.59765,-128.78104
-6.40179,-141.65914
-8.08953,-155.45711
-10.82484,-182.13319
-14.02574,-206.96953
-16.12087,-222.60723
-18.15780,-234.56547
-19.08897,-239.16479
-19.84555,-240.08465
-20.02014,-236.40520
-19.61276,-211.56885
-18.56519,-129.70090
-17.51762,-48.75282
-17.11024,-21.15689
-16.64465,15.63770
-16.00447,50.59255
-15.53889,72.66930
-15.07331,83.70768
-14.60772,92.90632
-13.38556,110.38375
-10.82484,112.22348
-7.39116,112.22348
-2.61891,113.14334
-1.62955,114.06321
-0.05820,118.66253
1.45495,120.50226
2.50252,125.10158
4.19026,133.38036
7.10017,148.09820
8.90431,161.89616
12.10520,187.65237
15.24790,213.40858
18.04141,231.80587
19.61276,241.00452
19.96194,241.92438
20.31113,236.40520
19.96194,223.52709
19.61276,183.97291
17.63402,57.95147
16.87745,22.99661
15.77168,-39.55418
15.42249,-47.83296
15.30610,-57.95147
14.49132,-75.42890
13.85115,-87.38713
12.45439,-95.66592
11.23223,-99.34537
6.45999,-97.50564
0.69838,-99.34537
-2.85171,-103.94470
-6.16900,-107.62416
-7.91494,-113.14334
-9.71908,-119.58239
-11.98881,-129.70090
-14.54952,-144.41874
-16.81925,-161.89616
-18.79798,-180.29346
-19.61276,-189.49210
-19.90375,-186.73251
-19.90375,-166.49549
-19.61276,-142.57901
-19.14717,-121.42212
-17.86681,-61.63093
-16.47006,-11.03837
-15.82988,11.03837
-15.53889,28.51580
-15.07331,45.07336
-14.20033,59.79120
-12.80358,75.42890
-11.87241,77.26862
-10.82484,83.70768
-9.36989,88.30700
-7.33296,87.38713
-5.81981,90.14673
-4.19026,93.82619
-1.22216,97.50564
2.50252,101.18510
3.60828,105.78443
4.59765,107.62416
5.76161,112.22348
6.69278,113.14334
7.50755,116.82280
8.43872,118.66253
9.95187,125.10158
12.39619,137.97969
14.84051,155.45711
17.75042,181.21332
19.43816,195.01129
20.02014,202.37021
20.02014,185.81264
18.09961,73.58917
16.52826,11.95824
15.42249,-28.51580
13.61835,-57.03160
12.86178,-68.98984
11.75601,-71.74944
8.55512,-73.58917
1.04757,-77.26862
-2.85171,-85.54741
-6.51819,-96.58578
-10.53385,-108.54402
-13.50196,-123.26185
-16.12087,-139.81942
-19.03078,-160.05644
-19.67095,-165.57562
-19.61276,-150.85779
-19.26357,-128.78104
-18.04141,-73.58917
-17.05204,-33.11512
-15.82988,1.83973
-14.89871,24.83634
-13.56015,49.67269
-12.57079,59.79120
-11.58142,66.23025
-10.24286,74.50903
-8.32233,77.26862
-5.64521,81.86795
-1.10576,91.06659
1.22216,92.90632
3.43369,95.66592
5.87801,101.18510
7.74035,106.70429
9.83548,113.14334
11.46502,119.58239
13.15277,127.86118
15.13150,141.65914
17.57582,158.21671
19.03078,170.17495
19.96194,180.29346
19.20537,131.54063
18.44879,84.62754
17.11024,35.87472
15.24790,-16.55756
14.25853,-33.11512
13.03637,-47.83296
12.22160,-56.11174
10.82484,-63.47066
9.48629,-68.06998
7.44936,-68.98984
2.96810,-69.90971
0.17459,-73.58917
-3.78288,-82.78781
-7.68215,-96.58578
-14.89871,-122.34199
-17.11024,-134.30023
-18.04141,-141.65914
-19.26357,-151.77765
-19.90375,-155.45711
-19.84555,-155.45711
-19.55456,-133.38036
-18.50699,-91.06659
-17.57582,-49.67269
-16.81925,-28.51580
-15.94628,-4.59932
-15.18970,13.79797
-14.08394,36.79458
-12.91998,51.51242
-11.81421,58.87133
-11.05764,63.47066
-10.01007,68.98984
-7.85674,74.50903
-5.17963,78.18849
0.58198,91.06659
3.02630,92.90632
4.88864,95.66592
7.44936,102.10497
10.82484,110.38375
12.86178,119.58239
14.60772,127.86118
16.58646,139.81942
18.68159,154.53725
19.96194,165.57562
19.61276,141.65914
19.20537,123.26185
17.51762,47.83296
15.88808,3.67946
14.43313,-25.75621
13.67655,-38.63431
12.10520,-51.51242
10.76665,-59.79120
9.48629,-63.47066
7.10017,-65.31038
3.43369,-67.15011
0.64018,-69.90971
-0.81477,-74.50903
-4.94684,-85.54741
-9.66088,-100.26524
-14.25853,-114.06321
-17.57582,-131.54063
-21.53329,-163.73589
-24.55959,-186.73251
-26.77112,-201.45034
-28.98265,-215.24831
-29.79742,-222.60723
-29.79742,-203.29007
-29.39003,-179.37359
-28.92445,-145.33860
-28.51706,-114.98307
