Displacement [mm],Force [kN]
0.03351,0.17395
-0.63674,-50.96735
-1.30699,-95.84645
-1.77616,-122.46080
-2.21183,-141.76925
-2.71451,-153.77180
-2.94910,-158.46845
-3.18369,-158.46845
-3.58584,-142.29110
-7.84193,-130.28855
-9.75215,-125.07005
-9.95322,-123.50450
-10.02025,-118.80785
-8.11003,41.92195
-7.27222,93.58510
-6.73602,117.59020
-6.13279,134.28940
-5.42903,149.94490
-4.45717,164.55670
-3.85394,172.90630
-3.48530,176.03740
-1.84319,167.68780
0.06703,172.90630
2.98261,178.12480
4.79229,177.08110
7.07114,173.95000
8.81379,170.29705
9.71863,169.25335
10.02025,165.60040
8.78028,120.19945
7.90896,85.75735
6.23333,29.39755
5.79767,11.13280
4.99337,-10.78490
3.98799,-31.65890
2.81505,-52.01105
1.47455,-65.57915
0.10054,-73.92875
-0.77079,-76.53800
-2.37939,-81.75650
-4.32312,-88.01870
-6.53494,-98.97755
-8.31111,-108.37085
-8.81379,-110.98010
-9.81917,-111.50195
-9.98673,-110.98010
-10.02025,-107.84900
-9.95322,-99.49940
-7.90896,45.05305
-7.43978,68.01445
-7.27222,75.84220
-6.97061,84.71365
-6.63548,94.10695
-6.19982,103.50025
-5.46254,111.32800
-4.42365,117.59020
-3.28423,125.41795
-0.60323,130.11460
1.54158,131.68015
4.79229,137.42050
6.87007,142.11715
8.47867,147.85750
9.81917,153.59785
9.88620,150.98860
9.45053,135.85495
8.74677,110.28430
6.43441,38.79085
5.49605,16.87315
4.75878,-0.34790
4.05502,-14.43785
3.21720,-27.48410
2.11129,-41.05220
0.63674,-50.44550
-0.16756,-53.57660
-1.91021,-59.31695
-3.51882,-65.05730
-5.36200,-72.36320
-7.30573,-81.75650
-8.98136,-92.19350
-9.68512,-96.89015
-9.85268,-95.84645
-9.98673,-94.80275
-9.48404,-55.66400
-7.84193,45.57490
-7.43978,61.23040
-6.90358,75.84220
-6.16630,90.45400
-4.89283,103.50025
-2.94910,111.84985
-0.46918,119.15575
1.67563,121.76500
4.12204,125.93980
6.23333,131.15830
8.41164,137.42050
9.51756,143.16085
9.85268,145.24825
10.02025,142.63900
9.88620,137.94235
8.98136,110.28430
6.73602,48.18415
5.76415,25.22275
5.06039,9.56725
4.25609,-3.47900
2.94910,-23.83115
1.84319,-34.26815
1.17294,-39.48665
0.06703,-43.13960
-1.44104,-46.79255
-2.31236,-49.40180
-4.22258,-55.14215
-6.80304,-66.10100
-9.45053,-81.23465
-9.91971,-82.80020
-9.61810,-60.88250
-8.14354,24.17905
-7.47329,49.74970
-6.46792,71.66740
-5.56308,84.19180
-4.99337,91.49770
-2.71451,101.41285
-0.63674,108.19690
2.11129,113.93725
5.83118,122.28685
7.23871,125.93980
8.91433,134.28940
9.91971,137.42050
9.75215,130.11460
8.44516,92.01955
7.33924,61.75225
5.79767,24.70090
4.89283,5.91430
4.12204,-8.17565
3.38477,-17.56895
2.84856,-25.39670
2.44641,-29.04965
2.07778,-30.61520
1.17294,-34.26815
-0.67025,-38.44295
-2.17831,-42.09590
-3.71989,-46.79255
-5.06039,-50.96735
-6.36738,-56.70770
-7.94247,-64.53545
-9.31648,-72.88505
-10.55645,-81.75650
-11.02562,-84.36575
-13.17042,-94.28090
-14.00824,-98.97755
-14.37687,-98.45570
-14.81254,-97.41200
-15.65035,-95.84645
-16.01899,-96.36830
-16.65573,-98.97755
-19.33673,-100.02125
-19.80590,-100.54310
-20.00698,-97.41200
-19.13565,-28.52780
-18.33135,20.00425
-17.79515,43.48750
-17.09139,63.31780
-16.75626,71.66740
-16.28709,76.88590
-15.54981,87.32290
-14.67849,90.97585
-13.94121,94.10695
-11.69587,97.75990
-3.98799,98.80360
0.40215,103.50025
5.09390,110.80615
6.46792,113.41540
8.37813,113.93725
10.79103,119.15575
22.41988,34.61605
17.99623,2.26135
