Displacement [mm],Force [kN]
-0.12104306,-4.137474783
-0.332868414,-131.0200348
-0.514433004,-197.2196313
-0.817040653,-302.0356591
-0.998605243,-355.8228313
-1.301212892,-405.4725287
-1.573559777,-437.1931687
-1.876167426,-467.5346504
-2.45112196,-478.5679165
-3.691813322,-485.4637078
-4.932504684,-488.2220243
-5.235112334,-488.2220243
-5.386416158,-484.0845496
-5.295633863,-416.5057948
-4.750940095,-184.807207
-4.387810915,-24.8248487
-3.752334852,125.5034017
-3.116858788,245.4901704
-2.662947314,310.3106087
-2.027471251,369.6144139
-1.149909067,416.5057948
0.06052153,450.9847513
1.573559777,473.0512835
3.510248732,484.0845496
5.386416158,485.4637078
5.265373099,434.4348522
4.811461625,277.2108104
4.175985561,71.71622957
3.510248732,-151.7074087
3.268162613,-197.2196313
2.753729609,-267.5567026
2.26955737,-314.4480835
1.755124366,-355.8228313
0.998605243,-393.0601043
0.18156459,-423.4015861
-0.544693769,-444.08896
-1.755124366,-467.5346504
-2.541904254,-479.9470748
-5.265373099,-485.4637078
-5.416676923,-482.7053913
-5.174590804,-376.5102052
-4.297028621,-77.23286261
-3.752334852,93.78276174
-3.207641083,205.4945809
-2.51164349,289.6232348
-1.664342071,353.0645148
-0.423650709,409.6100035
0.695997593,439.9514852
1.573559777,456.5013843
2.753729609,473.0512835
4.024681736,479.9470748
4.932504684,482.7053913
5.356155393,485.4637078
5.265373099,433.0556939
4.811461625,275.8316522
4.175985561,67.57875478
3.479987967,-136.5366678
3.207641083,-187.5655235
2.844511904,-230.3194296
2.26955737,-288.2440765
1.724863601,-332.3771409
1.089387538,-368.2352557
0.726258358,-387.5434713
0.030260765,-412.36832
-0.756519123,-435.8140104
-1.452516717,-450.9847513
-2.602425784,-467.5346504
-3.631291792,-478.5679165
-4.6601578,-485.4637078
-5.416676923,-484.0845496
-5.537719983,-468.9138087
-5.144330039,-350.3061983
-4.53911474,-157.2240417
-3.964160206,13.79158261
-3.601031027,110.3326609
-3.147119553,198.5987896
-2.51164349,271.6941774
-1.966949721,317.2064
-0.998605243,373.7518887
-0.12104306,409.6100035
0.998605243,438.572327
2.360339665,460.6388591
3.691813322,475.8096
4.72067933,481.326233
5.416676923,481.326233
5.295633863,434.4348522
4.871983154,281.3482852
4.145724796,71.71622957
3.510248732,-118.6076104
3.237901848,-173.7739409
2.874772669,-219.2861635
2.299818135,-277.2108104
1.785385131,-319.9647165
1.180169832,-357.2019896
0.332868414,-393.0601043
-0.605215299,-424.7807443
-1.603820542,-444.08896
-3.298423378,-470.292967
-4.387810915,-479.9470748
-5.416676923,-484.0845496
-5.507459218,-449.605593
-5.053547744,-318.5855583
-4.569375505,-175.1530991
-4.327289386,-79.99117913
-3.994420971,16.54989913
-3.479987967,132.399193
-3.207641083,184.807207
-2.662947314,251.0068035
-2.057732016,304.7939757
-1.513038247,340.6520904
-1.089387538,365.4769391
-0.302607649,397.1975791
0.786779888,430.2973774
2.178775075,453.7430678
3.419466438,470.292967
4.448332445,478.5679165
5.356155393,484.0845496
5.265373099,433.0556939
4.811461625,274.4524939
4.175985561,71.71622957
3.540509497,-118.6076104
3.237901848,-173.7739409
2.844511904,-217.9070052
2.299818135,-278.5899687
1.755124366,-319.9647165
1.210430597,-359.9603061
0.272346884,-395.8184209
-0.605215299,-427.5390609
-1.603820542,-444.08896
-2.45112196,-459.2597009
-3.601031027,-471.6721252
-4.41807168,-479.9470748
-5.719284573,-484.0845496
-6.899454405,-488.2220243
-9.350576365,-490.9803409
-10.47022467,-489.6011826
-10.59126773,-479.9470748
-10.47022467,-410.9891617
-10.10709549,-318.5855583
-8.896664891,-1.379158261
-8.109885002,148.9490922
-7.625712763,213.7695304
-7.202062054,257.9025948
-6.657368286,299.2773426
-6.052152987,333.7562991
-5.265373099,368.2352557
-4.53911474,391.6809461
-3.389205673,419.2641113
-2.26955737,438.572327
-1.573559777,448.2264348
-0.151303825,464.7763339
0.786779888,473.0512835
2.874772669,482.7053913
6.68762905,488.2220243
9.25979407,482.7053913
10.31892084,475.8096
10.47022467,462.0180174
10.34918161,404.0933704
8.896664891,28.96232348
8.321710357,-107.5743443
8.170406532,-142.0533009
8.019102708,-165.4989913
7.716495058,-199.9779478
7.444148174,-223.4236383
6.899454405,-257.9025948
6.021892222,-300.6565009
5.628502278,-322.723033
5.023286979,-346.1687235
4.59963627,-359.9603061
3.812856382,-383.4059965
2.874772669,-404.0933704
1.785385131,-422.0224278
1.180169832,-431.6765357
-0.090782295,-446.8472765
-1.210430597,-455.1222261
-4.236507091,-467.5346504
-8.261188827,-481.326233
-10.4399639,-479.9470748
-10.5307462,-471.6721252
-10.50048543,-434.4348522
-10.13735625,-321.3438748
-8.987447185,-33.09979826
-8.291449592,106.1951861
-7.625712763,180.6697322
-7.020497465,233.0777461
-6.233717576,288.2440765
-5.446937688,325.4813496
-4.448332445,364.0977809
-3.449727202,388.9226296
-2.20903584,408.2308452
-0.423650709,428.9182191
2.14851431,444.08896
4.41807168,449.605593
7.232322819,449.605593
9.38083713,444.08896
10.37944237,438.572327
10.37944237,394.4392626
9.622923249,201.3571061
8.896664891,26.20400696
8.351971122,-82.74949565
7.867798883,-139.2949843
7.353365879,-187.5655235
6.596846756,-237.2152209
5.931109927,-275.8316522
5.325894628,-303.4148174
4.47859321,-335.1354574
3.601031027,-359.9603061
2.693208079,-380.64768
1.634081306,-397.1975791
0.726258358,-409.6100035
-0.18156459,-420.6432696
-1.422255952,-431.6765357
-2.995815728,-439.9514852
-4.59963627,-448.2264348
-5.961370692,-452.3639096
-8.170406532,-460.6388591
-9.622923249,-464.7763339
-10.47022467,-464.7763339
-10.59126773,-452.3639096
-10.34918161,-383.4059965
-9.683444779,-212.3903722
-9.047968715,-48.27053913
-8.351971122,85.50781217
-7.898059648,143.4324591
-7.020497465,219.2861635
-6.385021401,260.6609113
-5.477198453,303.4148174
-4.59963627,335.1354574
-3.601031027,357.2019896
-2.572165019,373.7518887
-1.119648303,388.9226296
0.726258358,399.9558957
3.873377912,404.0933704
10.04657396,409.6100035
10.37944237,409.6100035
10.31892084,369.6144139
9.713705544,220.6653217
8.896664891,28.96232348
8.442753417,-55.16633043
8.140145767,-96.54107826
7.444148174,-157.2240417
7.05075823,-188.9446817
6.475803696,-223.4236383
5.840327632,-252.3859617
5.053547744,-282.7274435
4.085203266,-311.689767
2.844511904,-343.410407
1.845906661,-361.3394643
0.272346884,-384.7851548
-1.210430597,-397.1975791
-3.207641083,-409.6100035
-4.993026214,-419.2641113
-7.232322819,-430.2973774
-9.532140954,-439.9514852
-10.47022467,-441.3306435
-10.40970314,-395.8184209
-9.834748604,-251.0068035
-8.987447185,-48.27053913
-8.382231887,73.09538783
-7.958581178,125.5034017
-7.565191234,165.4989913
-7.05075823,206.8737391
-6.445542931,242.7318539
-5.870588397,271.6941774
-5.174590804,295.1398678
-4.175985561,319.9647165
-3.116858788,336.5146157
-2.20903584,347.5478817
-0.423650709,355.8228313
3.479987967,370.9935722
6.92971517,380.64768
9.895270133,384.7851548
10.37944237,383.4059965
10.07683472,297.8981843
9.622923249,199.9779478
8.926925656,24.8248487
8.473014182,-42.75390609
8.200667297,-77.23286261
7.686234293,-125.5034017
7.11127976,-166.8781496
6.566585991,-198.5987896
5.870588397,-228.9402713
5.204851569,-253.76512
4.448332445,-277.2108104
3.570770262,-302.0356591
2.662947314,-321.3438748
2.178775075,-329.6188243
1.059126773,-346.1687235
0,-355.8228313
-0.968344478,-365.4769391
-3.147119553,-380.64768
-4.72067933,-390.3017878
-6.778411345,-402.7142122
-8.684839536,-410.9891617
-10.31892084,-419.2641113
-12.73978204,-428.9182191
-13.49630116,-434.4348522
-14.88829635,-438.572327
-15.64481547,-435.8140104
-15.76585853,-431.6765357
-15.28168629,-317.2064
-14.5856887,-168.2573078
-14.16203799,-77.23286261
-13.52656193,38.6164313
-13.01212892,100.678553
-12.37665286,157.2240417
-11.77143756,201.3571061
-10.89387538,245.4901704
-9.804487839,282.7274435
-9.25979407,296.5190261
-8.382231887,311.689767
-6.9902367,325.4813496
-5.598241513,333.7562991
-3.752334852,342.0312487
-1.180169832,346.1687235
1.845906661,351.6853565
5.235112334,361.3394643
9.713705544,369.6144139
13.40551887,376.5102052
14.94881788,377.8893635
15.40272935,377.8893635
15.58429394,372.3727304
15.00933941,242.7318539
14.07125569,71.71622957
13.43577963,-28.96232348
12.98186816,-74.47454609
12.34639209,-122.7450852
11.49909067,-169.6364661
10.77283232,-202.7362643
9.925530898,-230.3194296
8.805882596,-260.6609113
7.565191234,-286.8649183
6.142935282,-306.1731339
4.811461625,-319.9647165
3.601031027,-328.2396661
2.360339665,-333.7562991
-0.242086119,-342.0312487
-3.964160206,-347.5478817
-7.928320413,-353.0645148
-12.22534903,-355.8228313
-15.49351165,-353.0645148
-17.76306902,-342.0312487
-19.82080103,-328.2396661
-22.06009764,-315.8272417
-24.05730812,-306.1731339
-25.72165019,-297.8981843
-25.96373631,-295.1398678
-26.17556167,-291.002393
