Displacement [mm],Force [kN]
0.0000,-2.0959
-0.0931,-126.4533
-0.4343,-284.3453
-0.7446,-377.9627
-0.8997,-412.8946
-1.0548,-443.6346
-1.3341,-472.9774
-1.7063,-496.7311
-2.1717,-509.3065
-2.6681,-513.4984
-3.9711,-513.4984
-4.6226,-506.5120
-5.2742,-491.1420
-4.4985,-120.8642
-4.0022,71.9596
-3.8160,150.2070
-3.4437,248.0162
-3.1024,309.4963
-2.7302,355.6063
-2.1407,411.4973
-1.4581,450.6210
-0.3102,488.3474
0.3413,498.1283
1.1789,496.7311
2.4820,485.5529
3.8470,475.7719
4.7157,467.3883
4.9949,460.4019
4.9639,358.4009
4.3744,113.8779
3.8160,-94.3160
3.5678,-171.1661
3.2886,-218.6735
3.1024,-246.6189
2.7922,-285.7426
2.3579,-327.6609
1.7994,-368.1818
1.0859,-407.3055
0.3723,-435.2510
-0.6515,-460.4019
-1.1169,-468.7856
-1.7684,-478.5665
-2.5130,-482.7583
-4.3124,-485.5529
-5.0260,-478.5665
-5.1190,-433.8537
-4.3744,-134.8370
-3.9091,-0.6986
-3.5988,92.9188
-3.3506,159.9879
-2.9473,228.4544
-2.5130,281.5508
-2.0166,327.6609
-1.3651,369.5791
-0.6515,403.1137
0.6205,433.8537
1.7374,450.6210
2.6371,456.2101
4.3124,456.2101
5.0260,452.0183
4.9949,376.5655
4.3744,115.2751
3.9091,-35.6305
3.4747,-146.0152
3.3196,-172.5634
2.8542,-246.6189
2.5750,-274.5644
2.1407,-316.4827
1.7994,-340.2363
1.4271,-359.7982
1.0548,-379.3600
0.3723,-403.1137
-0.1861,-419.8810
-0.7756,-433.8537
-1.6753,-447.8265
-2.6681,-460.4019
-4.0952,-467.3883
-4.8708,-468.7856
-5.1501,-465.9910
-4.3434,-155.7961
-3.8160,-7.6850
-3.3196,127.8506
-2.9163,200.5089
-2.5130,252.2080
-1.9545,299.7154
-1.2410,348.6200
-0.6825,372.3736
-0.1241,393.3328
0.8687,414.2919
2.2338,432.4564
