Displacement [mm],Force [kN]
0.00000,6.23820
1.25810,170.77063
2.46151,292.41545
3.17261,354.79742
3.77431,397.68502
4.59482,421.85803
5.25122,427.31645
5.63412,426.53668
6.01702,424.97713
6.67343,413.28051
8.47853,390.66705
10.22894,371.95246
11.37764,361.81539
12.69045,352.45809
15.37076,336.86260
17.28527,330.62441
19.85618,322.04689
21.55188,318.14801
25.10740,312.68959
27.13130,311.13004
29.26461,308.79072
32.98423,308.79072
36.97734,310.35027
42.83026,313.46937
47.58918,315.80869
52.94980,318.92779
59.24033,324.38621
63.61634,327.50531
67.66416,329.84463
69.96157,332.18396
69.85217,2.33932
