Displacement [mm],Force [kN]
0.02043,0.23783
0.17365,10.94035
0.23493,14.98353
0.45710,23.90229
0.54137,27.82655
0.59499,32.34539
0.75587,40.31282
0.78652,42.92899
0.88611,46.13975
1.00102,51.13426
1.05465,55.65310
1.25383,62.07461
1.53728,69.44745
1.56793,70.27987
1.69816,71.70688
1.99694,75.86897
2.57150,79.91214
2.51788,72.53929
2.50255,68.61504
2.41062,63.85836
2.38764,60.88544
2.34934,56.48552
2.29571,53.15584
2.20378,48.51809
1.81307,27.23196
1.56793,12.72411
1.46067,6.65935
1.36108,1.42700
1.31512,-0.23783
1.23851,-1.78375
1.16956,-5.35126
-1.95608,-5.94584
-2.93667,-6.06476
-3.02094,-6.30259
-3.43463,-6.18368
-2.48468,-4.75668
-0.96782,-2.97292
0.15066,-1.18917
0.92441,0.00000
1.21553,8.08635
1.25383,10.34577
1.45301,19.97804
1.67518,30.20489
2.00460,48.51809
2.26507,61.00436
2.41062,69.68529
2.74770,80.03106
2.68641,68.37720
2.64045,65.16645
2.48723,53.75043
2.05822,29.25355
1.56793,4.04317
1.33810,-6.77826
-0.01021,-7.01610
-2.52298,-7.37285
-1.86415,-6.89718
-1.32022,-5.82693
0.28090,-4.28101
0.84014,-2.97292
1.03166,-1.90267
1.13126,0.11892
1.29213,4.87559
1.49898,11.53494
1.61389,15.81594
2.21144,48.63700
2.36466,55.41526
2.57150,62.55028
2.65577,66.95020
2.70940,73.37171
2.79367,74.44196
3.10010,79.91214
3.39122,80.50672
3.61338,80.38781
4.44842,81.33914
4.44076,76.93922
4.39479,68.61504
4.34116,65.16645
4.29520,61.59894
4.25689,56.24768
4.09602,46.97217
3.88151,36.15073
3.82022,31.75081
3.72063,22.83204
3.53677,13.08086
3.30695,2.49725
3.24566,0.35675
3.14607,-3.68642
3.06180,-4.28101
2.97753,-5.23234
2.90858,-6.30259
2.89326,-6.77826
1.52196,-6.77826
0.82482,-7.37285
0.09704,-7.49176
-0.97549,-7.72960
-1.26660,-7.84851
-2.17058,-7.84851
-2.99030,-7.72960
-3.72574,-7.37285
-4.73698,-7.25393
-3.89428,-6.54043
-2.57661,-6.06476
-1.41982,-5.94584
-0.04086,-5.23234
0.40347,-4.16209
1.06231,-3.68642
1.48366,-3.32967
2.01992,-1.90267
2.37232,0.00000
2.67109,2.02159
2.90858,9.98902
3.13075,16.76728
3.29928,21.16720
3.42952,27.70763
3.57508,34.60481
4.05005,56.24768
4.37181,66.47453
4.56333,76.82030
4.50204,67.66370
4.45608,64.33403
4.42543,59.69627
4.33350,53.39368
4.27988,50.18292
4.06537,40.19390
3.87385,31.98864
3.71297,25.32929
3.54443,17.95645
3.38355,10.46469
3.17671,0.47567
3.08478,-3.09184
3.00051,-6.89718
2.54852,-6.89718
-2.94433,-7.37285
-5.55669,-7.49176
-5.21961,-6.65935
-3.98621,-6.77826
-2.76813,-6.06476
-2.17058,-4.75668
-1.41216,-4.04317
-0.41624,-3.56751
0.02809,-3.32967
0.74821,-2.85401
1.14658,-2.73509
1.69816,-0.71350
2.28805,1.42700
2.66343,3.92426
2.90092,6.42151
3.03115,9.51335
3.26864,15.45919
3.34525,18.55103
3.42186,21.28612
3.52145,27.46980
3.73595,37.93448
4.11900,55.65310
