Displacement [mm],Force [kN]
0.00000,0.00000
-0.83249,-62.12805
-1.12981,-63.07657
-2.43801,-52.16859
-3.92460,-41.49774
-4.93548,-36.04375
-6.36261,-29.64124
-8.20598,-24.42439
-9.81149,-21.81596
-12.01165,-19.91892
-15.52000,-18.25901
-17.12552,-17.31049
-17.36337,-16.83623
-15.87678,-13.27928
-12.13058,-4.50547
-9.03847,3.08269
-6.42207,10.90798
-4.93548,16.12484
-2.97318,24.18726
-1.66498,32.72393
0.35678,52.64285
2.20015,69.00482
3.56782,80.86131
4.69762,86.07817
6.18421,95.08911
6.48153,96.03763
13.67663,96.27476
17.00659,96.27476
17.30391,95.80050
17.06605,71.13899
17.06605,63.78796
16.76874,32.48680
16.41195,12.80502
16.23356,0.71139
15.99571,-8.77381
15.75786,-14.93919
15.40107,-23.23874
15.10376,-28.21846
14.86590,-31.06402
14.50912,-32.96106
14.09287,-33.67245
13.67663,-33.90958
13.26038,-33.43532
12.66575,-32.01254
12.07111,-30.11550
11.35755,-28.21846
10.64399,-26.79568
9.57364,-25.61003
8.50330,-24.66152
6.42207,-22.05309
3.50835,-19.68179
1.12981,-17.78475
-3.27050,-15.88771
-6.54100,-14.70206
-14.56858,-12.80502
-17.48230,-11.85650
-13.79556,-7.82529
-5.29226,0.00000
1.78391,6.63964
5.64904,11.61937
8.02759,15.65058
9.98989,20.39318
11.23862,23.95013
12.54682,29.40411
14.03341,36.75514
15.46054,49.79729
16.64981,60.46814
17.24445,65.21074
17.24445,58.80823
17.24445,49.08590
16.94713,40.31209
16.23356,15.65058
15.46054,3.55695
15.04429,-4.26834
14.62805,-8.29955
14.09287,-10.67085
13.20092,-13.51641
12.01165,-14.70206
11.41701,-15.17632
9.69257,-15.65058
5.64904,-15.17632
0.35678,-14.46493
-4.93548,-13.75354
-13.43877,-12.56789
-17.42284,-11.38224
-12.54682,-7.11390
-5.88690,-1.18565
1.42713,5.69112
4.99494,9.01094
7.19510,12.33076
9.81149,16.59910
11.95218,22.05309
13.26038,26.55855
14.56858,32.96106
15.57946,39.83783
16.53088,49.32303
17.12552,55.72554
17.30391,57.38545
17.36337,51.69433
17.24445,45.76608
16.94713,40.07496
16.41195,22.29022
15.99571,13.04215
15.57946,7.35103
14.98483,1.18565
14.44966,-1.89704
13.91448,-5.21686
13.31985,-7.11390
12.66575,-9.01094
11.41701,-10.67085
10.04935,-11.85650
8.44383,-12.56789
6.18421,-12.80502
-0.95142,-12.56789
-4.04353,-12.09363
-9.63310,-12.56789
-17.36337,-10.90798
-11.89272,-6.40251
-1.12981,3.08269
2.79479,6.40251
6.24368,9.95946
8.50330,13.51641
10.58452,17.54762
11.71433,20.39318
12.72521,23.23874
14.09287,28.92985
15.22268,35.09523
16.41195,45.29182
17.00659,51.22007
17.36337,54.77702
17.00659,42.44626
16.70927,34.62097
16.59035,27.03281
16.17410,19.20753
15.87678,14.70206
15.57946,9.48520
15.16322,5.21686
14.68751,1.18565
14.03341,-2.37130
13.26038,-5.45399
12.48736,-7.35103
11.59540,-9.01094
10.34667,-10.19659
7.55188,-11.85650
6.71939,-12.09363
1.48659,-12.33076
-7.78973,-12.09363
-14.86590,-11.85650
-17.95801,-11.61937
-26.22345,-11.14511
-33.59694,-10.43372
-35.14299,-10.19659
-34.13211,-9.01094
-16.41195,-0.47426
-2.67586,6.63964
1.42713,9.24807
3.98406,11.14511
6.30314,13.51641
8.74115,16.59910
10.46559,19.20753
11.29808,20.63031
13.14146,24.89865
13.79556,27.26994
16.11464,38.88931
16.64981,42.92052
17.72015,52.16859
19.74192,68.05630
21.88261,84.41826
22.89349,90.58364
23.90437,95.08911
24.85579,97.69754
25.80720,98.17180
27.82897,97.46041
32.46713,96.98615
34.96460,97.22328
35.14299,96.03763
34.90514,80.38705
34.60782,67.10778
33.89425,23.23874
33.41855,6.87677
33.12123,-4.74260
32.94284,-9.72233
32.70498,-14.70206
32.34820,-18.25901
31.81303,-22.29022
31.57517,-23.47587
31.04000,-24.42439
30.56429,-24.89865
29.91019,-24.42439
29.19663,-23.23874
28.00736,-21.57883
26.10452,-19.44466
23.48812,-17.78475
19.86084,-15.65058
16.70927,-14.46493
13.91448,-13.75354
11.77379,-13.04215
9.21686,-12.56789
3.68674,-12.33076
-3.21103,-11.14511
-8.86008,-10.43372
-13.85502,-10.19659
-21.70422,-9.95946
-28.42360,-9.24807
-32.88337,-9.01094
-34.96460,-9.01094
-26.52077,-5.45399
-19.56353,-2.37130
-12.30897,0.00000
-6.36261,1.65991
2.91372,4.50547
8.74115,7.35103
13.73609,9.01094
17.00659,10.90798
18.79050,12.09363
21.52582,14.46493
23.78544,16.36197
25.56935,19.20753
27.17487,21.34170
28.60199,25.61003
29.13717,26.79568
30.68322,32.48680
31.81303,40.07496
32.94284,47.90025
33.06176,50.98294
33.77533,56.67406
34.84567,65.68500
35.08353,65.92213
34.84567,56.43693
34.01318,22.76448
33.29962,11.85650
32.82391,4.74260
32.05088,-0.71139
31.45625,-4.26834
30.50483,-6.16538
29.79127,-7.82529
27.71004,-9.48520
24.32061,-10.19659
16.47142,-9.95946
0.89195,-9.48520
-12.42789,-9.24807
-22.89349,-9.01094
-29.31556,-7.82529
-35.79709,-7.11390
-23.90437,-3.55695
-9.27632,0.47426
2.49747,4.26834
11.11969,6.63964
17.89854,9.72233
21.10958,11.38224
24.49901,14.46493
26.52077,16.36197
28.30468,19.68179
29.13717,21.34170
30.74268,25.61003
32.05088,30.35263
33.24015,37.22940
34.13211,43.15765
35.08353,50.74581
34.72675,39.36357
34.31050,28.69272
33.89425,23.23874
33.47801,15.65058
32.94284,9.72233
32.46713,6.40251
31.57517,2.60843
30.86161,0.00000
29.73180,-2.13417
28.60199,-3.79408
28.00736,-4.97973
24.55847,-5.69112
19.20674,-6.63964
16.41195,-7.11390
5.88690,-6.63964
-6.89778,-6.16538
-24.02330,-6.40251
-31.69410,-6.16538
-35.61870,-6.63964
-24.55847,-3.79408
-18.37425,-0.94852
