Displacement [mm],Force [kN]
2.392094e-02,1.320659e+00
-3.588142e-01,-6.008997e+01
-9.010222e-01,-1.485741e+02
-1.156179e+00,-1.888542e+02
-1.475125e+00,-2.192294e+02
-1.698387e+00,-2.304550e+02
-2.113017e+00,-2.403599e+02
-2.400068e+00,-2.449822e+02
-2.559541e+00,-2.449822e+02
-2.814698e+00,-2.390392e+02
-3.612063e+00,-2.258326e+02
-4.568900e+00,-2.073434e+02
-5.206792e+00,-1.908352e+02
-4.855952e+00,-1.327262e+02
-4.186165e+00,-4.292141e+01
-3.803430e+00,3.301647e+00
-3.388800e+00,4.622306e+01
-2.782803e+00,9.508743e+01
-2.113017e+00,1.360279e+02
-1.475125e+00,1.683840e+02
-7.415493e-01,1.967782e+02
-1.036574e-01,2.165880e+02
8.212857e-01,2.383789e+02
1.841913e+00,2.529061e+02
2.479805e+00,2.575285e+02
3.787483e+00,2.601698e+02
4.935688e+00,2.588491e+02
5.063266e+00,2.535665e+02
4.999477e+00,2.311153e+02
4.616742e+00,1.512154e+02
3.946956e+00,4.622306e+01
3.691799e+00,9.904941e+00
3.149591e+00,-5.414701e+01
2.479805e+00,-1.162180e+02
2.128964e+00,-1.406502e+02
1.682440e+00,-1.657427e+02
1.140232e+00,-1.881939e+02
5.980236e-01,-1.980988e+02
8.771013e-02,-2.033814e+02
-6.139709e-01,-2.033814e+02
-1.188074e+00,-2.007401e+02
-1.762176e+00,-1.941368e+02
-2.559541e+00,-1.835716e+02
-3.516379e+00,-1.683840e+02
-4.600795e+00,-1.512154e+02
-5.143003e+00,-1.426311e+02
-5.047319e+00,-1.294246e+02
-4.568900e+00,-8.452216e+01
-3.643957e+00,-1.386692e+01
-3.101749e+00,2.245120e+01
-2.655225e+00,4.754371e+01
-1.921649e+00,8.056018e+01
-1.219968e+00,1.096147e+02
-3.588142e-01,1.380088e+02
4.704452e-01,1.591394e+02
1.299705e+00,1.782889e+02
2.192753e+00,1.941368e+02
3.723694e+00,2.198897e+02
4.584848e+00,2.311153e+02
5.063266e+00,2.357376e+02
4.776215e+00,1.743270e+02
3.978850e+00,4.622306e+01
3.787483e+00,9.244611e+00
2.990118e+00,-6.339162e+01
2.607383e+00,-9.706842e+01
2.416015e+00,-1.089543e+02
2.097069e+00,-1.274436e+02
1.746229e+00,-1.386692e+02
