Displacement [mm],Force [kN]
0.09424,-3.51109
-0.47120,-87.19219
-1.03665,-140.44380
-1.53927,-175.55475
-1.72775,-177.89548
-2.10472,-163.85110
-2.67016,-145.71044
-3.17278,-128.74015
-3.73823,-112.35504
-4.42933,-98.31066
-5.43456,-86.02183
-6.75394,-77.24409
-8.32462,-68.46635
-9.95813,-62.61453
-9.39268,-53.25161
-7.63352,-27.50358
-5.81153,1.75555
-3.92671,32.77022
-2.16754,66.71080
-1.16231,89.53292
0.09424,124.05869
1.72775,166.19183
3.36126,201.88796
4.74346,222.95453
5.87435,233.48782
6.69111,238.75446
7.75917,242.85074
10.08378,241.68037
9.83247,193.11023
9.01572,88.94774
8.32462,14.62956
7.94766,-28.67394
7.57069,-54.42197
7.19373,-78.41445
6.81676,-95.96993
6.43980,-104.16249
6.06284,-109.42913
5.81153,-111.18468
5.18325,-110.01431
4.49215,-105.91803
3.54974,-95.38475
2.41885,-87.19219
1.41361,-80.17000
0.40838,-74.90336
-0.91100,-69.05153
-2.73299,-63.19971
-4.42933,-59.10343
-6.18849,-55.59234
-8.45027,-52.08124
-9.89530,-50.91088
-9.70682,-47.39978
-5.05760,-11.11847
-1.66492,15.79993
1.22513,37.45168
2.98430,55.00716
4.11519,68.46635
5.30891,83.68110
6.43980,101.23657
7.50786,122.88833
8.95289,153.90300
9.95813,176.72512
8.32462,14.62956
7.88483,-15.79993
7.25655,-31.59985
6.37697,-47.39978
5.68587,-54.42197
4.99477,-60.27380
4.24084,-62.61453
3.29843,-63.19971
1.53927,-62.61453
-0.09424,-61.44416
-2.98430,-56.17752
-6.94242,-52.66642
-9.01572,-50.91088
-9.89530,-49.15533
-5.30891,-14.04438
-1.35079,12.87402
2.10472,38.62204
3.86388,51.49606
5.62304,70.22190
7.13090,90.11810
8.07331,110.01431
8.82724,127.56979
9.89530,146.29563
9.39268,105.33285
8.32462,15.21475
7.82200,-10.53329
7.50786,-21.06657
6.75394,-32.18504
5.49739,-46.22942
4.68063,-52.08124
3.80105,-54.42197
3.04712,-55.59234
2.35602,-56.76270
0.21990,-56.76270
-2.29320,-54.42197
-7.94766,-50.91088
-9.83247,-46.81460
-5.74870,-18.14066
1.97906,36.28131
4.74346,55.59234
6.00001,70.80708
8.19896,99.48102
9.89530,136.93271
9.20420,72.56263
8.38745,16.97029
7.94766,-3.51109
7.38221,-17.55548
6.94242,-25.74803
6.25132,-33.35540
4.74346,-46.22942
4.11519,-49.15533
3.36126,-52.08124
2.10472,-53.25161
-0.47120,-53.25161
-4.30367,-50.91088
-8.45027,-47.39978
-10.96337,-46.22942
-16.93196,-42.71832
-20.13615,-40.37759
-11.96860,-4.68146
-8.19896,10.53329
-5.49739,19.89621
-1.85341,31.59985
0.21990,38.03686
2.29320,46.81460
4.17802,58.51825
5.18325,68.46635
7.50786,91.28847
9.20420,116.45132
11.27750,155.07336
13.35080,189.59913
14.48170,207.73979
15.67542,224.12490
16.74348,235.24337
17.74872,241.09519
19.31940,242.26556
20.26181,242.26556
19.94767,188.42877
19.57071,150.39190
19.13092,94.21438
18.56547,40.37759
18.00003,-6.43701
17.74872,-29.25913
17.12044,-59.68862
16.93196,-67.88117
16.61782,-77.24409
16.17803,-84.85146
15.61259,-89.53292
15.17280,-90.11810
14.54452,-88.94774
13.66494,-83.68110
12.03143,-76.07373
10.58640,-70.22190
8.89007,-64.37007
7.44504,-59.68862
5.93718,-56.76270
4.30367,-53.83679
1.41361,-50.32570
-1.60210,-46.81460
-6.43980,-42.71832
-9.83247,-39.79241
-15.23562,-38.62204
-20.19898,-37.45168
-16.74348,-22.82212
-12.03143,-5.26664
-8.63876,2.92591
-5.49739,11.11847
-0.59686,21.65175
2.85864,31.01467
6.81676,41.54796
9.14137,50.91088
11.52881,61.44416
13.66494,77.24409
15.23562,93.04402
16.80631,115.86614
18.25134,140.44380
19.50788,162.68074
20.26181,175.55475
20.13615,154.48818
19.44505,93.04402
18.62830,40.37759
17.93720,2.92591
17.49741,-11.70365
17.05762,-22.23694
16.49217,-29.25913
15.98955,-35.69613
14.98431,-43.88869
14.16756,-47.39978
13.28798,-50.32570
11.78012,-51.49606
8.26179,-49.74051
2.60733,-45.64423
-0.65969,-43.30350
-5.05760,-40.37759
-11.46598,-38.62204
-20.13615,-34.52577
-17.37175,-23.99248
-12.09426,-5.85182
-9.01572,1.17036
-6.00001,9.36292
-2.29320,17.55548
0.91100,24.57766
6.12566,38.03686
10.33509,51.49606
12.40839,59.10343
13.72777,67.88117
15.17280,78.99964
16.74348,97.14030
18.50264,122.30314
20.13615,150.39190
19.57071,98.89584
18.62830,40.37759
17.93720,8.19255
17.56023,-4.68146
16.99479,-14.62956
16.11521,-24.57766
15.29845,-31.59985
14.35604,-38.03686
13.03667,-43.30350
11.15185,-44.47387
6.94242,-43.88869
3.61257,-42.13314
1.09948,-40.37759
-3.54974,-38.62204
-10.96337,-36.86650
-14.41887,-35.69613
-20.01050,-33.94059
-20.01050,-33.94059
-14.92149,-15.79993
-12.03143,-5.26664
-6.50263,7.60737
-1.09948,19.31102
4.61781,33.35540
7.63352,40.96277
9.64399,47.39978
11.84295,55.59234
13.09950,62.02934
14.60735,69.05153
15.48693,76.07373
16.93196,91.28847
18.50264,111.76986
20.26181,139.27344
19.88485,111.76986
19.25657,73.73299
18.56547,40.37759
17.93720,15.79993
17.49741,1.17036
17.12044,-5.26664
16.74348,-11.70365
16.30369,-18.14066
15.54976,-25.74803
14.67018,-31.59985
13.85342,-35.69613
12.97384,-39.20723
11.84295,-41.54796
9.64399,-41.54796
-0.28272,-39.20723
-14.85866,-34.52577
-20.70160,-32.77022
-30.37701,-31.59985
-25.85344,-19.89621
-21.14139,-7.60737
-16.11521,1.75555
-11.96860,7.60737
-9.83247,11.11847
-6.50263,16.38511
-3.04712,25.16285
-0.09424,29.25913
4.30367,36.86650
8.89007,46.22942
11.15185,53.25161
12.78536,60.27380
13.97908,65.54044
15.29845,73.73299
16.80631,86.02183
19.13092,114.11059
21.45553,153.90300
23.52883,187.84358
25.53930,220.02862
26.54454,234.07300
27.54978,244.02110
28.36653,248.70256
29.30894,251.62848
30.31418,248.70256
30.12570,205.39906
29.74873,150.97709
29.12046,88.94774
28.36653,23.99248
28.17805,2.34073
27.48695,-29.84431
27.10999,-47.39978
26.73302,-58.51825
26.35606,-65.54044
25.85344,-71.39226
25.22517,-73.14781
24.34558,-73.14781
23.34035,-70.22190
