Displacement [mm],Force [kN]
3.470541e-01,0
1.880549e+00,9.376700e+02
-2.154964e+00,-1.029390e+03
7.506053e-01,3.006600e+02
1.638418e+00,7.491100e+02
2.203390e+00,1.003910e+03
2.768362e+00,1.182270e+03
3.494754e+00,1.268910e+03
5.108959e+00,1.268910e+03
6.077482e+00,1.253620e+03
4.947538e+00,6.930600e+02
3.252623e+00,3.771000e+02
2.364810e+00,7.644000e+01
1.799839e+00,-2.649900e+02
9.120258e-01,-5.096000e+02
5.084746e-01,-6.522900e+02
-2.179177e-01,-7.949800e+02
-3.793382e-01,-7.898800e+02
-1.347861e+00,-6.115200e+02
-1.993543e+00,-3.923900e+02
-2.316384e+00,-2.089400e+02
-1.670702e+00,-5.100000e+00
-6.214689e-01,1.681700e+02
2.687651e+00,7.134400e+02
6.723164e+00,1.070160e+03
9.548023e+00,1.202660e+03
1.132365e+01,1.268910e+03
1.390638e+01,1274
1.495561e+01,1.258710e+03
1.414851e+01,8.306500e+02
1.277643e+01,1.325000e+02
1.148507e+01,-4.178700e+02
1.059726e+01,-5.452700e+02
9.548023e+00,-6.064300e+02
7.126715e+00,-6.064300e+02
4.463277e+00,-5.503700e+02
1.638418e+00,-4.535500e+02
-2.800646e+00,-3.771000e+02
-5.867635e+00,-3.516200e+02
-9.903148e+00,-2.955700e+02
-8.773204e+00,-2.089400e+02
-6.029056e+00,-4.077000e+01
-1.428571e+00,1.375900e+02
3.494754e+00,3.159500e+02
9.063761e+00,5.503700e+02
1.180791e+01,7.287300e+02
1.576271e+01,9.784300e+02
1.907183e+01,1.156790e+03
2.173527e+01,1.289290e+03
2.375303e+01,1.304580e+03
2.633575e+01,1.335160e+03
2.657789e+01,1.136410e+03
2.625504e+01,8.561300e+02
2.520581e+01,6.166200e+02
2.415658e+01,3.261400e+02
2.238095e+01,-5.100000e+00
2.108959e+01,-2.599000e+02
1.979822e+01,-4.433500e+02
1.866828e+01,-5.197900e+02
1.689266e+01,-5.452700e+02
1.366425e+01,-4.943100e+02
6.158192e+00,-3.618200e+02
-2.179177e-01,-2.853800e+02
-6.271186e+00,-2.599000e+02
-1.272801e+01,-2.548000e+02
-1.401937e+01,-2.293200e+02
-8.127522e+00,-1.019000e+01
-2.639225e+00,1.070200e+02
5.916061e+00,2.599000e+02
1.285714e+01,3.923900e+02
1.979822e+01,6.624800e+02
2.835351e+01,1.146600e+03
3.101695e+01,1.263810e+03
3.359968e+01,1.345350e+03
3.731235e+01,1.396310e+03
3.650525e+01,9.478600e+02
3.489104e+01,3.006600e+02
3.287328e+01,-5.100000e+00
3.133979e+01,-3.312400e+02
2.972559e+01,-4.790300e+02
2.851493e+01,-5.197900e+02
2.625504e+01,-5.096000e+02
2.343019e+01,-4.535500e+02
1.761905e+01,-3.465300e+02
1.237288e+01,-3.159500e+02
6.642454e+00,-2.700900e+02
-8.635997e-01,-2.344200e+02
-8.046812e+00,-2.089400e+02
-1.942696e+01,-1.732600e+02
-1.668281e+01,-9.682000e+01
-1.167877e+01,-1.019000e+01
-7.885391e+00,8.154000e+01
-4.334140e+00,1.274000e+02
3.252623e+00,2.089400e+02
9.225182e+00,2.599000e+02
1.600484e+01,3.516200e+02
2.076675e+01,4.229700e+02
2.794996e+01,6.471900e+02
3.174334e+01,8.510300e+02
3.674738e+01,1.105830e+03
4.013721e+01,1.279100e+03
4.247780e+01,1.386120e+03
4.538337e+01,1.437080e+03
4.788539e+01,1.452360e+03
4.643261e+01,7.745900e+02
4.473769e+01,4.025800e+02
4.336562e+01,5.606000e+01
4.158999e+01,-1.681700e+02
4.029863e+01,-3.822000e+02
3.876513e+01,-4.739300e+02
3.626312e+01,-4.739300e+02
2.730428e+01,-3.567200e+02
2.117030e+01,-2.955700e+02
8.983051e+00,-2.344200e+02
-1.025020e+00,-2.038400e+02
-2.281679e+01,-1.681700e+02
-2.588378e+01,-1.528800e+02
-1.498789e+01,5.100000e+00
-9.257466e+00,7.134000e+01
8.983051e+00,1.936500e+02
1.737692e+01,2.599000e+02
2.883777e+01,3.923900e+02
3.723164e+01,5.707500e+02
4.384988e+01,8.765100e+02
4.853107e+01,1.131310e+03
5.280872e+01,1.345350e+03
5.684423e+01,1.472750e+03
6.031477e+01,1.503320e+03
6.112187e+01,1.498230e+03
5.950767e+01,9.274700e+02
5.635997e+01,5.096000e+01
