Displacement [mm],Force [kN]
-3.810000e-02,1.124021e+02
-3.810000e-02,1.140302e+02
0,1.156582e+02
-3.810000e-02,1.205468e+02
0,1.319476e+02
-3.810000e-02,1.482370e+02
0,1.726711e+02
0,2.085104e+02
3.810000e-02,2.573786e+02
1.524000e-01,3.241686e+02
3.429000e-01,4.072480e+02
6.477000e-01,5.017283e+02
8.128000e-01,5.782910e+02
8.890000e-01,6.157584e+02
1.079500e+00,6.858046e+02
1.308100e+00,7.558507e+02
1.498600e+00,8.258969e+02
1.727200e+00,8.991991e+02
1.993900e+00,9.676172e+02
2.184400e+00,1.036035e+03
2.387600e+00,1.104453e+03
2.616200e+00,1.169611e+03
2.882900e+00,1.233145e+03
3.073400e+00,1.295046e+03
3.340100e+00,1.356948e+03
3.606800e+00,1.417221e+03
3.860800e+00,1.474234e+03
4.076700e+00,1.532875e+03
4.381500e+00,1.589892e+03
4.686300e+00,1.643649e+03
4.953000e+00,1.699034e+03
5.257800e+00,1.752791e+03
5.549900e+00,1.803291e+03
5.880100e+00,1.852159e+03
6.184900e+00,1.901028e+03
6.527800e+00,1.945012e+03
6.832600e+00,1.987363e+03
7.188200e+00,2.026459e+03
7.531100e+00,2.063926e+03
7.874000e+00,2.098137e+03
8.216900e+00,2.129088e+03
8.610600e+00,2.158406e+03
9.067800e+00,2.182845e+03
9.410700e+00,2.207279e+03
9.906000e+00,2.228457e+03
1.033780e+01,2.246374e+03
1.075690e+01,2.262664e+03
1.125220e+01,2.277325e+03
1.168400e+01,2.288726e+03
1.214120e+01,2.300131e+03
1.263650e+01,2.311532e+03
1.306830e+01,2.319676e+03
1.352550e+01,2.326193e+03
1.405890e+01,2.334338e+03
1.454150e+01,2.340854e+03
1.502410e+01,2.345743e+03
1.555750e+01,2.348999e+03
1.600200e+01,2.355516e+03
1.611630e+01,2.329454e+03
1.615440e+01,2.319676e+03
1.615440e+01,2.314792e+03
1.619250e+01,2.309904e+03
1.619250e+01,2.305015e+03
1.623060e+01,2.303387e+03
1.623060e+01,2.301759e+03
1.623060e+01,2.298503e+03
1.623060e+01,2.296870e+03
1.623060e+01,2.295242e+03
1.623060e+01,2.290358e+03
1.626870e+01,2.290358e+03
1.626870e+01,2.290358e+03
1.623060e+01,2.288726e+03
1.623060e+01,2.290358e+03
1.623060e+01,2.256147e+03
1.623060e+01,2.202390e+03
1.611630e+01,2.150261e+03
1.596390e+01,2.101393e+03
1.588770e+01,2.060670e+03
1.578610e+01,2.019946e+03
1.559560e+01,1.966190e+03
1.540510e+01,1.897771e+03
1.521460e+01,1.826093e+03
1.490980e+01,1.731613e+03
1.461770e+01,1.617582e+03
1.428750e+01,1.506813e+03
1.398270e+01,1.402560e+03
1.363980e+01,1.303191e+03
1.353820e+01,1.223368e+03
1.325880e+01,1.158210e+03
1.311910e+01,1.107709e+03
1.300480e+01,1.062102e+03
1.289050e+01,1.023002e+03
1.271270e+01,9.790224e+02
1.259840e+01,9.301498e+02
1.248410e+01,8.861703e+02
1.233170e+01,8.438143e+02
1.221740e+01,7.965742e+02
1.198880e+01,7.281561e+02
1.162050e+01,6.157584e+02
1.127760e+01,4.968397e+02
1.094740e+01,3.860700e+02
