Displacement [mm],Force [kN]
-4.60E-02,4.44E-01
-2.45E-01,-2.75E+01
-4.14E-01,-4.83E+01
-6.44E-01,-7.62E+01
-8.73E-01,-1.07E+02
-1.01E+00,-1.28E+02
-1.20E+00,-1.52E+02
-1.47E+00,-1.88E+02
-1.61E+00,-2.05E+02
-1.70E+00,-2.16E+02
-1.85E+00,-2.32E+02
-1.82E+00,-2.16E+02
-1.67E+00,-1.94E+02
-1.50E+00,-1.66E+02
-1.23E+00,-1.33E+02
-1.07E+00,-1.14E+02
-8.28E-01,-7.73E+01
-4.44E-01,-2.65E+01
-1.07E-01,1.60E+01
1.84E-01,4.50E+01
5.82E-01,9.16E+01
9.35E-01,1.30E+02
1.26E+00,1.67E+02
1.55E+00,1.99E+02
1.78E+00,2.21E+02
1.84E+00,2.27E+02
1.67E+00,1.96E+02
1.38E+00,1.59E+02
1.03E+00,1.21E+02
6.59E-01,7.61E+01
4.90E-01,6.05E+01
1.99E-01,2.63E+01
1.53E-02,6.66E+00
-2.45E-01,-2.75E+01
-3.83E-01,-4.83E+01
-6.44E-01,-7.93E+01
-8.73E-01,-1.09E+02
-1.01E+00,-1.29E+02
-1.20E+00,-1.53E+02
-1.47E+00,-1.91E+02
-1.59E+00,-2.06E+02
-1.66E+00,-2.16E+02
-1.93E+00,-2.40E+02
-1.99E+00,-2.47E+02
-2.07E+00,-2.54E+02
-2.13E+00,-2.58E+02
-2.24E+00,-2.59E+02
-2.38E+00,-2.53E+02
-2.64E+00,-2.44E+02
-3.51E+00,-2.15E+02
-3.56E+00,-2.03E+02
-3.43E+00,-1.89E+02
-3.11E+00,-1.55E+02
-2.71E+00,-1.09E+02
-1.95E+00,-2.03E+01
-1.66E+00,1.08E+01
-1.36E+00,3.77E+01
-1.04E+00,6.78E+01
-7.97E-01,9.16E+01
-5.82E-01,1.11E+02
-2.61E-01,1.43E+02
6.13E-02,1.75E+02
2.76E-01,1.94E+02
5.52E-01,2.17E+02
8.73E-01,2.43E+02
1.04E+00,2.54E+02
1.30E+00,2.73E+02
1.62E+00,2.92E+02
1.87E+00,3.06E+02
2.28E+00,3.26E+02
2.73E+00,3.44E+02
3.10E+00,3.58E+02
3.37E+00,3.65E+02
3.54E+00,3.69E+02
3.37E+00,3.45E+02
2.97E+00,2.97E+02
2.42E+00,2.32E+02
2.08E+00,1.90E+02
1.81E+00,1.57E+02
1.47E+00,1.15E+02
1.26E+00,9.06E+01
9.65E-01,5.64E+01
7.51E-01,3.05E+01
4.90E-01,4.44E-01
2.45E-01,-3.17E+01
-3.06E-02,-5.97E+01
-2.76E-01,-8.66E+01
-4.60E-01,-1.03E+02
-7.36E-01,-1.29E+02
-1.01E+00,-1.53E+02
-1.13E+00,-1.62E+02
-1.32E+00,-1.74E+02
-1.50E+00,-1.82E+02
-1.72E+00,-1.89E+02
-1.93E+00,-1.94E+02
-2.18E+00,-1.97E+02
-2.39E+00,-2.01E+02
-2.74E+00,-2.00E+02
-3.00E+00,-1.97E+02
-3.31E+00,-1.94E+02
-3.89E+00,-1.86E+02
-4.67E+00,-1.75E+02
-4.93E+00,-1.68E+02
-4.95E+00,-1.59E+02
-4.83E+00,-1.47E+02
-4.47E+00,-1.23E+02
-4.00E+00,-8.97E+01
-3.46E+00,-5.34E+01
-2.96E+00,-1.92E+01
-2.38E+00,2.12E+01
-1.73E+00,6.47E+01
-1.21E+00,1.03E+02
-7.51E-01,1.37E+02
-3.98E-01,1.63E+02
-3.06E-02,1.89E+02
3.06E-01,2.14E+02
6.59E-01,2.38E+02
1.04E+00,2.61E+02
1.49E+00,2.86E+02
1.75E+00,3.01E+02
2.19E+00,3.22E+02
2.65E+00,3.41E+02
3.00E+00,3.56E+02
3.28E+00,3.65E+02
3.60E+00,3.75E+02
4.00E+00,3.82E+02
4.26E+00,3.84E+02
3.97E+00,3.43E+02
3.62E+00,2.97E+02
3.14E+00,2.35E+02
2.79E+00,1.89E+02
2.24E+00,1.21E+02
1.96E+00,8.33E+01
1.72E+00,5.02E+01
1.59E+00,3.67E+01
1.27E+00,-4.74E+00
1.03E+00,-4.00E+01
8.89E-01,-5.45E+01
5.82E-01,-1.01E+02
4.44E-01,-1.19E+02
3.06E-01,-1.36E+02
1.69E-01,-1.54E+02
3.06E-02,-1.65E+02
-1.38E-01,-1.75E+02
-3.37E-01,-1.84E+02
-5.82E-01,-1.90E+02
-7.82E-01,-1.92E+02
-1.06E+00,-1.92E+02
-1.35E+00,-1.90E+02
-1.50E+00,-1.88E+02
-1.76E+00,-1.84E+02
-2.08E+00,-1.80E+02
-2.88E+00,-1.62E+02
-3.68E+00,-1.43E+02
-4.21E+00,-1.28E+02
-4.86E+00,-1.08E+02
-5.23E+00,-9.70E+01
-5.55E+00,-8.56E+01
-5.78E+00,-7.52E+01
-5.75E+00,-7.00E+01
-5.19E+00,-4.72E+01
-4.28E+00,-1.30E+01
-3.80E+00,5.63E+00
-3.03E+00,3.36E+01
-2.67E+00,4.71E+01
-2.31E+00,6.16E+01
-1.99E+00,7.40E+01
-1.75E+00,8.44E+01
-1.41E+00,9.89E+01
-9.04E-01,1.20E+02
-5.52E-01,1.36E+02
