Displacement [mm],Force [kN]
5.543237e-02,-6.527977e+01
3.381375e+00,1.271879e+03
5.543237e-02,-3.579627e+02
-3.492239e+00,-1.459828e+03
-3.492239e+00,-1.459828e+03
-3.270510e+00,-1.459828e+03
-3.880266e-01,-8.823529e+01
3.381375e+00,1.266141e+03
7.206208e-01,-1.362984e+01
-3.270510e+00,-1.459828e+03
-6.097561e-01,-8.823529e+01
3.603104e+00,1.203013e+03
4.490022e+00,1.564562e+03
5.598670e+00,1.363702e+03
6.929047e+00,1.708034e+03
8.259424e+00,1.817073e+03
1.025499e+01,1.908895e+03
1.358093e+01,1.966284e+03
2.023282e+01,1.994978e+03
4.661863e+01,2.029412e+03
5.637472e+01,2.023673e+03
5.460089e+01,1.237446e+03
5.327051e+01,5.200861e+02
4.972284e+01,-3.751793e+02
4.794900e+01,-7.309900e+02
4.617517e+01,-1.017934e+03
4.506652e+01,-1.167145e+03
4.417960e+01,-1.264706e+03
4.307095e+01,-1.287661e+03
4.196231e+01,-1.258967e+03
4.041020e+01,-1.201578e+03
4.085366e+01,-8.916786e+02
4.351441e+01,-8.249641e+01
4.595344e+01,5.143472e+02
4.839246e+01,1.065280e+03
5.083149e+01,1.455524e+03
5.415743e+01,1.811334e+03
5.570953e+01,1.931851e+03
5.726164e+01,1.977762e+03
5.947894e+01,1.977762e+03
5.970067e+01,1.966284e+03
5.837029e+01,1.455524e+03
5.726164e+01,1.002152e+03
5.415743e+01,-8.249641e+01
5.149667e+01,-7.883788e+02
4.994457e+01,-1.052367e+03
4.817073e+01,-1.218795e+03
4.661863e+01,-1.241750e+03
4.573171e+01,-1.207317e+03
4.417960e+01,-1.172884e+03
4.573171e+01,-7.711621e+02
4.684035e+01,-3.522238e+02
4.861419e+01,1.413199e+02
5.083149e+01,7.266858e+02
5.349224e+01,1.254663e+03
5.681818e+01,1.690818e+03
5.881375e+01,1.885940e+03
5.947894e+01,1.920373e+03
6.125277e+01,1.949067e+03
6.125277e+01,1.725251e+03
6.014412e+01,1.289096e+03
5.881375e+01,7.783357e+02
5.681818e+01,4.375897e+01
5.415743e+01,-6.678623e+02
5.216186e+01,-1.046628e+03
5.105322e+01,-1.172884e+03
4.994457e+01,-1.213056e+03
4.772727e+01,-1.178623e+03
4.883592e+01,-8.170732e+02
5.194013e+01,1.700143e+02
5.437916e+01,8.242468e+02
5.703991e+01,1.346485e+03
5.970067e+01,1.759684e+03
6.147450e+01,1.885940e+03
6.258315e+01,1.914634e+03
6.413525e+01,1.920373e+03
6.213969e+01,1.145624e+03
5.970067e+01,2.560976e+02
5.770510e+01,-4.210904e+02
5.570953e+01,-8.916786e+02
5.415743e+01,-1.081062e+03
5.304878e+01,-1.195839e+03
5.149667e+01,-1.195839e+03
5.038803e+01,-1.149928e+03
5.216186e+01,-3.866571e+02
5.304878e+01,-2.030129e+02
5.526608e+01,5.086083e+02
5.659645e+01,9.218077e+02
5.903548e+01,1.363702e+03
6.169623e+01,1.685079e+03
6.369180e+01,1.862984e+03
6.502217e+01,1.908895e+03
6.635255e+01,1.908895e+03
6.435698e+01,1.019369e+03
6.147450e+01,7.819225e+01
5.837029e+01,-7.826399e+02
5.726164e+01,-1.017934e+03
5.548780e+01,-1.172884e+03
5.460089e+01,-1.178623e+03
5.327051e+01,-1.161406e+03
5.393570e+01,-8.400287e+02
5.504435e+01,-5.129125e+02
5.970067e+01,9.390244e+02
6.125277e+01,1.271879e+03
6.324834e+01,1.541607e+03
6.524390e+01,1.776901e+03
6.635255e+01,1.862984e+03
