Displacement [mm],Force [kN]
8.530751e-01,1.061008e+00
-1.861255e+00,-2.790451e+02
-2.442897e+00,-2.535809e+02
1.822479e+00,2.684350e+02
2.791882e+00,3.214854e+02
1.046956e+00,3.076923e+01
1.046956e+00,-1.061008e+00
-1.861255e+00,-2.726790e+02
-2.636778e+00,-2.535809e+02
1.628598e+00,2.684350e+02
2.985763e+00,3.172414e+02
1.434717e+00,3.076923e+01
8.530751e-01,3.183024e+00
-1.861255e+00,-2.811671e+02
-2.636778e+00,-2.493369e+02
2.210240e+00,2.726790e+02
2.985763e+00,3.214854e+02
1.240837e+00,2.864721e+01
1.046956e+00,-1.061008e+00
-1.861255e+00,-2.748011e+02
-2.249016e+00,-2.514589e+02
1.822479e+00,2.641910e+02
2.985763e+00,3.214854e+02
8.530751e-01,2.652520e+01
1.046956e+00,-7.427056e+00
-1.473493e+00,-2.514589e+02
-1.861255e+00,-2.769231e+02
-2.830658e+00,-2.811671e+02
-3.606181e+00,-2.684350e+02
-2.636778e+00,-2.557029e+02
-2.249016e+00,-2.344828e+02
-6.979706e-01,-4.562334e+01
1.046956e+00,1.962865e+02
1.822479e+00,2.684350e+02
3.373524e+00,3.257294e+02
4.924570e+00,4.042440e+02
7.832781e+00,5.994695e+02
5.893974e+00,3.299735e+02
4.342928e+00,1.156499e+02
2.210240e+00,-1.177719e+02
1.822479e+00,-1.665782e+02
1.240837e+00,-2.238727e+02
6.591944e-01,-2.429708e+02
-3.102091e-01,-2.599469e+02
-1.473493e+00,-2.620690e+02
-3.800062e+00,-2.514589e+02
-4.575585e+00,-2.408488e+02
-3.024539e+00,-2.259947e+02
-1.861255e+00,-1.941645e+02
-8.918513e-01,-4.137931e+01
1.046956e+00,1.984085e+02
2.016359e+00,2.748011e+02
2.985763e+00,3.214854e+02
4.924570e+00,4.063660e+02
7.832781e+00,5.973475e+02
5.700093e+00,3.533156e+02
4.149047e+00,1.347480e+02
2.016359e+00,-1.029178e+02
1.822479e+00,-1.474801e+02
1.822479e+00,-1.665782e+02
1.822479e+00,-2.238727e+02
4.653137e-01,-2.472149e+02
-5.040899e-01,-2.620690e+02
-2.055136e+00,-2.663130e+02
-3.606181e+00,-2.493369e+02
-4.575585e+00,-2.408488e+02
-2.636778e+00,-2.238727e+02
-1.667374e+00,-1.941645e+02
-8.918513e-01,-4.774536e+01
8.530751e-01,1.984085e+02
1.822479e+00,2.684350e+02
2.985763e+00,3.151194e+02
4.924570e+00,4.042440e+02
8.026662e+00,6.015915e+02
6.087854e+00,3.236074e+02
4.342928e+00,1.114058e+02
2.598002e+00,-1.156499e+02
1.822479e+00,-1.729443e+02
1.628598e+00,-2.217507e+02
6.591944e-01,-2.387268e+02
-3.102091e-01,-2.620690e+02
-1.861255e+00,-2.620690e+02
-3.993943e+00,-2.514589e+02
-4.575585e+00,-2.429708e+02
-2.636778e+00,-2.238727e+02
-1.667374e+00,-1.899204e+02
-3.102091e-01,-4.562334e+01
1.434717e+00,1.962865e+02
1.822479e+00,2.684350e+02
2.985763e+00,3.193634e+02
4.924570e+00,4.021220e+02
7.832781e+00,6.037135e+02
5.893974e+00,3.299735e+02
4.536809e+00,1.114058e+02
2.210240e+00,-1.220159e+02
1.822479e+00,-1.644562e+02
1.434717e+00,-2.238727e+02
1.046956e+00,-2.429708e+02
-3.102091e-01,-2.599469e+02
-1.861255e+00,-2.620690e+02
-3.993943e+00,-2.493369e+02
