id,investigator,specimen_ID,date,cross_section_shape,cross_section_size,area,d_br,b_br,t_br,w_br,i_x,i_y,r_x,r_y,z_x,z_y,j,configuration,brace_angle,l_b,l_b_clear,steel,e,f_yn,fy_m,f_um,boundary_condition,l_1t,l_2t,l_3t,l_4t,l_5t,l_6t,l_7t,_8t,t_t,l_1b,l_2b,l_3b,l_4b,l_5b,l_6b,l_7b,l_8b,t_b,steel_gp,f_yn_gp,f_ym_gp,f_um_gp,weld_type,l_weld,t_weld,stick_space,nub_bolts,bolt_size,bolt_mat,reinforcement_pl,loading_protocol,p_t,p_t_theory,p_c,kl_r,l_c,l_c_theory,k_assumed,kl_r_theory,reference,link,latitude,longitude
Fell_et_al_HSS1-1,"Fell, Kanvinde & Deierlein",HSS1-1,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.4,Symmetric Cyclic,1099,970.6,698,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS1-2,"Fell, Kanvinde & Deierlein",HSS1-2,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.4,Near Field Compression,1108,970.6,529,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS1-3,"Fell, Kanvinde & Deierlein",HSS1-3,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.4,Symmetric Cyclic,1134,970.6,716,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS1-4,"Fell, Kanvinde & Deierlein",HSS1-4,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.4,Symmetric Cyclic,1143,970.6,863,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS1-5,"Fell, Kanvinde & Deierlein",HSS1-5,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.4,Near Field Compression,1170,970.6,605,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS1-6,"Fell, Kanvinde & Deierlein",HSS1-6,2009,Rectangular HSS,HSS102x102x6.4,2110,101.6,101.6,6.4,na,3160000,3160000,38.7,38.7,74700,74700,5170000,SB,45,2985,2477,A500 Gr. B,200000,315,460,488,Gusset plate,508,152.4,292,38,na,na,na,na,12.7,508,152.4,292,38,na,na,na,na,12.7,A572 Gr.50,345,508,549,Fillet,254,6.4,na,na,na,na,203x51x6.5,Symmetric Cyclic,1108,970.6,725,77,1.2,1.18,1,77.13,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS2-1,"Fell, Kanvinde & Deierlein",HSS2-1,2009,Rectangular HSS,HSS102x102x9.5,3000,102,102,9.5,na,4180000,4180000,37.3,37.3,102000,102000,7100000,SB,45,2985,2223,A500 Gr. B,200000,315,499,542,Gusset plate,508,152.4,419,38,na,na,na,na,12.7,508,152.4,419,38,na,na,na,na,12.7,A572 Gr.50,345,502,540,Fillet,381,6.4,na,na,na,na,203x51x9.5,Symmetric Cyclic,1548,1497,827,80,1.3,1.27,1,80.03,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_HSS2-2,"Fell, Kanvinde & Deierlein",HSS2-2,2009,Rectangular HSS,HSS102x102x9.5,3000,102,102,9.5,na,4180000,4180000,37.3,37.3,102000,102000,7100000,SB,45,2985,2223,A500 Gr. B,200000,315,499,542,Gusset plate,508,152.4,419,38,na,na,na,na,12.7,508,152.4,419,38,na,na,na,na,12.7,A572 Gr.50,345,502,540,Fillet,381,6.4,na,na,na,na,203x51x9.5,Symmetric Cyclic,1610,1497,818,80,1.3,1.27,1,80.03,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P1-1,"Fell, Kanvinde & Deierlein",P1-1,2009,Circular HSS,Pipe127STD,2587,141,141,6.12,na,5950000,5950000,47.8,47.8,112000,112000,469000,SB,45,3010,2400,A53 Gr. B,200000,240,326,421,Gusset plate,508,177.8,343,38,na,na,na,na,12.7,508,177.8,343,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,305,6.4,na,na,na,na,279x76x6.4,Symmetric Cyclic,1072,843.4,805,63,0.8,0.81,1,62.97,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
Fell_et_al_P1-2,"Fell, Kanvinde & Deierlein",P1-2,2009,Circular HSS,Pipe127STD,2587,141,141,6.12,na,5950000,5950000,47.8,47.8,112000,112000,469000,SB,45,3010,2400,A53 Gr. B,200000,240,326,421,Gusset plate,508,177.8,343,38,na,na,na,na,12.7,508,177.8,343,38,na,na,na,na,12.7,A572 Gr.50,345,nr,nr,Fillet,305,6.4,na,na,na,na,279x76x6.4,Symmetric Cyclic,1081,843.4,787,63,0.8,0.81,1,62.97,"Fell, B.V., Kanvinde A.M., Deierlein, G.G., Myers, A.T. 2009. ""Experimental Investigation of Inelastic Cyclic Buckling and Fracture of Steel Braces,"" ASCE, Journal Structural Engineering, Vol. 135 (1), pp. 19-32.",https://doi.org/10.1061/(ASCE)0733-9445(2009)135:1(19),37.91350046,-122.333448
