Chord Rotation [rads],Axial Shortening [mm]
0,0
0,0
0,0
0,-1.000000e-02
0,-1.000000e-02
0,-1.000000e-02
0,-1.000000e-02
0,-2.000000e-02
0,-2.000000e-02
0,-2.000000e-02
0,-3.000000e-02
0,-3.000000e-02
0,-3.000000e-02
0,-4.000000e-02
0,-4.000000e-02
0,-4.000000e-02
0,-4.000000e-02
0,-5.000000e-02
0,-5.000000e-02
0,-5.000000e-02
0,-6.000000e-02
0,-6.000000e-02
0,-6.000000e-02
0,-7.000000e-02
0,-7.000000e-02
0,-7.000000e-02
0,-7.000000e-02
0,-8.000000e-02
0,-8.000000e-02
0,-8.000000e-02
0,-9.000000e-02
0,-9.000000e-02
0,-9.000000e-02
0,-1.000000e-01
0,-1.000000e-01
0,-1.000000e-01
0,-1.000000e-01
0,-1.100000e-01
0,-1.100000e-01
0,-1.100000e-01
0,-1.200000e-01
0,-1.200000e-01
0,-1.200000e-01
0,-1.300000e-01
0,-1.300000e-01
0,-1.300000e-01
0,-1.400000e-01
0,-1.400000e-01
0,-1.400000e-01
0,-1.400000e-01
0,-1.500000e-01
0,-1.500000e-01
0,-1.500000e-01
0,-1.600000e-01
0,-1.600000e-01
0,-1.600000e-01
0,-1.700000e-01
0,-1.700000e-01
0,-1.700000e-01
0,-1.700000e-01
0,-1.800000e-01
0,-1.800000e-01
0,-1.800000e-01
0,-1.900000e-01
0,-1.900000e-01
0,-1.900000e-01
0,-2.000000e-01
0,-2.000000e-01
0,-2.000000e-01
0,-2.000000e-01
0,-2.100000e-01
0,-2.100000e-01
0,-2.100000e-01
0,-2.200000e-01
0,-2.200000e-01
0,-2.200000e-01
0,-2.300000e-01
0,-2.300000e-01
0,-2.300000e-01
0,-2.400000e-01
0,-2.400000e-01
0,-2.400000e-01
0,-2.500000e-01
0,-2.500000e-01
0,-2.500000e-01
0,-2.500000e-01
0,-2.600000e-01
0,-2.600000e-01
0,-2.600000e-01
0,-2.700000e-01
0,-2.700000e-01
0,-2.700000e-01
0,-2.800000e-01
0,-2.800000e-01
0,-2.800000e-01
0,-2.800000e-01
0,-2.900000e-01
0,-2.900000e-01
0,-2.900000e-01
0,-3.000000e-01
0,-3.000000e-01
0,-3.000000e-01
0,-3.100000e-01
0,-3.100000e-01
0,-3.100000e-01
0,-3.200000e-01
0,-3.200000e-01
0,-3.200000e-01
0,-3.200000e-01
0,-3.300000e-01
0,-3.300000e-01
0,-3.300000e-01
0,-3.400000e-01
0,-3.400000e-01
0,-3.400000e-01
0,-3.500000e-01
0,-3.500000e-01
0,-3.500000e-01
0,-3.600000e-01
0,-3.600000e-01
0,-3.600000e-01
0,-3.600000e-01
0,-3.700000e-01
