Chord Rotation [rads],Axial Shortening [mm]
0,0
2.800000e-03,-6.950000e+00
-2.800000e-03,-6.950000e+00
4.300000e-03,-7.740000e+00
-3.000000e-03,-7.790000e+00
4.200000e-03,-8.210000e+00
-3.500000e-03,-8.530000e+00
8.000000e-03,-9.370000e+00
-8.000000e-03,-1.095000e+01
8.000000e-03,-12
-8.000000e-03,-1.337000e+01
1.230000e-02,-1.568000e+01
-1.200000e-02,-1.737000e+01
1.200000e-02,-2.095000e+01
-1.180000e-02,-2.368000e+01
1.570000e-02,-2.747000e+01
-1.540000e-02,-3.116000e+01
1.570000e-02,-3.579000e+01
-1.540000e-02,-4.095000e+01
1.950000e-02,-4.611000e+01
-1.920000e-02,-5.242000e+01
1.950000e-02,-5.832000e+01
-3.500000e-03,-6.242000e+01
-2.100000e-03,-6.242000e+01
