Chord Rotation [rads],Moment [kN-mm]
2.835539e-04,1.354402e+02
3.875236e-03,5.191874e+03
-3.686200e-03,-4.379233e+03
4.725898e-04,1.354402e+02
4.064272e-03,5.372460e+03
-3.875236e-03,-4.559819e+03
9.451796e-05,3.160271e+02
6.899811e-03,9.164786e+03
-6.710775e-03,-7.720090e+03
7.088847e-03,8.984199e+03
-6.710775e-03,-7.720090e+03
6.710775e-03,9.164786e+03
1.294896e-02,1.602709e+04
-1.257089e-02,-1.485327e+04
1.351607e-02,1.629797e+04
-1.275992e-02,-1.503386e+04
1.313800e-02,1.611738e+04
-1.275992e-02,-1.521445e+04
1.294896e-02,1.656885e+04
1.540643e-02,1.882619e+04
1.786389e-02,2.009029e+04
1.748582e-02,1.765237e+04
3.497164e-03,-4.514673e+01
-3.875236e-03,-7.990971e+03
-1.729679e-02,-1.729120e+04
-1.937618e-02,-1.864560e+04
-1.446125e-02,-1.178330e+04
-1.984877e-03,2.934537e+03
1.332703e-02,1.683973e+04
1.521739e-02,1.891648e+04
1.824197e-02,2.018059e+04
1.748582e-02,1.783296e+04
3.497164e-03,2.257336e+02
-3.686200e-03,-7.900677e+03
-1.710775e-02,-1.711061e+04
-1.956522e-02,-1.864560e+04
-1.483932e-02,-1.169300e+04
-1.984877e-03,2.753950e+03
1.275992e-02,1.665914e+04
1.597353e-02,1.909707e+04
1.805293e-02,2.018059e+04
1.710775e-02,1.774266e+04
3.497164e-03,-4.514673e+01
-3.686200e-03,-8.081264e+03
-1.691871e-02,-1.720090e+04
-1.994329e-02,-1.855530e+04
-1.446125e-02,-1.169300e+04
-2.551985e-03,2.844244e+03
1.559546e-02,1.909707e+04
1.786389e-02,2.054176e+04
2.145558e-02,2.180587e+04
2.561437e-02,2.352144e+04
2.372401e-02,2.099323e+04
2.126654e-02,1.674944e+04
7.466919e-03,3.160271e+02
-1.984877e-03,-7.900677e+03
-6.521739e-03,-1.196388e+04
-2.202268e-02,-2.027088e+04
-2.674858e-02,-2.153499e+04
-2.315690e-02,-1.638826e+04
-1.068053e-02,-1.851016e+03
-1.984877e-03,6.365688e+03
6.521739e-03,1.322799e+04
1.635161e-02,1.954853e+04
2.126654e-02,2.189616e+04
2.561437e-02,2.361174e+04
2.372401e-02,2.099323e+04
2.164461e-02,1.693002e+04
6.899811e-03,3.160271e+02
-2.173913e-03,-7.629797e+03
-6.710775e-03,-1.169300e+04
-1.275992e-02,-1.539503e+04
-1.918715e-02,-1.864560e+04
-2.183365e-02,-2.036117e+04
-2.674858e-02,-2.162528e+04
-2.315690e-02,-1.647856e+04
-1.068053e-02,-2.121896e+03
-2.173913e-03,6.185102e+03
6.143667e-03,1.331828e+04
2.145558e-02,2.189616e+04
2.599244e-02,2.379233e+04
2.410208e-02,2.108352e+04
2.145558e-02,1.693002e+04
7.466919e-03,2.257336e+02
-1.984877e-03,-8.081264e+03
-6.143667e-03,-1.205418e+04
-2.240076e-02,-2.018059e+04
-2.674858e-02,-2.171558e+04
-2.334594e-02,-1.593679e+04
-1.105860e-02,-1.851016e+03
-2.362949e-03,6.275395e+03
1.805293e-02,2.036117e+04
2.542533e-02,2.343115e+04
3.241966e-02,2.496614e+04
2.769376e-02,1.656885e+04
1.238185e-02,1.354402e+02
7.088847e-03,-4.469526e+03
-1.228733e-03,-1.051919e+04
-6.899811e-03,-1.376975e+04
-2.410208e-02,-2.090293e+04
-3.374291e-02,-2.234763e+04
-3.052930e-02,-1.747178e+04
-2.863894e-02,-1.512415e+04
-1.257089e-02,2.212190e+03
1.984877e-03,1.313770e+04
1.181474e-02,1.891648e+04
2.315690e-02,2.297968e+04
3.241966e-02,2.496614e+04
2.769376e-02,1.656885e+04
1.257089e-02,1.354402e+02
7.466919e-03,-4.740406e+03
-6.616257e-04,-1.051919e+04
-7.088847e-03,-1.376975e+04
-2.258979e-02,-2.054176e+04
-3.015123e-02,-2.171558e+04
-3.374291e-02,-2.207675e+04
-2.863894e-02,-1.494357e+04
-1.238185e-02,2.212190e+03
1.606805e-03,1.295711e+04
1.143667e-02,1.864560e+04
2.277883e-02,2.297968e+04
3.260870e-02,2.487585e+04
2.788280e-02,1.656885e+04
1.257089e-02,4.514673e+01
7.466919e-03,-4.650113e+03
-1.039698e-03,-1.060948e+04
-6.521739e-03,-1.395034e+04
-2.996219e-02,-2.180587e+04
-3.393195e-02,-2.216704e+04
-3.090737e-02,-1.729120e+04
-2.901701e-02,-1.485327e+04
-1.275992e-02,2.212190e+03
1.795841e-03,1.313770e+04
1.124764e-02,1.918736e+04
2.353497e-02,2.306998e+04
3.241966e-02,2.514673e+04
3.809074e-02,2.541761e+04
3.903592e-02,2.505643e+04
3.733459e-02,2.243792e+04
3.374291e-02,1.674944e+04
1.937618e-02,1.038375e+03
6.899811e-03,-8.171558e+03
-4.064272e-03,-1.386005e+04
-2.599244e-02,-2.099323e+04
-3.582231e-02,-2.171558e+04
-4.017013e-02,-2.189616e+04
-3.393195e-02,-1.331828e+04
-2.032136e-02,5.869074e+02
-1.275992e-02,7.088036e+03
1.228733e-03,1.494357e+04
2.826087e-02,2.424379e+04
3.903592e-02,2.496614e+04
3.884688e-02,2.433409e+04
3.412098e-02,1.683973e+04
1.956522e-02,1.038375e+03
7.088847e-03,-8.261851e+03
-3.875236e-03,-1.386005e+04
-2.580340e-02,-2.108352e+04
-3.563327e-02,-2.171558e+04
-3.998110e-02,-2.135440e+04
-3.449905e-02,-1.313770e+04
-2.088847e-02,8.577878e+02
-1.313800e-02,7.358916e+03
1.039698e-03,1.521445e+04
1.143667e-02,1.927765e+04
3.223062e-02,2.469526e+04
3.903592e-02,2.433409e+04
3.412098e-02,1.674944e+04
2.466919e-02,6.365688e+03
1.691871e-02,-1.038375e+03
8.506616e-04,-1.205418e+04
-1.937618e-02,-1.918736e+04
-3.998110e-02,-2.117381e+04
-3.355388e-02,-1.133183e+04
-2.107750e-02,9.480813e+02
2.835539e-04,1.539503e+04
2.145558e-02,2.261851e+04
4.206049e-02,2.442438e+04
4.565217e-02,2.424379e+04
4.300567e-02,1.936795e+04
3.941399e-02,1.476298e+04
2.429112e-02,4.514673e+01
1.483932e-02,-7.088036e+03
-8.223062e-03,-1.566591e+04
-2.258979e-02,-1.891648e+04
-3.355388e-02,-1.990971e+04
-4.716446e-02,-1.945824e+04
-3.809074e-02,-8.893905e+03
-2.202268e-02,4.198646e+03
-3.875236e-03,1.449210e+04
6.143667e-03,1.819413e+04
2.901701e-02,2.198646e+04
4.187146e-02,2.297968e+04
4.546314e-02,2.316027e+04
3.998110e-02,1.476298e+04
2.466919e-02,-4.514673e+01
1.446125e-02,-6.636569e+03
-1.786389e-02,-1.711061e+04
-2.240076e-02,-1.747178e+04
-2.920605e-02,-1.801354e+04
-4.224953e-02,-1.855530e+04
-4.640832e-02,-1.864560e+04
-4.111531e-02,-1.160271e+04
-2.485822e-02,2.573363e+03
-1.313800e-02,1.006772e+04
-5.198488e-03,1.386005e+04
1.049149e-02,1.756208e+04
2.996219e-02,2.126411e+04
4.584121e-02,2.252822e+04
4.017013e-02,1.467269e+04
2.429112e-02,-2.257336e+02
1.427221e-02,-6.275395e+03
-1.672968e-02,-1.665914e+04
-2.844991e-02,-1.774266e+04
-4.621928e-02,-1.783296e+04
-4.224953e-02,-1.196388e+04
-2.372401e-02,3.837472e+03
-9.924386e-03,1.178330e+04
1.105860e-02,1.747178e+04
2.296786e-02,1.945824e+04
3.676749e-02,2.090293e+04
4.792060e-02,2.171558e+04
5.245747e-02,2.198646e+04
4.886578e-02,1.620767e+04
3.185255e-02,5.869074e+02
1.635161e-02,-8.261851e+03
1.417769e-03,-1.386005e+04
-1.446125e-02,-1.530474e+04
-5.264650e-02,-1.792325e+04
-5.037807e-02,-1.467269e+04
-3.128544e-02,2.121896e+03
-1.880907e-02,8.442438e+03
1.011342e-02,1.702032e+04
3.922495e-02,2.054176e+04
5.207940e-02,2.117381e+04
5.189036e-02,2.027088e+04
4.924386e-02,1.629797e+04
3.185255e-02,4.966140e+02
1.824197e-02,-6.997743e+03
1.124764e-02,-9.345372e+03
4.064272e-03,-1.187359e+04
-1.351607e-02,-1.440181e+04
-2.637051e-02,-1.530474e+04
-4.130435e-02,-1.683973e+04
-5.264650e-02,-1.720090e+04
-4.603025e-02,-9.164786e+03
-3.620038e-02,-1.038375e+03
-1.937618e-02,8.893905e+03
-9.924386e-03,1.223476e+04
2.315690e-02,1.783296e+04
4.054820e-02,1.963883e+04
5.245747e-02,2.063205e+04
4.943289e-02,1.611738e+04
3.128544e-02,1.354402e+02
2.410208e-02,-4.559819e+03
1.616257e-02,-7.178330e+03
-5.765595e-03,-1.241535e+04
-1.578450e-02,-1.367946e+04
-2.504726e-02,-1.449210e+04
-3.865784e-02,-1.575621e+04
-5.321361e-02,-1.665914e+04
-4.735350e-02,-1.006772e+04
-2.618147e-02,5.823928e+03
-1.389414e-02,1.106095e+04
1.956522e-02,1.693002e+04
3.790170e-02,1.855530e+04
5.264650e-02,20000
6.285444e-02,2.063205e+04
7.211720e-02,2.081264e+04
7.192817e-02,1.900677e+04
