Chord Rotation [rads],Moment [kN-mm]
0,0
1.690834e-03,3.156808e+04
-1.427328e-03,-2.582843e+04
-6.587666e-05,4.099751e+02
1.690834e-03,3.156808e+04
-1.427328e-03,-2.582843e+04
-6.587666e-05,4.099751e+02
1.646917e-03,3.361796e+04
-1.427328e-03,-2.623840e+04
-2.195889e-05,0
1.646917e-03,3.197805e+04
3.491463e-03,6.313616e+04
-3.315792e-03,-5.985636e+04
-1.097944e-04,1.639900e+03
3.535381e-03,6.354613e+04
-3.271874e-03,-5.862643e+04
-2.195889e-05,2.049875e+03
3.491463e-03,6.313616e+04
-3.403628e-03,-6.026633e+04
-6.587666e-05,2.049875e+03
5.687352e-03,9.716409e+04
-5.643434e-03,-1.057736e+05
-5.599516e-03,-9.716409e+04
5.599516e-03,9.757406e+04
-5.643434e-03,-1.049536e+05
-5.643434e-03,-9.634414e+04
5.687352e-03,9.675411e+04
-5.599516e-03,-1.053636e+05
-5.643434e-03,-9.716409e+04
3.974559e-03,7.133566e+04
5.731270e-03,9.798404e+04
6.521790e-03,1.078234e+05
7.663652e-03,1.115132e+05
8.981185e-03,1.082334e+05
8.234583e-03,9.470424e+04
-1.207739e-03,-4.919701e+04
-3.667134e-03,-8.855461e+04
-4.940750e-03,-1.065935e+05
-6.521790e-03,-1.160229e+05
-7.224474e-03,-1.180728e+05
-8.629843e-03,-1.127431e+05
-8.498089e-03,-1.065935e+05
-3.886723e-03,-3.607781e+04
2.832696e-03,6.354613e+04
5.994776e-03,9.593416e+04
7.268392e-03,1.041337e+05
8.937267e-03,1.033137e+05
8.893349e-03,9.839401e+04
-1.866505e-03,-5.288678e+04
-3.227956e-03,-6.723591e+04
-5.731270e-03,-9.347431e+04
-6.917050e-03,-1.041337e+05
-8.146747e-03,-1.070035e+05
-8.761596e-03,-1.053636e+05
-8.805514e-03,-1.008539e+05
-5.379927e-03,-5.329676e+04
2.305683e-03,5.165686e+04
4.896832e-03,7.625536e+04
6.829214e-03,9.142444e+04
8.366336e-03,1.000339e+05
9.112938e-03,9.962394e+04
8.981185e-03,9.142444e+04
8.146747e-03,8.076509e+04
2.305683e-03,1.639900e+03
-2.613108e-03,-5.903641e+04
-5.160339e-03,-8.404489e+04
-6.565707e-03,-9.306434e+04
-7.531898e-03,-9.880399e+04
-8.454172e-03,-1.029037e+05
-8.849432e-03,-1.033137e+05
-8.761596e-03,-9.675411e+04
-3.491463e-03,-2.418853e+04
2.195889e-05,2.377855e+04
4.413736e-03,7.010574e+04
7.224474e-03,8.978454e+04
9.025103e-03,9.552419e+04
1.139666e-02,9.224439e+04
1.245069e-02,9.019451e+04
1.236285e-02,8.322494e+04
1.095748e-02,6.928579e+04
5.994776e-03,5.739651e+03
3.623216e-03,-2.254863e+04
7.685611e-04,-5.411671e+04
-1.515163e-03,-7.215561e+04
-2.964450e-03,-8.158504e+04
-5.116421e-03,-9.265436e+04
-6.609625e-03,-9.634414e+04
-8.937267e-03,-9.552419e+04
-1.231894e-02,-9.060449e+04
-1.201151e-02,-8.486484e+04
-4.457654e-03,8.199501e+03
9.003144e-04,5.903641e+04
2.525272e-03,6.969576e+04
6.477872e-03,8.240499e+04
1.029872e-02,8.117506e+04
1.245069e-02,7.789526e+04
1.183584e-02,6.846584e+04
6.785296e-03,8.609476e+03
4.501572e-03,-1.598903e+04
-6.368077e-04,-5.985636e+04
-1.646917e-03,-6.682594e+04
-2.788779e-03,-7.256559e+04
-4.633325e-03,-7.912519e+04
-5.994776e-03,-8.240499e+04
-8.234583e-03,-8.240499e+04
-1.122099e-02,-7.953516e+04
-1.240677e-02,-7.912519e+04
-1.104532e-02,-6.354613e+04
-6.960967e-03,-1.598903e+04
-3.711052e-03,2.008878e+04
1.339492e-03,5.821646e+04
2.876614e-03,6.477606e+04
4.633325e-03,6.887581e+04
6.258283e-03,7.010574e+04
9.112938e-03,6.969576e+04
1.262636e-02,6.723591e+04
1.262636e-02,6.395611e+04
1.161625e-02,5.370673e+04
6.082612e-03,-6.559601e+03
3.711052e-03,-2.746833e+04
2.305683e-03,-4.017756e+04
-1.163821e-03,-6.149626e+04
-2.832696e-03,-6.805586e+04
-4.150230e-03,-7.133566e+04
-5.643434e-03,-7.256559e+04
-8.278501e-03,-7.256559e+04
-1.262636e-02,-6.846584e+04
-1.126491e-02,-5.452668e+04
-7.356227e-03,-1.024938e+04
-5.028585e-03,1.229925e+04
7.685611e-04,5.247681e+04
3.271874e-03,6.108628e+04
4.677243e-03,6.108628e+04
1.047439e-02,5.903641e+04
1.491008e-02,5.657656e+04
1.653504e-02,5.657656e+04
1.640329e-02,5.001696e+04
1.499792e-02,3.935761e+04
6.917050e-03,-3.443791e+04
4.281983e-03,-5.042693e+04
1.866505e-03,-5.903641e+04
4.172189e-04,-6.231621e+04
-4.238065e-03,-6.190623e+04
-8.893349e-03,-5.985636e+04
-1.398781e-02,-5.780648e+04
-1.618370e-02,-5.493666e+04
-1.600803e-02,-5.124688e+04
-1.095748e-02,-4.099751e+03
-7.927158e-03,1.885885e+04
-4.765079e-03,3.730773e+04
-2.217848e-03,4.632718e+04
-7.246433e-04,4.919701e+04
6.697461e-03,4.796708e+04
1.183584e-02,4.632718e+04
1.627154e-02,4.345736e+04
1.508576e-02,3.238803e+04
1.170409e-02,2.459850e+03
8.498089e-03,-2.213865e+04
6.038694e-03,-3.730773e+04
3.359710e-03,-4.550723e+04
1.427328e-03,-5.001696e+04
-2.217848e-03,-5.083691e+04
-8.805514e-03,-4.878703e+04
-1.482225e-02,-4.509726e+04
-1.635937e-02,-4.468728e+04
-1.464658e-02,-2.951820e+04
-1.170409e-02,-4.919701e+03
-5.775187e-03,3.115810e+04
-2.920532e-03,3.730773e+04
-6.587666e-05,3.853766e+04
5.423845e-03,3.853766e+04
1.126491e-02,3.771771e+04
1.675463e-02,3.443791e+04
1.640329e-02,3.074813e+04
9.639952e-03,-1.844888e+04
7.795405e-03,-2.828828e+04
4.852914e-03,-3.812768e+04
3.184039e-03,-4.099751e+04
-3.842805e-03,-3.935761e+04
-1.078181e-02,-3.771771e+04
-1.640329e-02,-3.484788e+04
-1.530534e-02,-2.664838e+04
-1.060614e-02,7.379551e+03
-7.180556e-03,2.418853e+04
-5.292092e-03,2.787830e+04
5.928900e-04,3.033815e+04
6.258283e-03,2.828828e+04
1.231894e-02,2.869825e+04
1.635937e-02,2.746833e+04
2.022414e-02,2.623840e+04
2.013630e-02,2.295860e+04
1.859918e-02,1.434913e+04
1.381214e-02,-1.557905e+04
1.152842e-02,-2.541845e+04
1.069398e-02,-2.705835e+04
5.160339e-03,-3.074813e+04
-1.559081e-03,-2.787830e+04
-6.346119e-03,-2.746833e+04
-1.100140e-02,-2.500848e+04
