Chord Rotation [rads],Moment [kN-mm]
6.060000e-06,-2.439090e+04
5.690000e-06,-24524
4.780000e-06,-2.472940e+04
3.810000e-06,-2.494730e+04
2.770000e-06,-2.514020e+04
9.100000e-07,-2.528630e+04
-1.760000e-06,-25382
-3.170000e-06,-2.543360e+04
-2.220000e-06,-25447
-9.100000e-07,-25434
-1.600000e-07,-2.541190e+04
1.090000e-06,-2.538860e+04
2.450000e-06,-25364
2.080000e-06,-25343
-1.000000e-08,-2.533180e+04
-1.760000e-06,-2.532980e+04
-2.370000e-06,-2.533270e+04
-2.960000e-06,-2.533560e+04
-3.850000e-06,-2.533350e+04
-4.290000e-06,-2.532680e+04
-3.670000e-06,-2.532110e+04
-1.840000e-06,-2.531910e+04
2.000000e-08,-2.531450e+04
1.020000e-06,-2.530040e+04
1.800000e-06,-2.527210e+04
3.180000e-06,-2.523210e+04
4.330000e-06,-2.519030e+04
4.130000e-06,-2.514310e+04
2.810000e-06,-2.508020e+04
1.420000e-06,-2.500830e+04
8.400000e-07,-2.493420e+04
5.000000e-08,-2.485990e+04
-1.260000e-06,-2.478380e+04
-1.470000e-06,-2.470110e+04
-1.550000e-06,-2.461470e+04
-2.960000e-06,-2.453620e+04
-4.060000e-06,-2.447930e+04
-4.210000e-06,-2.444960e+04
-4.250000e-06,-2.444370e+04
-4.700000e-06,-2.445110e+04
-5.330000e-06,-2.446180e+04
-4.530000e-06,-2.447460e+04
-2.290000e-06,-2.448850e+04
-3.600000e-07,-2.450760e+04
9.500000e-07,-2.453530e+04
2.220000e-06,-2.455590e+04
3.030000e-06,-2.456270e+04
3.240000e-06,-2.457060e+04
3.630000e-06,-2.458680e+04
3.640000e-06,-2.460920e+04
3.160000e-06,-2.462870e+04
3.040000e-06,-2.463890e+04
2.880000e-06,-2.464510e+04
2.000000e-06,-24646
9.000000e-07,-24637
-4.000000e-08,-2.462450e+04
-8.600000e-07,-2.461450e+04
-8.200000e-07,-2.460530e+04
-1.300000e-07,-2.459330e+04
6.100000e-07,-2.458180e+04
1.360000e-06,-2.457940e+04
2.700000e-07,-2.458440e+04
-2.260000e-06,-2.458570e+04
-3.410000e-06,-24580
-2.990000e-06,-2.457620e+04
-2.190000e-06,-2.458090e+04
-9.100000e-07,-2.459160e+04
9.800000e-07,-2.460370e+04
2.380000e-06,-24619
3.240000e-06,-2.463810e+04
3.840000e-06,-2.465140e+04
3.840000e-06,-2.465490e+04
3.880000e-06,-2.465280e+04
4.090000e-06,-2.464580e+04
3.950000e-06,-2.463740e+04
2.830000e-06,-2.463660e+04
9.400000e-07,-2.464220e+04
9.400000e-07,-2.464770e+04
3.170000e-06,-2.464990e+04
5.050000e-06,-2.464770e+04
6.810000e-06,-2.465050e+04
8.910000e-06,-2.466470e+04
9.760000e-06,-2.468480e+04
8.850000e-06,-2.470920e+04
7.540000e-06,-2.473860e+04
6.780000e-06,-2.477250e+04
6.570000e-06,-24810
6.850000e-06,-2.484330e+04
6.630000e-06,-2.487110e+04
5.940000e-06,-2.490070e+04
5.650000e-06,-2.493790e+04
5.440000e-06,-24982
5.170000e-06,-2.502250e+04
5.460000e-06,-2.505660e+04
6.560000e-06,-2.509330e+04
7.850000e-06,-2.513440e+04
9.230000e-06,-2.517320e+04
1.052000e-05,-2.521130e+04
1.052000e-05,-2.525450e+04
8.820000e-06,-2.529780e+04
6.600000e-06,-2.533630e+04
4.320000e-06,-2.536840e+04
1.640000e-06,-2.539880e+04
-4.500000e-07,-2.543460e+04
-1.350000e-06,-2.546960e+04
-1.800000e-06,-2.549850e+04
-1.330000e-06,-2.552160e+04
7.700000e-07,-2.553560e+04
3.170000e-06,-2.553810e+04
4.240000e-06,-2.552960e+04
4.260000e-06,-2.551690e+04
4.090000e-06,-2.550890e+04
3.400000e-06,-2.550230e+04
1.470000e-06,-2.549290e+04
-1.300000e-07,-2.548830e+04
5.700000e-07,-2.549140e+04
1.960000e-06,-2.549790e+04
2.400000e-06,-2.550070e+04
2.590000e-06,-2.549410e+04
2.650000e-06,-2.548130e+04
3.160000e-06,-2.546530e+04
5.130000e-06,-2.544560e+04
6.570000e-06,-2.542720e+04
5.790000e-06,-2.541250e+04
4.540000e-06,-2.539780e+04
4.440000e-06,-2.538530e+04
5.070000e-06,-2.537820e+04
4.840000e-06,-2.537290e+04
3.100000e-06,-2.536270e+04
6.100000e-07,-2.534720e+04
-1.120000e-06,-2.533150e+04
-2.200000e-06,-2.531820e+04
-2.870000e-06,-2.530580e+04
-1.270000e-06,-2.529330e+04
1.160000e-06,-2.528310e+04
1.670000e-06,-25276
1.320000e-06,-25274
9.900000e-07,-2.527970e+04
1.900000e-07,-2.529060e+04
-9.200000e-07,-2.530010e+04
-2.140000e-06,-2.530510e+04
-3.300000e-06,-2.530690e+04
-3.920000e-06,-2.530890e+04
-3.750000e-06,-2.531060e+04
-2.290000e-06,-2.530720e+04
-9.300000e-07,-2.530190e+04
-5.500000e-07,-2.530120e+04
3.000000e-08,-25305
-6.900000e-07,-2.530850e+04
-2.610000e-06,-2.530910e+04
-2.840000e-06,-2.530780e+04
-1.230000e-06,-2.529860e+04
5.900000e-07,-2.527780e+04
1.350000e-06,-2.525670e+04
8.500000e-07,-2.524150e+04
7.200000e-07,-2.522950e+04
2.440000e-06,-2.522090e+04
4.920000e-06,-2.521310e+04
6.160000e-06,-2.520020e+04
6.000000e-06,-2.518180e+04
5.530000e-06,-25166
4.900000e-06,-2.515870e+04
3.590000e-06,-2.516420e+04
2.210000e-06,-2.517830e+04
2.490000e-06,-25192
4.620000e-06,-2.520510e+04
6.780000e-06,-2.521790e+04
8.170000e-06,-2.522820e+04
9.170000e-06,-2.523290e+04
8.690000e-06,-2.523220e+04
5.850000e-06,-2.523190e+04
2.150000e-06,-2.523650e+04
-8.100000e-07,-2.524540e+04
-2.020000e-06,-2.525470e+04
-1.330000e-06,-2.525760e+04
1.200000e-07,-2.524540e+04
1.740000e-06,-2.522290e+04
3.110000e-06,-2.520110e+04
2.940000e-06,-2.517670e+04
2.020000e-06,-2.514350e+04
2.700000e-06,-2.510140e+04
4.470000e-06,-25050
5.140000e-06,-2.499120e+04
5.260000e-06,-2.492940e+04
6.430000e-06,-2.486650e+04
8.170000e-06,-2.480440e+04
9.470000e-06,-2.474160e+04
1.065000e-05,-2.467670e+04
1.182000e-05,-2.461710e+04
1.179000e-05,-2.457320e+04
1.101000e-05,-2.454920e+04
1.131000e-05,-2.453810e+04
1.272000e-05,-2.453010e+04
1.369000e-05,-2.452340e+04
1.381000e-05,-2.451890e+04
1.344000e-05,-2.451850e+04
1.252000e-05,-2.452260e+04
1.039000e-05,-24529
7.260000e-06,-2.453590e+04
5.200000e-06,-2.454140e+04
4.710000e-06,-2.454930e+04
4.780000e-06,-2.456410e+04
5.400000e-06,-2.458240e+04
6.190000e-06,-2.459910e+04
6.650000e-06,-2.461270e+04
6.780000e-06,-2.462510e+04
6.190000e-06,-24640
4.940000e-06,-24651
4.050000e-06,-2.465090e+04
4.140000e-06,-2.464690e+04
4.220000e-06,-2.464640e+04
4.440000e-06,-2.464150e+04
5.620000e-06,-2.463080e+04
6.790000e-06,-2.462590e+04
7.540000e-06,-2.462630e+04
7.470000e-06,-2.462920e+04
6.330000e-06,-2.463580e+04
5.110000e-06,-2.464140e+04
4.870000e-06,-2.464090e+04
5.870000e-06,-2.463440e+04
6.100000e-06,-2.462590e+04
4.680000e-06,-2.461590e+04
3.850000e-06,-2.460210e+04
4.250000e-06,-2.458790e+04
4.720000e-06,-2.458040e+04
5.000000e-06,-2.456590e+04
5.630000e-06,-2.448090e+04
7.390000e-06,-2.427960e+04
9.450000e-06,-2.401520e+04
1.053000e-05,-2.376450e+04
1.071000e-05,-2.356470e+04
9.800000e-06,-2.342940e+04
7.510000e-06,-2.335050e+04
4.910000e-06,-2.330660e+04
3.450000e-06,-2.328480e+04
3.300000e-06,-2.328510e+04
3.850000e-06,-2.330170e+04
4.230000e-06,-23324
4.200000e-06,-2.334720e+04
4.650000e-06,-2.337090e+04
