Chord Rotation [rads],Moment [kN-mm]
3.546869e-07,2.262768e+04
-8.499770e-08,2.340260e+04
-4.764881e-07,2.347559e+04
-5.744683e-07,2.350972e+04
-4.101123e-08,2.351050e+04
-5.290763e-07,2.353990e+04
7.259915e-07,2.359351e+04
2.379286e-07,2.357092e+04
-4.981051e-07,2.353751e+04
1.468264e-06,2.356622e+04
8.361981e-07,2.353693e+04
1.508177e-07,2.349954e+04
1.956588e-07,2.345229e+04
-1.091074e-06,2.343392e+04
-1.511167e-07,2.332909e+04
-9.308083e-07,2.325754e+04
6.256303e-07,2.318265e+04
-1.181231e-07,2.316242e+04
4.392998e-07,2.307806e+04
5.758726e-07,2.313871e+04
1.350098e-07,2.312118e+04
2.757906e-07,2.318616e+04
1.351849e-07,2.322204e+04
-1.791479e-07,2.333062e+04
5.281506e-07,2.332452e+04
-7.103451e-07,2.327495e+04
-8.924395e-07,2.328220e+04
-3.401870e-07,2.314054e+04
-6.113730e-07,2.298280e+04
4.264236e-07,2.297714e+04
-1.222034e-06,2.308211e+04
3.592606e-08,2.306232e+04
2.829736e-07,2.318346e+04
-1.154640e-06,2.313208e+04
-1.068529e-06,2.297685e+04
-3.268984e-08,2.296029e+04
-1.008861e-07,2.294111e+04
6.186204e-07,2.272774e+04
4.950936e-08,2.290485e+04
-3.131202e-07,2.304580e+04
-9.309305e-08,2.281713e+04
2.167348e-07,2.258673e+04
-1.076437e-06,2.254481e+04
-2.739231e-07,2.249290e+04
7.870228e-07,2.244503e+04
1.600297e-07,2.239349e+04
4.733765e-07,2.235132e+04
-1.481720e-06,2.253567e+04
-1.283230e-06,2.224148e+04
5.678066e-07,2.225654e+04
5.918251e-08,2.246506e+04
-8.392131e-07,2.266880e+04
3.393096e-07,2.235362e+04
-4.390546e-07,2.262116e+04
-1.518429e-06,2.228831e+04
-8.741045e-07,2.194120e+04
4.833081e-07,2.157511e+04
-8.713799e-07,2.150827e+04
3.579178e-07,2.145858e+04
6.253443e-07,2.173398e+04
4.051143e-07,2.168949e+04
4.876941e-07,2.164687e+04
-1.167762e-06,2.196061e+04
-5.503101e-07,2.160018e+04
1.252040e-06,2.118244e+04
7.501728e-08,2.110132e+04
-3.502395e-07,2.103067e+04
4.111744e-08,2.100096e+04
1.728071e-07,2.087690e+04
3.914993e-07,2.123039e+04
3.826931e-07,2.117891e+04
-7.053707e-07,2.155719e+04
9.704140e-07,2.109489e+04
-2.399730e-07,2.148242e+04
9.501042e-07,2.144370e+04
-3.973552e-07,2.136813e+04
6.960365e-07,2.134891e+04
-7.097666e-07,2.177613e+04
-2.907784e-07,2.131621e+04
1.783507e-07,2.082822e+04
-4.551487e-07,2.125765e+04
-8.255328e-07,2.073262e+04
9.239025e-07,2.021468e+04
3.698840e-07,2.015225e+04
-4.935079e-07,2.059281e+04
1.135047e-06,2.056420e+04
8.756205e-07,2.101700e+04
1.576948e-07,2.146827e+04
-9.680727e-07,2.138171e+04
-5.457865e-07,2.081143e+04
-6.140233e-07,2.079409e+04
-6.719301e-08,2.079053e+04
2.861809e-08,2.017577e+04
2.129248e-07,2.067060e+04
-1.338050e-07,2.117693e+04
-4.422919e-07,2.058159e+04
1.335536e-07,1.991412e+04
-4.746561e-07,1.986343e+04
-8.702601e-07,1.928478e+04
2.900446e-07,1.925929e+04
1.312883e-07,1.917391e+04
3.733087e-07,1.973318e+04
6.555353e-07,2.025205e+04
-6.358992e-08,2.077694e+04
1.245838e-07,2.010995e+04
-1.248202e-06,2.002942e+04
-8.945959e-07,1.937346e+04
-5.897256e-07,1.875045e+04
6.588194e-07,1.803685e+04
1.642665e-07,1.858771e+04
2.039888e-07,1.854525e+04
1.082777e-06,1.846343e+04
1.238866e-08,1.905546e+04
-6.722100e-09,1.899497e+04
1.617317e-07,1.896208e+04
6.507000e-07,1.955395e+04
-7.512240e-07,1.950206e+04
6.206860e-07,1.944277e+04
-6.264801e-07,2.007534e+04
-2.805717e-07,2.007481e+04
3.526715e-07,1.935061e+04
-1.036659e-06,1.930153e+04
-5.070976e-07,1.858060e+04
-6.400826e-07,1.785953e+04
6.133069e-07,1.709810e+04
2.609680e-07,1.779354e+04
1.124868e-07,1.771529e+04
2.440313e-07,1.842476e+04
3.748947e-07,1.836137e+04
-6.110723e-07,1.828710e+04
2.348414e-07,1.829703e+04
-7.758980e-07,1.904281e+04
4.489318e-07,1.900754e+04
3.213782e-07,1.896794e+04
-4.115672e-08,1.891751e+04
-1.306272e-07,1.888637e+04
-2.037199e-07,1.886854e+04
4.455841e-07,1.801718e+04
8.766706e-07,1.882360e+04
-3.634402e-07,1.878243e+04
-3.548198e-07,1.793082e+04
4.435955e-07,1.708716e+04
-1.282203e-07,1.706904e+04
4.757918e-07,1.615716e+04
1.811231e-09,1.611550e+04
9.750614e-07,1.698029e+04
4.576483e-07,1.694224e+04
3.057135e-07,1.776227e+04
9.823144e-08,1.773285e+04
-3.776422e-07,1.860843e+04
5.645853e-07,1.855235e+04
-7.491349e-07,1.849557e+04
2.788762e-07,1.849604e+04
-3.833334e-07,1.845022e+04
-3.090877e-07,1.842260e+04
8.236758e-07,1.748965e+04
-4.457814e-07,1.840329e+04
3.669537e-07,1.745793e+04
-7.894099e-08,1.742286e+04
1.216029e-06,1.743657e+04
-2.149064e-07,1.840100e+04
8.848043e-07,1.741231e+04
1.899346e-07,1.736277e+04
-1.430913e-07,1.830916e+04
-7.606811e-07,1.828826e+04
3.208705e-07,1.723493e+04
3.918653e-07,1.820945e+04
-4.368095e-07,1.917613e+04
-6.892964e-07,1.813824e+04
6.011687e-07,1.810561e+04
-3.524259e-07,1.908450e+04
-2.062269e-08,1.798780e+04
7.171865e-07,1.801191e+04
-5.707398e-07,1.903028e+04
-2.670883e-07,1.797734e+04
5.305026e-08,1.691923e+04
-4.291339e-07,1.689944e+04
-5.719678e-08,1.577086e+04
7.345301e-07,1.575912e+04
6.286209e-07,1.679750e+04
1.222545e-07,1.674980e+04
1.818779e-07,1.669177e+04
-3.009262e-07,1.664008e+04
-7.557456e-07,1.660330e+04
2.679829e-07,1.657868e+04
5.427264e-07,1.765519e+04
7.641678e-08,1.761869e+04
-5.589630e-08,1.873587e+04
-1.980442e-07,1.757714e+04
-8.977066e-07,1.643285e+04
5.052777e-07,1.643553e+04
-2.726008e-07,1.756706e+04
6.991086e-07,1.753688e+04
1.449499e-07,1.868231e+04
-7.254982e-07,1.981907e+04
-2.710457e-07,1.980426e+04
-7.481146e-07,1.861175e+04
-2.587715e-07,1.738175e+04
-3.374916e-07,1.612599e+04
-1.342009e-06,1.611531e+04
1.679367e-07,1.486401e+04
8.371457e-07,1.602086e+04
3.819924e-07,1.598722e+04
-1.017456e-07,1.724909e+04
8.036194e-08,1.725728e+04
-6.852319e-08,1.848834e+04
3.843156e-07,1.721505e+04
-1.544367e-06,1.845724e+04
-7.283742e-07,1.717136e+04
-3.821994e-07,1.586137e+04
6.410646e-07,1.583157e+04
-1.218006e-06,1.709506e+04
5.837544e-07,1.581773e+04
2.438981e-07,1.709571e+04
-1.004137e-07,1.839348e+04
-4.081732e-07,1.710518e+04
7.666160e-07,1.715496e+04
-2.412438e-07,1.845730e+04
-2.600815e-07,1.709290e+04
3.546357e-07,1.707841e+04
-3.761584e-07,1.700664e+04
-7.406882e-07,1.696355e+04
6.613647e-07,1.692191e+04
-7.995350e-08,1.823674e+04
2.308896e-07,1.823138e+04
-3.567031e-07,1.958167e+04
-7.222585e-07,1.814808e+04
-3.414779e-07,1.672359e+04
-1.110365e-07,1.671832e+04
-1.592558e-07,1.672074e+04
1.864086e-07,1.670850e+04
5.601115e-07,1.669410e+04
-1.546694e-07,1.808932e+04
-2.505099e-07,1.806313e+04
-4.338110e-07,1.659669e+04
1.852964e-07,1.660357e+04
-7.872126e-07,1.800091e+04
-6.169094e-07,1.655096e+04
2.153579e-08,1.656789e+04
-2.546496e-07,1.653989e+04
-6.482522e-08,1.503749e+04
5.933951e-08,1.357289e+04
-2.900847e-08,1.502997e+04
6.423306e-07,1.503581e+04
1.221238e-08,1.649178e+04
4.056457e-07,1.647331e+04
-7.397351e-07,1.642518e+04
-5.285604e-08,1.642079e+04
-2.070399e-07,1.489799e+04
2.074000e-07,1.339009e+04
1.172521e-06,1.336611e+04
-4.739329e-07,1.490021e+04
3.003689e-07,1.493098e+04
2.423038e-07,1.491647e+04
1.471797e-07,1.493136e+04
-7.971637e-07,1.492650e+04
-7.572499e-07,1.499332e+04
2.484873e-07,1.344026e+04
1.098867e-06,1.342496e+04
3.927535e-07,1.336057e+04
-1.041670e-06,1.495207e+04
3.965076e-07,1.333089e+04
4.324231e-07,1.326994e+04
3.516774e-07,1.323469e+04
-4.681431e-07,1.321332e+04
6.207582e-07,1.155256e+04
8.676677e-07,1.151559e+04
3.323922e-07,1.319113e+04
1.247110e-07,1.482500e+04
4.891326e-07,1.647681e+04
9.452668e-07,1.817676e+04
-7.715953e-07,1.983672e+04
-5.792651e-07,1.813226e+04
-2.828639e-07,1.817890e+04
-4.557272e-08,1.818961e+04
-2.781110e-07,1.813984e+04
2.725609e-07,1.644014e+04
-1.104040e-07,1.812856e+04
-6.368726e-07,1.636684e+04
-2.585009e-07,1.461146e+04
