Chord Rotation [rads],Moment [kN-mm]
-4.266647e-07,1.365135e+04
4.870283e-08,1.337982e+04
2.341026e-08,1.354260e+04
-1.890095e-07,1.356383e+04
4.256411e-09,1.356290e+04
-1.047046e-07,1.362229e+04
-5.105668e-08,1.345540e+04
1.082982e-06,1.362691e+04
1.093437e-06,1.350929e+04
-6.351219e-07,1.369327e+04
-1.033949e-06,1.377815e+04
-4.299170e-07,1.362062e+04
-3.402424e-07,1.372053e+04
-6.721089e-07,1.358831e+04
1.439708e-07,1.357507e+04
7.886976e-08,1.364750e+04
6.418114e-07,1.355183e+04
6.062037e-07,1.368471e+04
6.906873e-08,1.361820e+04
-1.187368e-06,1.381815e+04
-6.803796e-08,1.386094e+04
-1.414805e-07,1.381755e+04
1.492327e-06,1.363125e+04
3.291190e-07,1.376038e+04
1.457159e-06,1.362540e+04
4.915386e-08,1.348425e+04
2.784831e-07,1.368773e+04
-1.557105e-07,1.384138e+04
1.653680e-07,1.367165e+04
2.630839e-07,1.381873e+04
7.649832e-07,1.370054e+04
-9.439189e-07,1.396583e+04
-1.973459e-07,1.393610e+04
3.077372e-07,1.385780e+04
-5.690296e-07,1.352911e+04
-5.915594e-07,1.398521e+04
6.089835e-07,1.420368e+04
-6.915925e-08,1.421506e+04
8.725566e-08,1.414276e+04
-5.840301e-07,1.449866e+04
-2.196790e-07,1.429316e+04
-5.936073e-07,1.412988e+04
2.474413e-07,1.400563e+04
7.658140e-07,1.404248e+04
2.111029e-07,1.408759e+04
1.204634e-07,1.410959e+04
-5.645045e-07,1.429439e+04
6.745019e-07,1.417080e+04
3.775624e-07,1.426364e+04
-7.338571e-07,1.424385e+04
1.023715e-06,1.405828e+04
-1.610882e-06,1.420457e+04
4.717950e-09,1.401023e+04
2.469231e-08,1.414227e+04
-1.606857e-07,1.434405e+04
7.006681e-07,1.422892e+04
3.134008e-07,1.420259e+04
7.064784e-07,1.411144e+04
-2.769767e-07,1.426180e+04
2.894385e-08,1.417005e+04
-1.150436e-06,1.439135e+04
1.653854e-07,1.417393e+04
-1.997895e-07,1.438311e+04
-1.548859e-07,1.430142e+04
-1.275240e-06,1.435175e+04
6.962950e-07,1.411283e+04
4.698119e-07,1.416586e+04
-6.411225e-07,1.429147e+04
-7.800669e-08,1.437650e+04
-6.564743e-07,1.438876e+04
3.960875e-07,1.410820e+04
5.506017e-07,1.411799e+04
-7.973730e-07,1.438800e+04
-5.941009e-07,1.426483e+04
1.939349e-07,1.413065e+04
-1.065487e-07,1.424991e+04
5.042886e-07,1.397491e+04
7.371617e-08,1.407583e+04
-3.980416e-07,1.415764e+04
-8.266123e-07,1.411326e+04
3.806962e-07,1.389313e+04
-5.489160e-07,1.322310e+04
-1.258975e-08,1.284291e+04
-5.555345e-07,1.322614e+04
-8.315176e-07,1.370886e+04
-6.457909e-07,1.376560e+04
5.963294e-07,1.342961e+04
-3.463437e-08,1.367397e+04
-7.221281e-07,1.398675e+04
-1.646406e-07,1.367536e+04
-5.086273e-07,1.358778e+04
1.131194e-06,1.351823e+04
-7.623002e-08,1.365539e+04
9.021182e-08,1.355123e+04
-4.936591e-08,1.364295e+04
1.410075e-06,1.355455e+04
-7.369492e-07,1.365467e+04
3.539219e-07,1.349591e+04
-4.146752e-07,1.370988e+04
-4.475975e-08,1.372380e+04
-1.025993e-07,1.370786e+04
2.859962e-07,1.361275e+04
3.938478e-07,1.358080e+04
1.223193e-06,1.364596e+04
4.895012e-07,1.359356e+04
-4.781463e-07,1.375854e+04
1.260101e-06,1.362913e+04
6.185566e-08,1.357923e+04
3.726011e-07,1.368552e+04
3.408324e-07,1.350068e+04
-1.471795e-08,1.370283e+04
1.653754e-07,1.366827e+04
-1.849721e-07,1.384379e+04
1.954439e-07,1.420875e+04
-9.415338e-07,1.609181e+04
7.045422e-07,1.790115e+04
-4.268119e-07,1.833295e+04
1.186585e-07,1.818205e+04
-3.016601e-07,1.768088e+04
9.746362e-08,1.753873e+04
2.004798e-07,1.747257e+04
1.693052e-07,1.769217e+04
4.400429e-07,1.775115e+04
4.202806e-07,1.769930e+04
5.294276e-07,1.739068e+04
2.848349e-07,1.747780e+04
1.003764e-07,1.752503e+04
