Chord Rotation [rads],Moment [kN-mm]
0,0
2.720198e-03,1.037961e+05
-2.323898e-03,-1.295662e+05
2.961885e-03,1.052278e+05
-2.332036e-03,-1.281345e+05
2.720198e-03,1.037961e+05
4.637825e-03,1.839696e+05
5.667232e-03,2.226247e+05
7.736623e-03,2.541215e+05
8.719645e-03,2.569848e+05
4.321672e-03,-2.147505e+03
5.186960e-05,-1.739479e+05
-5.338882e-03,-2.584165e+05
-7.679661e-03,-2.641432e+05
-5.810449e-03,-1.095228e+05
-1.038150e-03,8.375271e+04
1.889760e-03,1.839696e+05
4.453511e-03,2.383731e+05
6.905776e-03,2.684382e+05
8.304221e-03,2.641432e+05
4.321672e-03,-2.147505e+03
4.373207e-05,-1.725163e+05
-4.855509e-03,-2.555531e+05
-7.554749e-03,-2.641432e+05
-5.693674e-03,-1.080911e+05
-1.179337e-03,8.661605e+04
2.006535e-03,1.854013e+05
4.687060e-03,2.412364e+05
6.913913e-03,2.670065e+05
9.613153e-03,2.755965e+05
1.381947e-02,2.827549e+05
1.763479e-02,2.927766e+05
1.835984e-02,2.970716e+05
1.205808e-02,-7.158351e+02
9.292921e-03,-1.295662e+05
6.210398e-03,-2.025813e+05
9.718202e-04,-2.698698e+05
-6.468788e-03,-3.013666e+05
-1.219033e-02,-3.056616e+05
-1.743664e-02,-3.056616e+05
-1.285964e-02,-7.802603e+04
-8.733871e-03,7.516269e+04
-5.615949e-03,1.639262e+05
-3.953844e-03,2.011497e+05
-4.861077e-05,2.612798e+05
2.520428e-03,2.927766e+05
5.703041e-03,3.042299e+05
1.044970e-02,3.042299e+05
1.554668e-02,3.085249e+05
1.856898e-02,3.042299e+05
1.270990e-02,1.646421e+04
8.972708e-03,-9.520607e+04
5.528875e-03,-1.925597e+05
3.206811e-03,-2.455315e+05
-2.221779e-03,-3.013666e+05
-6.004540e-03,-3.171150e+05
-1.714612e-02,-3.128200e+05
-1.732800e-02,-3.027983e+05
-1.271031e-02,-8.232104e+04
-6.604668e-03,1.181128e+05
-3.095735e-03,2.040130e+05
-1.175668e-03,2.398048e+05
1.276596e-03,2.698698e+05
5.135444e-03,2.942082e+05
1.025684e-02,2.942082e+05
1.724377e-02,2.956399e+05
2.101555e-02,2.913449e+05
2.656050e-02,2.827549e+05
2.723389e-02,2.741649e+05
2.699749e-02,2.498265e+05
1.923747e-02,-5.511931e+04
1.606258e-02,-1.338612e+05
1.090253e-02,-2.369414e+05
6.182727e-03,-2.856182e+05
5.506983e-04,-3.056616e+05
-8.225695e-03,-2.999349e+05
-2.628627e-02,-2.870499e+05
-2.569670e-02,-2.369414e+05
-1.893638e-02,2.147505e+03
-1.570982e-02,9.377440e+04
-8.523915e-03,2.140347e+05
-3.904609e-03,2.584165e+05
-6.133592e-04,2.727332e+05
1.114465e-02,2.698698e+05
2.113761e-02,2.698698e+05
2.791541e-02,2.641432e+05
2.197537e-02,5.655098e+04
1.850427e-02,-5.798265e+04
1.576393e-02,-1.252711e+05
1.109824e-02,-2.054447e+05
7.711782e-03,-2.469631e+05
2.470765e-03,-2.698698e+05
-6.873226e-03,-2.741649e+05
-1.222817e-02,-2.770282e+05
-1.885664e-02,-2.755965e+05
-2.401872e-02,-2.684382e+05
-2.668257e-02,-2.612798e+05
-2.677208e-02,-2.455315e+05
-2.113353e-02,-5.082430e+04
-1.704601e-02,6.514100e+04
-1.312980e-02,1.453145e+05
-9.349474e-03,2.054447e+05
-6.272649e-03,2.355098e+05
-1.982103e-03,2.498265e+05
1.456610e-02,2.612798e+05
2.634038e-02,2.555531e+05
3.607538e-02,2.569848e+05
3.629794e-02,2.398048e+05
2.745725e-02,-5.082430e+04
2.389949e-02,-1.281345e+05
1.941039e-02,-1.954230e+05
1.574969e-02,-2.326464e+05
1.225744e-02,-2.555531e+05
9.816162e-03,-2.655748e+05
-3.594233e-02,-2.584165e+05
-3.601557e-02,-2.455315e+05
-3.314747e-02,-1.567679e+05
-2.703654e-02,2.075922e+04
-2.127634e-02,1.281345e+05
-1.409613e-02,2.054447e+05
-9.254263e-03,2.326464e+05
-6.353324e-04,2.326464e+05
-9.990819e-04,2.526898e+05
5.919905e-03,2.440998e+05
2.269067e-02,2.383731e+05
3.625441e-02,2.254881e+05
3.325855e-02,1.152495e+05
2.550463e-02,-8.088937e+04
2.059726e-02,-1.624946e+05
1.548644e-02,-2.083080e+05
9.536637e-03,-2.383731e+05
-2.468926e-02,-2.383731e+05
-3.220840e-02,-2.340781e+05
-3.599644e-02,-2.269197e+05
-2.916574e-02,-2.219089e+04
-2.277813e-02,1.066594e+05
-1.427801e-02,2.154664e+05
-1.026983e-02,2.355098e+05
1.128827e-02,2.226247e+05
4.349646e-02,2.040130e+05
4.610333e-02,2.068764e+05
4.562525e-02,1.811063e+05
3.802066e-02,-1.932755e+04
2.980820e-02,-1.567679e+05
2.606327e-02,-2.011497e+05
2.339659e-02,-2.154664e+05
1.898113e-02,-2.297831e+05
1.139404e-02,-2.355098e+05
-8.798871e-04,-2.297831e+05
-1.132082e-02,-2.168980e+05
-1.586648e-02,-2.083080e+05
-1.431017e-02,-1.524729e+05
-1.003020e-02,-9.234273e+04
-7.759807e-03,-5.225597e+04
-4.256571e-03,-9.305857e+03
-7.072995e-03,-8.518438e+04
-1.010384e-02,-1.453145e+05
-1.358267e-02,-1.925597e+05
-1.744151e-02,-2.168980e+05
-2.203071e-02,-2.226247e+05
-3.066591e-02,-2.197614e+05
-3.630323e-02,-2.168980e+05
-4.154140e-02,-2.183297e+05
