Chord Rotation [rads],Moment [kN-mm]
-4.334457e-04,-8.118081e+02
-3.130441e-03,-9.660517e+04
-3.997333e-03,-1.274539e+05
-1.685622e-03,-5.682657e+03
2.070907e-03,1.274539e+05
-5.297670e-04,-1.055351e+04
-4.286297e-03,-1.323247e+05
-5.056867e-03,-1.534317e+05
-6.886971e-03,-1.972694e+05
-7.561220e-03,-2.167528e+05
-8.139148e-03,-2.281181e+05
-7.561220e-03,-1.826568e+05
-4.334457e-04,1.160886e+05
2.456193e-03,2.053875e+05
6.694329e-03,2.800738e+05
7.272256e-03,2.800738e+05
6.405365e-03,2.281181e+05
-1.781944e-03,-8.523985e+04
-5.827437e-03,-2.102583e+05
-8.042827e-03,-2.378598e+05
-8.139148e-03,-2.313653e+05
-7.657541e-03,-1.794096e+05
-3.371245e-04,1.128413e+05
2.648835e-03,2.053875e+05
6.694329e-03,2.800738e+05
7.175935e-03,2.833210e+05
6.405365e-03,2.281181e+05
-1.781944e-03,-8.199262e+04
-6.020080e-03,-2.102583e+05
-8.331790e-03,-2.492251e+05
-1.372578e-02,-2.557196e+05
-1.574853e-02,-2.524723e+05
-9.969252e-03,-1.055351e+04
-6.212722e-03,1.339483e+05
-3.130441e-03,2.053875e+05
2.648835e-03,2.849446e+05
5.345831e-03,2.963100e+05
1.526692e-02,3.222878e+05
5.634795e-03,-1.380074e+04
1.878265e-03,-1.063469e+05
-1.685622e-03,-1.859041e+05
-6.501686e-03,-2.573432e+05
-1.025822e-02,-2.800738e+05
-1.468899e-02,-2.784502e+05
-1.545956e-02,-2.752030e+05
-1.362946e-02,-1.940221e+05
-7.079614e-03,6.088561e+04
-1.878265e-03,2.005166e+05
2.648835e-03,2.800738e+05
1.420739e-02,3.109225e+05
5.538473e-03,-1.542435e+04
-2.841478e-03,-2.183764e+05
-7.657541e-03,-2.735793e+05
-1.334050e-02,-2.930627e+05
-1.757863e-02,-2.898155e+05
-2.297262e-02,-2.719557e+05
-2.143148e-02,-2.086347e+05
-1.517060e-02,3.977860e+04
-8.331790e-03,2.183764e+05
-3.901012e-03,2.865683e+05
-1.396659e-03,3.092989e+05
2.268366e-02,3.693727e+05
1.603749e-02,1.371956e+05
8.139148e-03,-9.173432e+04
8.187308e-04,-2.264945e+05
-3.515727e-03,-2.670849e+05
-7.079614e-03,-2.784502e+05
-1.401475e-02,-2.800738e+05
-2.027563e-02,-2.557196e+05
-2.277998e-02,-2.459779e+05
-2.335791e-02,-2.411070e+05
-2.200941e-02,-1.988930e+05
-1.545956e-02,3.166052e+04
-9.295003e-03,1.859041e+05
-3.804690e-03,2.768266e+05
-4.816064e-05,3.044280e+05
4.382618e-03,3.157934e+05
2.249102e-02,3.563838e+05
1.777128e-02,1.972694e+05
9.776610e-03,-3.490775e+04
2.745156e-03,-1.745387e+05
-2.070907e-03,-2.329889e+05
-7.753863e-03,-2.557196e+05
-1.170304e-02,-2.573432e+05
-2.056459e-02,-2.362362e+05
-3.000408e-02,-1.923985e+05
-2.913719e-02,-1.566790e+05
-2.297262e-02,2.516605e+04
-1.921609e-02,1.242066e+05
-1.719335e-02,1.647970e+05
-1.440003e-02,2.037638e+05
-8.524433e-03,2.654613e+05
-6.309044e-03,2.816974e+05
1.045086e-02,3.206642e+05
2.383952e-02,3.482657e+05
2.981143e-02,3.596310e+05
2.027563e-02,7.712177e+04
1.430371e-02,-7.225092e+04
5.153188e-03,-1.972694e+05
-3.371245e-04,-2.362362e+05
-9.295003e-03,-2.427306e+05
-1.642278e-02,-2.346125e+05
-2.345423e-02,-2.086347e+05
-2.932983e-02,-1.826568e+05
-2.990776e-02,-1.761624e+05
-2.855926e-02,-1.307011e+05
-2.345423e-02,4.140221e+04
-2.056459e-02,1.128413e+05
-1.757863e-02,1.810332e+05
-1.391842e-02,2.411070e+05
-1.073982e-02,2.605904e+05
2.456193e-03,2.963100e+05
2.461009e-02,3.385240e+05
3.029304e-02,3.498893e+05
2.942615e-02,3.206642e+05
1.950506e-02,6.250923e+04
1.430371e-02,-6.900369e+04
5.153188e-03,-1.956458e+05
-3.371245e-04,-2.362362e+05
-1.189568e-02,-2.362362e+05
-2.008299e-02,-2.135055e+05
-2.836662e-02,-1.761624e+05
-3.665025e-02,-1.388192e+05
-3.549439e-02,-9.985240e+04
-3.115993e-02,3.815498e+04
-2.769237e-02,1.209594e+05
-2.191309e-02,1.956458e+05
-1.545956e-02,2.378598e+05
2.615123e-02,3.222878e+05
3.770978e-02,3.287823e+05
2.846294e-02,9.985240e+04
1.969770e-02,-8.036900e+04
1.324418e-02,-1.615498e+05
6.790650e-03,-2.102583e+05
3.130441e-03,-2.216236e+05
-9.969252e-03,-2.167528e+05
-1.334050e-02,-2.118819e+05
-2.037195e-02,-1.907749e+05
-2.672915e-02,-1.583026e+05
-3.713185e-02,-1.128413e+05
-3.626496e-02,-8.523985e+04
-2.875190e-02,8.523985e+04
-2.461009e-02,1.485609e+05
-2.181677e-02,1.826568e+05
-1.815656e-02,2.053875e+05
-9.487646e-03,2.411070e+05
-2.263550e-03,2.557196e+05
9.102361e-03,2.816974e+05
1.709703e-02,2.930627e+05
2.383952e-02,2.979336e+05
2.682548e-02,2.995572e+05
3.636128e-02,3.328413e+04
