Chord Rotation [rads],Moment [kN-mm]
0,0
3.000000e-06,7.038401e+03
1.700000e-05,1.548435e+04
0,2.393051e+04
0,1.407581e+03
0,0
1.000000e-05,4.223047e+04
1.000000e-05,1.126139e+04
3.000000e-06,-1.126152e+04
0,-1.407705e+03
3.000000e-06,2.111524e+04
3.000000e-06,1.407581e+03
0,-4.223047e+04
-3.000000e-06,-5.349191e+04
0,-1.407705e+03
1.700000e-05,1.689210e+04
1.400000e-05,-2.393062e+04
3.000000e-06,-4.223047e+04
-7.000000e-06,-4.645350e+04
-2.100000e-05,-2.956128e+04
3.000000e-06,5.489898e+04
2.400000e-05,9.290643e+04
2.400000e-05,1.548435e+04
1.700000e-05,1.407682e+04
2.400000e-05,3.096892e+04
2.100000e-05,1.548435e+04
1.700000e-05,9.853686e+03
1.400000e-05,1.407581e+03
0,-1.829996e+04
-7.000000e-06,-3.096903e+04
-7.000000e-06,1.126139e+04
3.100000e-05,6.756896e+04
3.500000e-05,1.407682e+04
3.500000e-05,3.519206e+04
3.500000e-05,2.111524e+04
3.100000e-05,4.222991e+03
2.400000e-05,9.853686e+03
1.400000e-05,-2.533837e+04
-3.000000e-06,-9.712990e+04
-2.100000e-05,-1.182447e+05
-3.800000e-05,-1.337301e+05
-5.600000e-05,-1.534367e+05
-6.300000e-05,-1.435840e+05
-7.600000e-05,-9.290699e+04
-7.300000e-05,-8.868397e+04
-7.300000e-05,-7.883017e+04
-4.900000e-05,-1.407705e+03
-4.500000e-05,-1.266919e+04
-2.400000e-05,4.504575e+04
-7.000000e-06,1.126139e+04
7.000000e-06,1.689210e+04
-1.000000e-05,-1.126152e+04
3.000000e-06,5.067641e+04
2.800000e-05,1.069835e+05
3.800000e-05,1.280986e+05
6.600000e-05,7.460692e+04
8.700000e-05,1.027610e+05
1.110000e-04,9.290643e+04
1.390000e-04,1.083918e+05
1.630000e-04,1.083918e+05
1.940000e-04,1.266919e+05
2.290000e-04,1.224671e+05
2.640000e-04,1.280986e+05
3.130000e-04,1.449907e+05
3.650000e-04,1.492143e+05
3.960000e-04,1.576592e+05
4.170000e-04,1.632907e+05
4.440000e-04,1.661064e+05
4.620000e-04,1.689210e+05
4.860000e-04,1.661064e+05
4.970000e-04,1.717367e+05
5.210000e-04,1.787760e+05
5.350000e-04,1.801828e+05
5.520000e-04,1.844063e+05
5.900000e-04,1.914445e+05
5.970000e-04,1.970749e+05
6.320000e-04,2.069288e+05
6.670000e-04,222413
6.940000e-04,2.308590e+05
7.190000e-04,2.266366e+05
7.430000e-04,2.435287e+05
7.640000e-04,2.561983e+05
7.880000e-04,2.505669e+05
8.090000e-04,2.519747e+05
8.260000e-04,2.533826e+05
8.370000e-04,2.604208e+05
8.540000e-04,2.688668e+05
8.680000e-04,2.773129e+05
8.400000e-04,1.520289e+05
8.090000e-04,1.126144e+05
7.780000e-04,8.727565e+04
7.530000e-04,6.052987e+04
7.290000e-04,4.926877e+04
7.010000e-04,4.363800e+04
6.700000e-04,4.363800e+04
6.390000e-04,4.363800e+04
6.080000e-04,3.237656e+04
5.690000e-04,2.674590e+04
5.520000e-04,1.407682e+04
5.350000e-04,1.548435e+04
4.900000e-04,1.407581e+03
4.480000e-04,-5.630820e+03
4.060000e-04,-7.038401e+03
3.650000e-04,-1.407682e+04
3.440000e-04,-2.393062e+04
3.160000e-04,-2.815365e+04
2.950000e-04,-2.674601e+04
2.740000e-04,-4.223047e+04
2.470000e-04,-3.519206e+04
2.260000e-04,-5.489966e+04
1.980000e-04,-4.786125e+04
1.810000e-04,-6.475334e+04
1.490000e-04,-6.053032e+04
1.320000e-04,-6.897637e+04
