Chord Rotation [rads],Moment [kN-mm]
0,7.321104e+01
3.741007e-03,8.596288e+05
-2.158273e-03,-5.907402e+05
4.028777e-03,8.596288e+05
-2.014388e-03,-5.825920e+05
4.316547e-04,4.074070e+03
3.741007e-03,8.596288e+05
-2.158273e-03,-5.907402e+05
2.877698e-04,-2.037035e+04
4.028777e-03,8.514807e+05
-2.014388e-03,-5.825920e+05
4.316547e-04,-4.074070e+03
3.597122e-03,8.514807e+05
-2.158273e-03,-5.825920e+05
0,-2.037035e+04
4.028777e-03,8.759251e+05
-1.870504e-03,-5.825920e+05
1.438849e-04,4.074070e+03
5.755396e-03,1.258888e+06
-4.460432e-03,-1.079629e+06
1.438849e-04,4.074070e+03
5.755396e-03,1.258888e+06
-4.316547e-03,-1.071480e+06
2.877698e-04,-4.074070e+03
5.611511e-03,1.267036e+06
-4.172662e-03,-1.079629e+06
2.877698e-04,-4.074070e+03
5.611511e-03,1.258888e+06
-4.748201e-03,-1.087777e+06
4.316547e-04,4.074070e+03
5.899281e-03,1.275184e+06
-4.172662e-03,-1.071480e+06
1.438849e-04,-1.222221e+04
5.611511e-03,1.267036e+06
-4.316547e-03,-1.063332e+06
4.316547e-04,-4.074070e+03
7.625899e-03,1.715184e+06
-6.906475e-03,-1.707035e+06
1.438849e-04,-1.222221e+04
7.913669e-03,1.731480e+06
-6.762590e-03,-1.690739e+06
0,1.222221e+04
8.057554e-03,1.715184e+06
-6.906475e-03,-1.715184e+06
1.438849e-04,1.222221e+04
8.057554e-03,1.715184e+06
-6.618705e-03,-1.715184e+06
1.438849e-04,-1.222221e+04
8.057554e-03,1.698887e+06
-6.762590e-03,-1.698887e+06
2.877698e-04,2.851849e+04
8.057554e-03,1.731480e+06
-6.762590e-03,-1.715184e+06
1.438849e-04,-1.222221e+04
8.201439e-03,1.829257e+06
1.007194e-02,1.951480e+06
-6.762590e-03,-1.821109e+06
-9.496403e-03,-2.000368e+06
8.057554e-03,1.829257e+06
1.021583e-02,1.967776e+06
-6.618705e-03,-1.812961e+06
-9.496403e-03,-1.984072e+06
7.913669e-03,1.845554e+06
1.007194e-02,1.959628e+06
-6.618705e-03,-1.821109e+06
-9.496403e-03,-1.984072e+06
8.201439e-03,1.837406e+06
9.928058e-03,1.951480e+06
-6.474820e-03,-1.804813e+06
-9.064748e-03,-2.000368e+06
8.489209e-03,1.853702e+06
1.050360e-02,2.114442e+06
1.352518e-02,2.269257e+06
1.410072e-02,1.951480e+06
-7.050360e-03,-1.967776e+06
-1.338129e-02,-2.244813e+06
1.035971e-02,2.122591e+06
1.338129e-02,2.277405e+06
1.410072e-02,1.959628e+06
-6.762590e-03,-1.951480e+06
-1.323741e-02,-2.236664e+06
1.050360e-02,2.114442e+06
1.366906e-02,2.277405e+06
1.568345e-02,2440368
1.827338e-02,2.472961e+06
1.798561e-02,2.269257e+06
1.726619e-03,-7.455548e+05
-7.050360e-03,-2.098146e+06
-1.438849e-02,-2.375183e+06
-1.784173e-02,-2.481109e+06
-3.021583e-03,3.870367e+05
9.208633e-03,2.000368e+06
1.568345e-02,2.424072e+06
1.841727e-02,2.481109e+06
1.798561e-02,2.244813e+06
2.158273e-03,-7.292586e+05
-7.050360e-03,-2.114442e+06
-1.410072e-02,-2.375183e+06
-1.784173e-02,-2.464812e+06
-1.841727e-02,-2.497405e+06
-3.021583e-03,3.788885e+05
1.050360e-02,2.114442e+06
1.568345e-02,2440368
1.985612e-02,2.619627e+06
2.402878e-02,2.725553e+06
2.762590e-02,2.758145e+06
2.748201e-02,2.334442e+06
8.345324e-03,-7.211104e+05
-4.460432e-03,-1.984072e+06
-1.553957e-02,-2.603331e+06
-2.676259e-02,-2.921108e+06
-2.647482e-02,-2.415924e+06
-1.697842e-02,-6.559253e+05
-9.928058e-03,3.870367e+05
-4.028777e-03,1.063332e+06
-1.438849e-03,1.527776e+06
8.057554e-03,2.122591e+06
2.014388e-02,2.611479e+06
2.402878e-02,2.725553e+06
2.791367e-02,2.749997e+06
2.762590e-02,2.309998e+06
8.633094e-03,-7.129623e+05
-4.028777e-03,-1.992220e+06
-1.510791e-02,-2.603331e+06
-2.705036e-02,-2.921108e+06
-2.647482e-02,-2.424072e+06
-1.669065e-02,-6.396290e+05
-9.928058e-03,3.625922e+05
-3.453237e-03,1.095925e+06
-1.007194e-03,1.535924e+06
7.913669e-03,2.147035e+06
1.611511e-02,2.456664e+06
2.014388e-02,2.611479e+06
2.460432e-02,2.733701e+06
3.625899e-02,3.035182e+06
3.654676e-02,2.578886e+06
1.928058e-02,-2.322220e+05
4.604317e-03,-1.649998e+06
-1.151079e-02,-2.505553e+06
-3.553957e-02,-3.100367e+06
-3.525180e-02,-2.529998e+06
-2.244604e-02,-3.788885e+05
-1.712230e-02,4.685181e+05
-4.460432e-03,1.397406e+06
-3.021583e-03,1.943331e+06
6.762590e-03,2.326294e+06
3.625899e-02,3.018886e+06
3.611511e-02,2.978145e+06
3.654676e-02,2.578886e+06
2.100719e-02,-2.851849e+04
4.604317e-03,-1.649998e+06
-1.151079e-02,-2.481109e+06
-3.568345e-02,-3.100367e+06
-3.525180e-02,-2.529998e+06
-2.244604e-02,-3.625922e+05
-1.712230e-02,4.848143e+05
-4.316547e-03,1.405554e+06
-2.877698e-03,1.935183e+06
6.618705e-03,2.342590e+06
3.654676e-02,2.961849e+06
4.532374e-02,3.035182e+06
4.532374e-02,2.546294e+06
2.431655e-02,-1.099999e+05
1.669065e-02,-6.722216e+05
9.352518e-03,-1.315925e+06
2.877698e-04,-2.000368e+06
-3.597122e-02,-2.749997e+06
-4.517986e-02,-2.847775e+06
-4.575540e-02,-2.424072e+06
-3.654676e-02,-1.047036e+06
-2.705036e-02,-1.222221e+04
-1.525180e-02,7.048141e+05
-3.165468e-03,1.910739e+06
1.640288e-02,2.546294e+06
4.517986e-02,2.986293e+06
4.503597e-02,2.489257e+06
2.474820e-02,-1.262962e+05
2.302158e-03,-1.861850e+06
-4.489209e-02,-2.831479e+06
-4.546763e-02,-2.399627e+06
-3.179856e-02,-5.825920e+05
-2.374101e-02,1.018518e+05
-1.496403e-02,7.537030e+05
-3.165468e-03,1.927035e+06
3.597122e-02,2.969997e+06
5.381295e-02,3.035182e+06
5.438849e-02,2.635923e+06
5.237410e-02,2.301850e+06
3.194245e-02,-1.018518e+05
2.302158e-02,-6.070364e+05
1.165468e-02,-1.234443e+06
-1.079137e-02,-2.326294e+06
-4.158273e-02,-2.872219e+06
-5.410072e-02,-2.953701e+06
-5.381295e-02,-2.367035e+06
-3.453237e-02,2.037035e+04
-2.532374e-02,5.744439e+05
-1.712230e-02,9.574065e+05
-3.021583e-03,1.967776e+06
2.647482e-02,2.839627e+06
5.669065e-02,3.084071e+06
6.258993e-02,3.051479e+06
6.374101e-02,3.018886e+06
6.273381e-02,2.513701e+06
5.712230e-02,1.698887e+06
5.064748e-02,9.248139e+05
3.985612e-02,-1.344443e+05
3.136691e-02,-5.825920e+05
1.956835e-02,-1.079629e+06
1.079137e-02,-1.592961e+06
3.165468e-03,-1.927035e+06
-2.474820e-02,-2.668516e+06
-6.316547e-02,-2.945553e+06
-6.374101e-02,-2.505553e+06
