Chord Rotation [rads],Moment [kN-mm]
0,4.685507e+00
2.753623e-03,2.758087e+05
-3.449275e-03,-3.195865e+05
2.898551e-05,2.290506e+03
2.753623e-03,2.758087e+05
2.898551e-05,2.290506e+03
-3.449275e-03,-3.195865e+05
2.898551e-05,2.290506e+03
2.753623e-03,2.802865e+05
-3.391304e-03,-3.172444e+05
-2.898551e-05,-5.163677e+01
2.637681e-03,2.778411e+05
-3.449275e-03,-3.285420e+05
-8.695652e-05,-6.871519e+03
2.695652e-03,2.779443e+05
-3.391304e-03,-3.239610e+05
-2.898551e-05,4.426103e+03
2.637681e-03,2.778411e+05
-3.449275e-03,-3.218254e+05
-2.898551e-05,-5.163677e+01
2.753623e-03,2.758087e+05
5.188406e-03,4.950777e+05
-3.391304e-03,-3.239610e+05
-4.898551e-03,-4.699338e+05
-2.898551e-05,-4.529376e+03
5.304348e-03,4.952843e+05
-4.898551e-03,-4.699338e+05
-2.898551e-05,2.187233e+03
5.072464e-03,4.948712e+05
-4.956522e-03,-4.700371e+05
-2.898551e-05,4.426103e+03
5.130435e-03,4.927356e+05
-5.072464e-03,-4.680047e+05
-2.608696e-04,6.251878e+03
5.130435e-03,4.949744e+05
-4.840580e-03,-4.653528e+05
8.695652e-05,-4.322829e+03
5.304348e-03,4.930454e+05
-4.724638e-03,-4.718628e+05
-2.898551e-05,4.426103e+03
5.246377e-03,4.996587e+05
7.913043e-03,7.193408e+05
2.898551e-05,-2.187233e+03
-4.840580e-03,-4.631139e+05
-7.043478e-03,-6.506256e+05
-1.449275e-04,-4.735923e+03
8.028986e-03,7.217862e+05
-6.985507e-03,-6.482835e+05
-2.898551e-05,2.187233e+03
7.855072e-03,7.192375e+05
-7.043478e-03,-6.439090e+05
-2.898551e-05,-4.529376e+03
7.913043e-03,7.148631e+05
-7.101449e-03,-6.574455e+05
-2.898551e-05,2.187233e+03
7.913043e-03,7.171019e+05
-7.043478e-03,-6.551033e+05
-1.449275e-04,-2.497054e+03
8.028986e-03,7.240251e+05
-6.985507e-03,-6.482835e+05
-3.188406e-04,-5.680045e+02
8.028986e-03,7.262640e+05
9.536232e-03,8.005929e+05
9.478261e-03,7.086960e+05
-3.681159e-03,-4.408986e+05
-6.869565e-03,-6.592713e+05
-9.594203e-03,-7.738297e+05
-8.724638e-03,-6.357096e+05
7.797101e-03,7.236120e+05
9.420290e-03,7.959086e+05
9.536232e-03,7.110381e+05
-6.695652e-03,-6.522448e+05
-9.536232e-03,-7.737265e+05
-8.782609e-03,-6.313351e+05
7.681159e-03,7.301221e+05
9.478261e-03,7.982508e+05
9.536232e-03,7.110381e+05
-6.695652e-03,-6.567226e+05
-9.420290e-03,-7.645644e+05
-8.782609e-03,-6.380517e+05
7.681159e-03,7.413164e+05
9.536232e-03,7.961152e+05
9.652174e-03,7.045281e+05
-6.869565e-03,-6.615101e+05
-9.652174e-03,-7.828885e+05
-8.898551e-03,-6.293028e+05
7.159420e-03,6.956095e+05
8.608696e-03,7.474465e+05
9.652174e-03,7.806496e+05
1.046377e-02,7.731400e+05
1.469565e-02,6.956019e+05
1.475362e-02,5.457009e+05
-2.637681e-03,-5.957606e+05
-5.594203e-03,-6.883434e+05
-7.391304e-03,-7.228891e+05
-1.156522e-02,-6.877863e+05
-1.469565e-02,-6.105248e+05
-1.475362e-02,-5.367454e+05
-9.565217e-04,3.117377e+05
6.057971e-03,6.130480e+05
8.086957e-03,6.368124e+05
1.289855e-02,6.386675e+05
1.486957e-02,5.705350e+05
1.498551e-02,4.677535e+05
6.579710e-03,-1.962263e+04
2.115942e-03,-2.559394e+05
-2.173913e-03,-4.247803e+05
-6.579710e-03,-5.423337e+05
-1.127536e-02,-5.618932e+05
-1.452174e-02,-5.228991e+05
-1.475362e-02,-4.494295e+05
-1.481159e-02,-4.025165e+05
-3.739130e-03,1.500597e+05
9.565217e-04,3.196235e+05
7.507246e-03,5.148807e+05
8.724638e-03,5.483937e+05
1.266667e-02,5.464608e+05
1.973913e-02,4.023393e+05
1.991304e-02,3.019000e+05
1.927536e-02,2.515088e+05
1.536232e-03,-3.913043e+05
-2.521739e-03,-4.433109e+05
-7.971014e-03,-4.485408e+05
-1.921739e-02,-3.230494e+05
-2.008696e-02,-2.887766e+05
-1.962319e-02,-1.961567e+05
-1.246377e-03,2.731606e+05
7.275362e-03,3.152082e+05
1.800000e-02,2.358036e+05
1.985507e-02,2.256751e+05
1.991304e-02,1.407013e+05
1.388406e-02,-2.004338e+04
6.927536e-03,-1.466186e+05
-1.246377e-03,-2.395406e+05
-2.008696e-02,-1.656387e+05
-2.014493e-02,3.575627e+04
