Chord Rotation [rads],Moment [kN-mm]
0,0
8.501800e-06,4.620800e+02
8.193200e-06,4.453100e+02
6.417600e-06,3.488000e+02
1.349100e-06,7.332500e+01
6.649700e-06,3.614200e+02
1.439100e-05,7.821600e+02
9.840000e-06,5.348100e+02
1.497900e-05,8.141200e+02
2.581800e-05,1.403200e+03
1.481200e-05,8.050500e+02
8.810300e-06,4.788500e+02
1.989500e-05,1.081300e+03
1.689500e-05,9.182600e+02
5.435700e-06,2.954400e+02
1.768200e-06,9.610300e+01
-5.269600e-06,-2.864100e+02
3.712500e-06,2.017800e+02
1.037600e-05,5.639400e+02
1.622100e-05,8.816300e+02
-4.563600e-07,-2.480400e+01
-7.520800e-06,-4.087600e+02
-1.130600e-06,-6.144900e+01
7.028200e-06,3.819900e+02
-6.068200e-06,-3.298100e+02
4.454000e-06,2.420800e+02
2.993100e-06,1.626800e+02
1.255100e-06,6.821600e+01
2.098400e-05,1.140500e+03
1.670400e-05,9.078800e+02
1.326200e-05,7.208000e+02
4.053600e-07,2.203200e+01
5.120000e-06,2.782800e+02
4.171500e-06,2.267200e+02
1.068900e-05,5.809600e+02
-3.120800e-06,-1.696200e+02
4.222600e-05,2295
1.330700e-05,7.232500e+02
8.848000e-06,4.809000e+02
2.111500e-06,1.147600e+02
-3.293800e-06,-1.790200e+02
1.732300e-05,9.415200e+02
5.968500e-06,3.243900e+02
3.588100e-06,1.950200e+02
1.160100e-05,6.305200e+02
1.284100e-05,6.979200e+02
8.662500e-06,4.708100e+02
1.453100e-05,7.897700e+02
1.725200e-05,9.376600e+02
1.499800e-05,8.151500e+02
9.711600e-06,5.278300e+02
1.769900e-05,9.619600e+02
5.302700e-06,2.882100e+02
-3.732100e-07,-2.028400e+01
2.259100e-06,1.227800e+02
1.382900e-05,7.516200e+02
1.131700e-06,6.150900e+01
8.145000e-06,4.426900e+02
5.442400e-06,2.958000e+02
1.128700e-05,6.134600e+02
2.754500e-06,1.497100e+02
7.482900e-06,4.067000e+02
5.180400e-06,2.815600e+02
9.434800e-06,5.127900e+02
1.332000e-05,7.239500e+02
1.270800e-05,6.906900e+02
8.234300e-06,4.475400e+02
1.552900e-05,8.440200e+02
-1.744200e-06,-9.479900e+01
1.133100e-05,6.158500e+02
1.382900e-05,7.516200e+02
-4.272500e-06,-2.322100e+02
1.640200e-05,8.914600e+02
1.284300e-05,6.980300e+02
1.314400e-05,7.143900e+02
-9.785500e-07,-5.318500e+01
1.913700e-05,1.040100e+03
6.763400e-06,3.676000e+02
7.857400e-06,4.270600e+02
1.210600e-05,6.579700e+02
7.782200e-07,4.229700e+01
-8.261000e-06,-4.489900e+02
1.297200e-05,7.050400e+02
5.663900e-06,3.078400e+02
4.937500e-06,2.683600e+02
2.085500e-05,1.133500e+03
1.267800e-05,6.890600e+02
-1.617000e-05,-8.788500e+02
6.829900e-06,3.712100e+02
-1.145600e-06,-6.226400e+01
1.752400e-05,9.524500e+02
5.621600e-06,3.055400e+02
4.426200e-06,2.405700e+02
8.562700e-06,4.653900e+02
1.937000e-05,1.052800e+03
8.953400e-06,4.866300e+02
2.200400e-06,1.195900e+02
-5.157900e-06,-2.803400e+02
-1.509700e-06,-8.205400e+01
-1.386000e-05,-7.533000e+02
-3.454600e-06,-1.877600e+02
-8.176500e-06,-4.444000e+02
-2.766500e-05,-1.503600e+03
-3.965500e-06,-2.155300e+02
-1.218100e-05,-6.620500e+02
-4.966000e-06,-2.699100e+02
5.251600e-06,2.854300e+02
-5.308300e-06,-2.885100e+02
6.729300e-06,3.657400e+02
7.445400e-06,4.046600e+02
