Chord Rotation [rads],Moment [kN-mm]
-4.878049e-05,0
1.597938e-03,2.857143e+04
-1.649485e-03,-3.503401e+04
1.649485e-03,2.823129e+04
-1.597938e-03,-3.537415e+04
1.658537e-03,2.773279e+04
2.780488e-03,4.028340e+04
-2.878049e-03,-5.040486e+04
2.551724e-03,3.838384e+04
-2.878049e-03,-5.041549e+04
2.620690e-03,3.838384e+04
3.793103e-03,5.202020e+04
-3.724138e-03,-6.010101e+04
-2.896552e-03,-5.044549e+04
3.655172e-03,5.252525e+04
-3.586207e-03,-5.858586e+04
-2.896552e-03,-3.686869e+04
3.862069e-03,5.353535e+04
-3.724138e-03,-6.010101e+04
-2.965517e-03,-3.838384e+04
3.724138e-03,5.202020e+04
4.896552e-03,6.414141e+04
6.206897e-03,7.777778e+04
7.310345e-03,8.888889e+04
5.379310e-03,5.909091e+04
1.379310e-03,6.060606e+03
-1.862069e-03,-4.595960e+04
-4.137931e-03,-7.474747e+04
-5.724138e-03,-7.979798e+04
-4.206897e-03,-5.656566e+04
4.827586e-03,6.464646e+04
6.137931e-03,7.878788e+04
7.448276e-03,9.191919e+04
7.793103e-03,9.494949e+04
8.275862e-03,9.848485e+04
6.965517e-03,7.474747e+04
3.793103e-03,2.676768e+04
1.310345e-03,-5.050505e+02
-1.724138e-03,-4.545455e+04
-4.068966e-03,-7.525253e+04
-5.724138e-03,-8.989899e+04
-7.517241e-03,-1.020202e+05
-7.931034e-03,-1.040404e+05
-5.034483e-03,-6.111111e+04
-5.517241e-04,1.515152e+03
5.862069e-03,7.777778e+04
7.310345e-03,9.292929e+04
8.344828e-03,100000
7.034483e-03,7.626263e+04
3.793103e-03,2.727273e+04
1.379310e-03,1.010101e+03
-2.000000e-03,-4.797980e+04
-5.586207e-03,-8.989899e+04
-7.586207e-03,-1.020202e+05
-8.068966e-03,-1.055556e+05
-5.103448e-03,-6.010101e+04
-7.586207e-04,1.515152e+03
5.793103e-03,7.777778e+04
8.275862e-03,9.747475e+04
9.793103e-03,1.055556e+05
1.034483e-02,1.065657e+05
1.049442e-02,9.776786e+04
5.071770e-03,2.544643e+04
1.371611e-03,-1.651786e+04
-2.200957e-03,-5.669643e+04
-7.687400e-03,-1.017857e+05
-9.027113e-03,-1.049107e+05
-9.728868e-03,-103125
-5.645933e-03,-3.839286e+04
-2.073365e-03,3125
1.690590e-03,3.482143e+04
4.944179e-03,68750
1.049442e-02,1.058036e+05
1.062201e-02,96875
5.199362e-03,2.589286e+04
1.371611e-03,-1.651786e+04
-2.264753e-03,-5.758929e+04
-4.752791e-03,-8.258929e+04
-7.687400e-03,-1.026786e+05
-8.963317e-03,-1.044643e+05
-9.856459e-03,-103125
-5.582137e-03,-3.928571e+04
-2.073365e-03,3125
1.690590e-03,3.482143e+04
4.944179e-03,6.964286e+04
7.177033e-03,8.794643e+04
1.062201e-02,1.013393e+05
